O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,ANIL PARASHAR,Bharatiya Janata Party,4035,3083,925,437,637,259,307,200,39,383,490,2966,5212,6046,4918,5499,6873,7234,6625,5319,5001,3632,2879,3889,2828,3678,4503,4862,5897,6383,2456,Uttar Pradesh-Koil,Koil
2,MOHD BILAL,Bahujan Samaj Party,205,199,59,30,197,26,233,59,57,106,300,452,2026,1151,1567,763,543,42,472,204,119,844,1599,720,1135,2588,1988,1804,646,1642,1104,Uttar Pradesh-Koil,Koil
3,VIVEK BANSAL,Indian National Congress,559,375,271,364,346,370,310,267,235,224,280,369,489,908,660,695,641,604,684,379,500,355,534,1119,501,507,631,581,957,558,179,Uttar Pradesh-Koil,Koil
4,SHAZ ISHAQ,Samajwadi Party,2740,4022,6990,8254,5658,5984,8363,8698,8208,8556,7932,3322,557,578,628,433,372,367,364,701,3584,2347,3586,1068,2780,1251,1055,1043,1007,850,670,Uttar Pradesh-Koil,Koil
5,MANOJ SHARMA,Aam Aadmi Party,17,19,25,24,9,8,25,18,16,28,23,23,76,34,33,29,25,18,14,26,36,28,15,6,20,30,11,7,9,11,12,Uttar Pradesh-Koil,Koil
6,SAHAB SINGH,Bharatiya Subhash Sena,3,1,3,2,2,2,3,4,1,4,8,3,13,11,5,4,4,4,1,2,8,9,11,3,6,15,6,6,8,7,5,Uttar Pradesh-Koil,Koil
7,NAIM KHAN,Independent,6,3,6,10,3,0,6,8,13,7,7,6,7,5,5,9,10,7,4,3,5,11,14,5,10,18,10,14,10,17,3,Uttar Pradesh-Koil,Koil
8,M L PAPA,Independent,2,4,2,4,8,0,3,1,6,3,5,3,10,11,3,10,7,3,1,1,8,15,17,7,6,9,9,11,18,10,2,Uttar Pradesh-Koil,Koil
9,SHAMS TABREZ KHAN,Independent,4,0,7,9,4,6,3,8,8,9,6,3,18,6,10,9,8,4,9,3,12,23,11,12,9,28,18,19,10,18,6,Uttar Pradesh-Koil,Koil
10,NOTA,None of the Above,28,26,24,32,16,17,12,14,25,16,22,28,52,31,36,47,40,41,46,39,53,40,50,54,29,51,39,86,54,71,22,Uttar Pradesh-Koil,Koil
