O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Chiraunji Lal,Communist Party of India (Marxist),55,54,30,62,62,62,71,48,47,55,65,50,36,59,121,31,37,54,52,49,61,78,67,34,57,68,59,70,60,Uttar Pradesh-Koraon,Koraon 
2,Rajbali Jaisal,Bahujan Samaj Party,957,807,763,639,852,1279,798,719,815,686,990,1453,1207,1066,872,341,913,761,1017,1128,1106,645,1109,1006,756,1053,632,991,946,Uttar Pradesh-Koraon,Koraon 
3,Raj Mani,Bharatiya Janata Party,3866,3819,2356,2636,2842,2770,2651,3052,4636,4466,2601,2772,1930,2071,2163,3169,3031,3114,3214,3045,2620,2817,2792,2413,2947,2746,3129,2689,2061,Uttar Pradesh-Koraon,Koraon 
4,Ramkripal,Indian National Congress,479,212,120,625,607,984,698,512,214,768,1123,760,461,769,998,635,758,813,801,1295,886,866,1020,964,1695,411,546,747,683,Uttar Pradesh-Koraon,Koraon 
5,Ram Deo,Samajwadi Party,1172,1851,2921,1965,2037,2085,2875,2671,1753,1695,2195,1879,2414,1896,2517,3033,2376,2069,1593,1639,2983,1920,2190,1216,1328,2015,2193,1489,1727,Uttar Pradesh-Koraon,Koraon 
6,Akabal Bahadur,Rashtriya Samaj Dal (R),36,48,24,36,30,39,47,28,29,21,28,29,23,30,27,24,25,25,27,20,32,35,29,26,20,38,37,33,27,Uttar Pradesh-Koraon,Koraon 
7,Ashok Dhuriya,Jan Adhikar Party,19,41,26,81,42,16,57,83,124,37,20,60,14,63,86,21,135,14,38,94,181,42,47,16,33,38,88,50,26,Uttar Pradesh-Koraon,Koraon 
8,Arati Devi,Shiv Sena,73,104,10,69,83,74,71,63,23,39,91,85,102,132,513,107,183,130,199,94,113,171,43,38,39,66,62,221,91,Uttar Pradesh-Koraon,Koraon 
9,Dharmadas,Vikassheel Insaan Party,36,59,31,102,39,40,67,19,22,27,30,27,25,31,31,37,25,48,38,29,37,61,24,20,26,33,26,72,41,Uttar Pradesh-Koraon,Koraon 
10,Santosh Kumar,Sanatan Sanskriti Raksha Dal,50,45,28,44,28,31,42,37,36,48,47,37,62,27,33,28,35,36,36,45,36,46,40,54,67,60,55,60,51,Uttar Pradesh-Koraon,Koraon 
11,Siya Ram,Samyak Party,60,46,15,42,40,33,45,32,51,45,37,56,18,64,37,22,26,32,41,21,38,33,48,40,40,36,46,52,31,Uttar Pradesh-Koraon,Koraon 
12,Harish Chandra,Aam Aadmi Party,38,38,38,49,47,43,71,35,34,36,62,46,72,66,79,70,72,87,52,55,137,110,70,39,49,43,79,75,72,Uttar Pradesh-Koraon,Koraon 
13,NOTA,None of the Above,100,107,50,123,90,74,102,81,115,98,97,76,45,100,69,67,90,84,98,93,114,113,92,76,88,103,98,112,72,Uttar Pradesh-Koraon,Koraon 
