O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,GULSHAN YADAV,Samajwadi Party,2681,2397,2496,2850,3409,1771,2624,3129,2281,2142,2529,1645,1802,2510,2401,2030,1742,2656,1200,2621,2951,2749,2570,2421,2118,3200,2010,2457,1192,259,Uttar Pradesh-Kunda,Kunda
2,MU PHAHEEM,Bahujan Samaj Party,84,93,93,78,100,67,97,127,40,67,57,68,66,78,104,60,64,100,57,112,138,213,354,239,141,166,210,135,101,12,Uttar Pradesh-Kunda,Kunda
3,YOGESH KUMAR,Indian National Congress,18,26,30,13,17,29,18,12,18,14,17,10,11,17,21,11,18,10,13,21,23,26,19,37,15,19,21,20,18,0,Uttar Pradesh-Kunda,Kunda
4,SINDHUJA MISHRA SENANI,Bharatiya Janata Party,899,801,744,726,351,457,504,499,703,790,272,213,444,531,462,337,443,507,552,563,436,576,726,998,635,443,688,536,472,39,Uttar Pradesh-Kunda,Kunda
5,DHARMARAJ,Bahujan Mukti Party,57,66,90,72,108,71,120,57,30,59,64,70,111,78,94,71,76,33,65,56,75,65,71,49,63,50,65,48,43,7,Uttar Pradesh-Kunda,Kunda
6,RAGHURAJ PRATAP SINGH,Jansatta Dal Loktantrik,3593,3765,2459,3125,2980,3819,3541,2103,3391,3235,3492,5141,4964,3922,3906,4031,4740,2659,4663,3764,3327,2912,2598,2524,2890,2335,4067,2981,1944,390,Uttar Pradesh-Kunda,Kunda
7,JAYESH SINGH,Independent,37,38,32,52,42,50,43,44,30,41,55,86,86,64,71,47,64,44,51,39,63,48,36,35,37,30,38,31,31,3,Uttar Pradesh-Kunda,Kunda
8,TANVEER,Independent,12,20,17,13,14,16,14,16,5,17,21,19,30,21,18,19,23,17,16,25,14,20,14,19,19,16,14,14,7,3,Uttar Pradesh-Kunda,Kunda
9,DHIRENDRA KUMAR,Independent,9,17,10,16,16,19,14,16,6,23,10,16,13,10,14,16,11,13,16,8,17,12,18,14,13,17,11,12,8,5,Uttar Pradesh-Kunda,Kunda
10,SEEMA,Independent,8,9,15,13,9,11,17,17,6,14,13,11,19,9,16,7,5,15,12,25,23,11,12,15,16,8,13,15,10,6,Uttar Pradesh-Kunda,Kunda
11,HARIVANSH KUMAR,Independent,24,41,19,19,38,39,35,29,15,22,34,32,40,32,26,30,33,31,26,39,50,33,29,41,27,31,38,25,16,1,Uttar Pradesh-Kunda,Kunda
12,NOTA,None of the Above,74,99,52,55,94,47,76,47,37,66,82,85,74,72,94,64,51,71,72,111,85,91,86,76,94,98,77,59,52,17,Uttar Pradesh-Kunda,Kunda
