O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,SHRIMATI URMILA PATEL,Indian National Congress,44,41,51,90,86,143,150,96,177,94,100,83,95,74,86,68,25,48,135,85,53,74,82,95,80,83,68,75,145,53,48,48,40,62,20,Uttar Pradesh-Kursi,Kursi
2,KUMARI MEETA GAUTAM,Bahujan Samaj Party,700,860,512,956,634,1493,1022,1285,955,998,784,874,655,860,1369,538,58,389,1020,1726,1002,1422,929,818,1411,1667,1750,1123,1585,1417,1333,970,581,1050,726,Uttar Pradesh-Kursi,Kursi
3,Rakesh Kumar Verma,Samajwadi Party,2872,2988,3516,3827,3103,3547,3120,2569,3491,3066,3204,3667,2779,4182,4053,3408,4347,3722,2740,3820,3520,3754,3307,2332,2700,3597,3521,3437,3018,3114,3786,3450,4454,3171,2912,Uttar Pradesh-Kursi,Kursi
4,Sakendra Pratap,Bharatiya Janata Party,3931,4819,4338,3238,4517,3686,3061,3611,2999,3004,3252,2835,3244,3044,3482,3308,1048,2867,4598,3952,3348,3848,3533,3687,4090,3575,3294,2915,3454,3308,3482,3536,2804,3322,1584,Uttar Pradesh-Kursi,Kursi
5,KUMAIL ASHARAF KHAN,All India Majlis-E-Ittehadul Muslimeen,90,124,310,281,159,104,343,131,123,165,87,315,187,192,352,277,433,421,70,264,173,107,129,91,130,89,126,326,57,138,227,654,1126,304,428,Uttar Pradesh-Kursi,Kursi
6,DINESH CHANDRA SAINI,Pichhra Samaj Party,19,20,16,15,20,20,11,23,13,7,8,12,17,15,32,16,8,17,16,11,17,9,21,14,20,24,12,22,22,9,11,14,18,25,7,Uttar Pradesh-Kursi,Kursi
7,Neeraj Kumar Rawat,Aam Aadmi Party,19,16,28,13,20,23,24,15,15,20,41,13,25,22,46,21,12,7,37,71,24,52,30,33,39,28,31,40,28,22,18,14,14,23,5,Uttar Pradesh-Kursi,Kursi
8,MOHD. MAKSOOD ANSARI,Peace Party,33,11,28,28,14,18,24,18,17,16,10,25,14,19,34,17,7,17,29,18,24,22,24,9,11,21,17,17,20,26,18,11,20,26,8,Uttar Pradesh-Kursi,Kursi
9,SANTOSH KUMAR,Independent,18,14,17,20,16,20,18,21,7,10,2,8,9,12,30,19,7,7,19,16,13,21,14,16,18,27,26,11,17,23,21,8,20,14,8,Uttar Pradesh-Kursi,Kursi
10,NOTA,None of the Above,83,46,49,54,56,48,39,52,38,40,49,52,36,51,87,44,43,32,39,46,55,52,46,42,48,57,47,59,49,64,53,32,46,65,24,Uttar Pradesh-Kursi,Kursi
