O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Panchanand Pathak (P.N. Pathak),Bharatiya Janata Party,4413,2489,3316,3005,3904,3310,3147,2997,3829,3743,3565,4165,4188,4157,2877,3229,2500,3134,3437,3905,3484,3889,4385,3170,4342,3999,4374,4253,4884,4697,3318,764,Uttar Pradesh-Kushinagar,Kushinagar
2,Mukeshwar Prasad Urf Pappu Madheshiya,Bahujan Samaj Party,595,575,525,480,485,405,497,647,655,646,388,507,492,402,256,787,582,461,397,546,689,444,696,504,419,461,621,236,453,647,262,234,Uttar Pradesh-Kushinagar,Kushinagar
3,Rajesh Pratap Rao Urf Banti Bhaiya,Samajwadi Party,3010,2094,2856,3179,2465,2342,2866,3064,2636,2450,2442,1584,1329,2077,3195,2646,3250,3174,2282,3143,2448,2690,2556,2453,3057,2539,2480,2083,2238,2188,2332,471,Uttar Pradesh-Kushinagar,Kushinagar
4,Syamrati,Indian National Congress,56,21,46,28,87,51,46,44,46,27,25,43,60,21,31,31,37,39,33,33,86,104,109,39,32,51,54,72,30,55,27,4,Uttar Pradesh-Kushinagar,Kushinagar
5,Dipu Urf Atul Kumar Pandey,Aam Aadmi Party,7,9,8,4,4,1,5,5,5,3,3,6,2,3,5,2,4,4,8,12,4,20,4,11,3,3,7,4,1,9,4,2,Uttar Pradesh-Kushinagar,Kushinagar
6,Mukesh,Bharatiya Swajivi Nagrik Party,12,5,5,4,1,7,1,4,6,8,1,4,9,3,1,7,3,1,1,3,4,11,5,4,2,5,8,5,16,3,1,7,Uttar Pradesh-Kushinagar,Kushinagar
7,Rajesh,Aam Janta Party (India),11,3,13,3,7,2,2,5,9,4,6,2,3,4,6,5,10,2,6,5,4,10,5,8,6,5,6,4,9,4,4,2,Uttar Pradesh-Kushinagar,Kushinagar
8,Shrinarayan,Janata Dal (United),16,12,14,3,6,5,10,12,12,6,8,7,3,4,15,14,5,5,4,6,13,30,11,5,8,46,10,20,19,9,7,5,Uttar Pradesh-Kushinagar,Kushinagar
9,Safi Ahmad,All India Majlis-E-Ittehadul Muslimeen,38,78,299,179,6,67,221,143,115,159,124,33,22,29,104,136,147,158,59,91,31,25,38,209,87,22,62,22,30,24,24,7,Uttar Pradesh-Kushinagar,Kushinagar
10,Ajaya Singh,Independent,10,7,12,6,9,3,7,4,11,0,10,8,5,6,4,11,12,7,6,13,11,11,5,7,6,8,13,9,12,10,7,1,Uttar Pradesh-Kushinagar,Kushinagar
11,Khushruddin Ansari,Independent,18,14,12,11,15,2,13,7,12,8,14,11,11,13,7,10,8,4,11,28,13,26,11,8,7,11,11,9,22,17,13,4,Uttar Pradesh-Kushinagar,Kushinagar
12,Dhawalesh,Independent,19,19,34,20,19,14,9,17,16,11,14,21,8,18,11,25,16,15,14,17,26,18,23,8,21,20,19,10,37,23,8,6,Uttar Pradesh-Kushinagar,Kushinagar
13,Parama,Independent,23,15,27,32,28,16,17,12,32,15,22,24,15,17,14,30,12,30,22,29,26,33,14,14,20,22,25,15,28,37,20,6,Uttar Pradesh-Kushinagar,Kushinagar
14,Sunil Kumar Dubey,Independent,23,12,18,23,16,15,9,13,24,16,17,14,15,12,12,27,9,20,16,13,20,18,8,22,20,22,24,24,32,46,16,5,Uttar Pradesh-Kushinagar,Kushinagar
15,NOTA,None of the Above,86,39,49,65,42,40,29,38,82,49,45,55,38,57,27,46,34,49,39,46,66,73,44,45,46,51,51,56,85,92,44,6,Uttar Pradesh-Kushinagar,Kushinagar
