O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,Utkarsh Verma Madhur,Samajwadi Party,3011,2774,2653,3671,2901,4179,3199,2607,3734,3999,4147,6235,5130,3007,1656,2728,1972,2227,1780,1724,3499,5865,1656,2649,3492,3761,3141,4085,3278,3067,2710,4033,1576,Uttar Pradesh-Lakhimpur,Lakhimpur
2,Janardan Prasad J.P.Mishra,Communist Party of India,26,19,34,46,46,53,29,32,51,47,26,13,19,37,13,10,6,19,16,15,16,15,14,19,41,52,54,61,65,68,46,75,36,Uttar Pradesh-Lakhimpur,Lakhimpur
3,Mohan Bajpai,Bahujan Samaj Party,687,652,680,676,1315,1085,715,1367,682,553,483,171,179,713,524,419,519,798,958,447,247,177,542,1310,593,682,719,763,1380,1275,1075,705,769,Uttar Pradesh-Lakhimpur,Lakhimpur
4,Yogesh Verma,Bharatiya Janata Party,4350,4222,4161,4208,4283,5186,4448,3030,3783,3657,2602,499,2397,4189,4206,3947,3738,4203,3934,5967,3733,1584,4935,4267,4000,3907,4337,4171,4420,4231,4726,4050,1891,Uttar Pradesh-Lakhimpur,Lakhimpur
5,Dr. RaviShankar Trivedi,Indian National Congress,81,55,72,84,85,81,79,125,172,63,92,63,46,72,85,85,70,69,54,145,70,38,86,56,129,117,86,74,98,93,83,123,91,Uttar Pradesh-Lakhimpur,Lakhimpur
6,Ashraf Ali Advocate,Peace Party,11,11,8,5,17,20,11,12,18,8,10,3,3,17,9,4,1,6,5,4,0,5,6,12,10,10,41,9,15,7,16,12,8,Uttar Pradesh-Lakhimpur,Lakhimpur
7,Mo. Usman Siddiqui,All India Majlis-E-Ittehadul Muslimeen,18,12,40,27,12,23,44,25,16,24,147,186,38,24,13,56,24,9,15,5,46,77,15,22,61,36,64,32,40,17,16,15,9,Uttar Pradesh-Lakhimpur,Lakhimpur
8,Khushi Kinnar,Aam Aadmi Parivartan Party,16,14,16,29,28,30,19,39,22,21,18,8,12,18,12,6,5,13,12,8,2,7,10,20,18,18,24,30,33,43,45,30,20,Uttar Pradesh-Lakhimpur,Lakhimpur
9,Nawal Kishor,Bharat Swabhiman Party,11,14,15,40,19,25,21,29,16,20,17,4,5,18,7,9,7,5,11,10,6,4,6,9,24,14,26,28,30,21,19,21,11,Uttar Pradesh-Lakhimpur,Lakhimpur
10,Dr. Ram Ji Sharma Advocate,Rashtriya Lokshakti Party,25,17,31,42,52,41,28,43,32,33,25,4,25,31,8,9,6,26,17,12,5,1,5,17,27,24,50,44,51,38,42,48,20,Uttar Pradesh-Lakhimpur,Lakhimpur
11,Reetu Verma Didi,Loktantrik Janwadi Party,21,11,21,38,25,30,14,28,10,15,12,4,6,10,8,11,9,7,15,8,7,6,3,10,17,25,25,25,30,25,31,21,9,Uttar Pradesh-Lakhimpur,Lakhimpur
12,Naresh Singh Bhadauriya,Independent,15,8,13,13,25,16,18,30,29,12,14,14,11,19,4,7,12,6,10,10,13,5,5,15,22,28,33,24,29,31,31,34,19,Uttar Pradesh-Lakhimpur,Lakhimpur
13,NOTA,None of the Above,73,57,65,82,83,63,77,87,53,68,67,36,55,75,37,23,41,34,40,48,48,44,44,36,70,60,58,74,127,96,90,84,52,Uttar Pradesh-Lakhimpur,Lakhimpur
