O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,AZAD ARIMARDAN,Bahujan Samaj Party,1496,1310,1667,2289,1554,2125,1877,1572,1595,1564,1906,1943,1323,1974,1801,1847,1673,1484,2006,1730,1494,2155,1250,1718,2036,1976,2051,1677,2187,1258,1430,1644,1429,521,Uttar Pradesh-Lalganj,Lalganj
2,NEELAM,Bharatiya Janata Party,1602,1609,1795,1753,2068,2076,1703,2381,1484,1567,1957,2066,2704,2175,1954,2161,2634,2311,1872,1861,2549,2744,3367,2802,2766,708,1945,1402,2401,2342,2022,1651,1773,515,Uttar Pradesh-Lalganj,Lalganj
3,PUSHPA BHARTIY,Indian National Congress,43,42,56,109,68,61,49,57,65,54,53,94,82,57,58,54,57,88,55,52,90,52,73,69,53,70,88,42,64,79,68,34,47,10,Uttar Pradesh-Lalganj,Lalganj
4,BECHAI,Samajwadi Party,2399,2389,2744,2329,2335,2530,2227,2942,3107,2123,2549,2575,2401,1983,2200,2408,2071,2353,2727,2389,3413,2425,3329,2568,2120,4276,2382,2109,1734,3154,2612,1981,1922,281,Uttar Pradesh-Lalganj,Lalganj
5,ARVIND,Bahujan Awam Party,17,22,25,23,27,20,54,13,18,14,27,20,19,13,21,20,9,19,23,20,25,10,20,21,20,22,26,8,12,30,24,18,20,3,Uttar Pradesh-Lalganj,Lalganj
6,KARMRAJ,Lok Janshakti Party(Ram Vilas),9,15,27,8,12,8,6,6,31,7,9,16,7,8,4,21,9,5,18,7,5,10,8,7,8,2,5,3,10,6,16,5,10,0,Uttar Pradesh-Lalganj,Lalganj
7,RAJNATH DASAI JAISWAR,Aazad Samaj Party (Kanshi Ram),9,13,19,13,9,12,19,9,18,8,10,16,11,9,11,10,65,17,22,15,15,11,10,6,13,8,10,8,14,13,16,12,20,5,Uttar Pradesh-Lalganj,Lalganj
8,RIPUSUDAN,Jan Adhikar Party,74,15,26,18,22,19,24,14,67,100,12,22,11,22,13,16,6,22,29,16,28,25,15,19,15,97,82,7,19,13,27,5,37,1,Uttar Pradesh-Lalganj,Lalganj
9,HARIRAM,Aam Aadmi Party,17,14,19,22,19,16,15,16,7,26,10,14,27,12,8,9,6,15,15,19,11,9,8,11,13,4,22,9,14,9,18,10,17,2,Uttar Pradesh-Lalganj,Lalganj
10,RAMCHANDAR,Independent,28,31,53,51,34,37,38,23,30,33,30,29,55,29,40,27,83,47,62,37,32,57,21,37,52,31,63,37,32,28,38,48,32,8,Uttar Pradesh-Lalganj,Lalganj
11,NOTA,None of the Above,39,43,62,62,39,67,73,38,44,34,48,51,71,50,68,47,39,51,74,41,41,81,40,61,47,44,66,54,66,47,55,46,47,7,Uttar Pradesh-Lalganj,Lalganj
