O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,R-42,state_city,constituency_from_link
1,Chandra Bhusan Singh Bundela (Guddu Raja),Bahujan Samaj Party,1467,1942,1377,544,865,1295,1954,1452,2054,1735,1487,1499,1790,2021,2206,1891,1333,1792,2468,1606,2098,1744,1447,1906,2530,2288,2285,1726,1246,929,745,734,814,1096,633,1076,1035,1915,2921,2302,2657,2267,Uttar Pradesh-Lalitpur,Lalitpur
2,Balwant Singh Rajpoot,Indian National Congress,94,134,98,47,68,92,62,49,62,60,60,67,82,81,80,59,177,253,143,102,148,137,123,108,89,121,72,141,50,66,57,75,54,102,64,70,69,123,126,73,94,78,Uttar Pradesh-Lalitpur,Lalitpur
3,Ramesh Prasad,Samajwadi Party,1874,1815,1367,2107,1096,2537,1289,1252,2750,1807,2282,1651,1630,1567,1721,1501,1788,1864,1463,1606,1085,2827,2029,3422,1618,1300,1392,1343,1089,1180,2257,2241,1072,1475,1534,736,664,1676,1390,867,734,1440,Uttar Pradesh-Lalitpur,Lalitpur
4,Ramratan Kushwaha,Bharatiya Janata Party,3974,4710,4259,5056,5168,3853,5244,4595,3032,4549,3852,3826,4619,4252,3330,4153,3291,4617,4436,4180,5033,3096,4177,3365,4638,3716,3810,5726,4462,4659,4182,4552,5033,3203,3811,4504,4194,3647,4215,3757,3825,3706,Uttar Pradesh-Lalitpur,Lalitpur
5,Vandana,Jan Adhikar Party,87,257,199,205,57,63,111,116,94,178,193,109,138,116,76,125,358,189,128,149,125,78,94,102,139,112,78,100,59,19,39,41,35,27,54,35,42,56,71,81,66,73,Uttar Pradesh-Lalitpur,Lalitpur
6,Sanjay Khan,Aam Aadmi Party,22,21,27,38,42,19,41,19,20,43,25,19,20,22,23,16,13,21,24,16,23,34,22,15,23,16,12,24,16,18,2,4,9,11,7,9,19,14,12,21,14,41,Uttar Pradesh-Lalitpur,Lalitpur
7,Hariom,Bhartiya Lok Satta Party,25,37,30,23,11,19,34,28,16,18,22,24,24,16,19,14,21,21,29,19,20,18,16,22,15,17,7,25,6,3,6,5,16,3,7,4,5,10,11,10,21,16,Uttar Pradesh-Lalitpur,Lalitpur
8,Akhilesh Kumar,Independent,25,31,34,22,8,29,28,25,17,21,19,21,22,22,22,13,22,16,44,23,28,20,17,21,34,23,10,17,5,10,6,5,4,5,3,8,11,9,21,16,20,21,Uttar Pradesh-Lalitpur,Lalitpur
9,Anil,Independent,41,36,37,36,13,26,41,36,29,30,41,37,35,24,33,30,24,37,50,32,32,25,35,26,37,36,23,36,17,7,12,6,8,4,8,9,12,10,18,21,23,33,Uttar Pradesh-Lalitpur,Lalitpur
10,Pradip Kumar Gupta,Independent,34,50,44,49,22,46,42,41,54,55,34,45,44,48,44,48,35,43,43,41,46,40,39,47,37,30,30,36,17,8,8,11,9,6,15,11,15,12,24,25,31,25,Uttar Pradesh-Lalitpur,Lalitpur
11,Rahul Kushwaha,Independent,48,49,58,38,29,52,70,41,48,37,51,46,54,47,45,38,29,45,70,40,44,39,47,48,49,43,33,32,11,10,18,18,13,5,13,8,23,23,33,41,40,30,Uttar Pradesh-Lalitpur,Lalitpur
12,NOTA,None of the Above,111,117,135,108,66,126,153,88,99,117,113,110,103,122,107,100,88,122,122,142,133,116,86,107,117,119,99,95,44,50,44,31,42,31,45,33,50,62,102,60,83,79,Uttar Pradesh-Lalitpur,Lalitpur
