O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,AVANISH KUMAR SINGH,Bahujan Samaj Party,871,1619,972,1782,1280,1280,1212,904,709,745,1258,901,1229,837,1531,1464,1517,1501,1641,1484,1437,2753,1563,1658,1490,1340,1313,1114,1130,1123,1269,951,60,54,Uttar Pradesh-Lambhua,Lambhua
2,VINAY VIKRAM SINGH,Indian National Congress,64,59,59,62,69,38,52,63,48,78,45,66,61,63,65,44,41,70,73,55,53,53,59,91,39,41,94,79,52,72,61,45,7,5,Uttar Pradesh-Lambhua,Lambhua
3,SANTOSH PANDEY,Samajwadi Party,3846,1884,2686,2383,2398,2335,2306,2685,1666,3359,2289,2670,2633,2646,2304,2136,1617,2811,2696,2075,1902,1530,2109,2070,1763,1553,2073,2024,2680,1992,1753,1647,227,73,Uttar Pradesh-Lambhua,Lambhua
4,SITARAM VERMA,Bharatiya Janata Party,1414,3730,3224,3479,3533,2591,2989,3261,3048,2020,2557,2543,1634,2312,2520,2002,2662,3013,2307,2130,2491,2098,2364,2554,1997,2525,2218,2519,2564,2235,2265,3290,423,166,Uttar Pradesh-Lambhua,Lambhua
5,AMRITLAL VISHWAKARMA,Moulik Adhikar Party,34,54,59,43,34,41,38,46,34,32,46,42,29,39,46,32,33,39,36,22,27,29,40,35,27,49,27,36,54,70,73,57,12,5,Uttar Pradesh-Lambhua,Lambhua
6,ISLAM,Jan Adhikar Party,130,15,113,21,16,10,34,48,22,140,95,65,143,70,13,83,122,143,437,257,28,11,18,28,51,9,27,31,10,61,243,51,2,0,Uttar Pradesh-Lambhua,Lambhua
7,DHARMRAJ GAUTAM,Bahujan Mukti Party,10,26,38,33,12,9,28,11,17,14,18,16,5,14,9,36,8,4,15,13,31,15,21,16,12,16,2,10,6,13,12,10,1,0,Uttar Pradesh-Lambhua,Lambhua
8,MANJU LATA PAL,Aam Janta Party (India),10,20,46,11,12,16,43,24,71,29,32,31,9,27,25,18,7,22,25,11,21,26,13,11,63,49,36,45,45,33,9,28,1,0,Uttar Pradesh-Lambhua,Lambhua
9,RAKESH KUMAR,Aazad Samaj Party (Kanshi Ram),7,49,47,39,32,69,62,15,33,37,26,26,19,24,21,20,14,22,30,24,31,24,21,28,18,25,13,21,30,24,22,18,1,0,Uttar Pradesh-Lambhua,Lambhua
10,RAJENDRA PRASAD MAURYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),15,17,27,27,11,16,18,23,17,19,29,17,17,19,12,19,16,26,28,17,11,26,19,25,19,18,13,28,22,70,106,23,3,0,Uttar Pradesh-Lambhua,Lambhua
11,RAM SUNDER YADAV,Vikassheel Insaan Party,58,80,72,20,12,46,22,24,13,25,16,16,14,33,35,44,38,106,75,30,90,358,31,23,108,163,9,12,95,31,11,12,7,0,Uttar Pradesh-Lambhua,Lambhua
12,NOTA,None of the Above,40,49,48,61,47,37,46,54,54,44,55,53,43,48,54,70,48,48,67,40,57,68,79,60,33,53,53,45,52,52,55,60,9,2,Uttar Pradesh-Lambhua,Lambhua
