O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,state_city,constituency_from_link
1,AKIL,Bahujan Samaj Party,1163,1285,328,933,1195,1661,302,355,459,803,601,534,583,539,2583,900,617,208,229,186,1039,425,429,352,312,537,204,350,419,351,533,550,270,396,707,538,456,373,1219,716,36,Uttar Pradesh-Loni,Loni
2,NANDKISHOR,Bharatiya Janata Party,4644,3440,4285,3246,1898,3965,2669,2609,2752,3090,4609,4669,4525,3712,3252,3054,1651,3592,3507,4345,3296,3344,3081,3703,2307,4061,3923,949,3245,4856,2842,1556,293,202,1563,4726,5235,1833,3773,2484,436,Uttar Pradesh-Loni,Loni
3,MADAN BHAIYA,Rashtriya Lok Dal,2230,1728,1566,3433,4838,1353,4615,4773,4009,2284,985,1155,2249,2575,1708,2196,3636,1224,543,619,1020,905,489,587,3871,2603,2027,6493,3580,1680,4313,6170,6463,7297,4867,2762,1697,6018,2834,4281,836,Uttar Pradesh-Loni,Loni
4,MOHD YAMIN MALIK,Indian National Congress,38,57,57,89,113,45,63,47,79,68,41,43,37,48,72,48,59,32,28,35,61,53,50,47,35,48,50,45,35,68,64,43,37,43,60,49,36,25,48,46,2,Uttar Pradesh-Loni,Loni
5,AMIT KUMAR,Hindusthan Nirman Dal,18,79,24,13,30,15,14,9,26,114,74,89,36,45,37,24,23,54,29,39,95,25,46,60,37,49,20,82,103,147,66,3,5,11,75,26,83,23,118,77,1,Uttar Pradesh-Loni,Loni
6,JAI PRAKASH DUBE,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),8,9,11,13,9,6,8,1,13,1,6,7,7,2,9,3,3,7,8,4,5,9,10,10,5,1,4,7,10,5,5,5,3,5,2,7,1,1,6,4,0,Uttar Pradesh-Loni,Loni
7,DILSHAD,Rashtriya Samaj Paksha,12,18,5,21,13,6,17,4,20,15,20,21,21,19,10,22,25,30,19,27,15,24,49,35,7,7,5,6,9,10,8,20,6,8,9,11,7,5,10,8,2,Uttar Pradesh-Loni,Loni
8,MEHTAB,All India Majlis-E-Ittehadul Muslimeen,13,59,79,229,204,13,93,74,226,125,42,20,37,34,112,81,43,20,12,7,15,7,37,13,109,95,47,160,56,31,54,112,358,309,170,31,22,8,23,26,5,Uttar Pradesh-Loni,Loni
9,SACHIN KUMAR SHARMA,Aam Aadmi Party,75,103,180,280,206,332,223,57,216,145,236,159,200,191,107,149,219,178,193,148,345,252,331,214,61,248,223,132,132,121,140,80,33,60,83,67,45,37,59,53,6,Uttar Pradesh-Loni,Loni
10,RANJITA DHAMA,Independent,313,606,122,128,142,201,136,142,221,466,745,1216,1002,596,105,1988,2121,2060,1370,1310,1375,2198,3038,1834,257,276,735,111,318,543,637,49,32,34,420,95,106,14,160,31,2,Uttar Pradesh-Loni,Loni
11,NOTA,None of the Above,49,44,39,42,49,47,45,35,43,33,50,39,35,21,66,42,57,34,25,23,41,38,71,63,13,32,32,21,26,38,37,49,17,46,40,39,46,34,40,21,3,Uttar Pradesh-Loni,Loni
