O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,ASHISH CHANDRA,Bahujan Samaj Party,451,423,806,51,64,287,59,143,84,82,106,261,234,104,160,152,88,124,118,254,265,270,248,609,254,417,10,Uttar Pradesh-Lucknow Central,Lucknow Central
2,RAJNISH KUMAR GUPTA,Bharatiya Janata Party,4615,4463,3508,1217,1146,3692,4480,1846,1683,1732,4228,5628,5592,5653,3550,4429,2719,2899,2654,2636,3815,4386,4036,3248,5096,3594,651,Uttar Pradesh-Lucknow Central,Lucknow Central
3,RAVIDAS MEHROTRA,Samajwadi Party,2521,2981,3534,7304,5764,4593,3481,5821,5805,6694,3817,2294,1996,2424,4674,3225,5554,3957,4411,4333,3605,2881,2729,4207,2461,2300,752,Uttar Pradesh-Lucknow Central,Lucknow Central
4,SADAF JAFAR,Indian National Congress,142,117,90,110,82,81,60,81,143,76,73,83,96,72,103,108,122,183,103,171,140,139,125,95,186,120,10,Uttar Pradesh-Lucknow Central,Lucknow Central
5,GAURAV VERMA,Shiv Sena,8,6,3,5,4,5,3,3,3,3,9,7,9,18,7,2,3,2,1,5,5,6,6,2,3,4,0,Uttar Pradesh-Lucknow Central,Lucknow Central
6,DHARMENDRA GUPTA,Voters Party International,2,2,2,1,2,1,1,1,0,5,0,3,1,1,4,2,3,4,1,3,3,2,4,8,4,3,0,Uttar Pradesh-Lucknow Central,Lucknow Central
7,NADEEM ASHRAF,Aam Aadmi Party,30,30,26,12,23,18,25,18,20,23,15,26,30,28,31,32,35,38,20,72,30,32,46,28,40,23,1,Uttar Pradesh-Lucknow Central,Lucknow Central
8,RAM KUMAR,Samaj Sevak Party,10,2,6,11,5,5,7,11,17,13,10,7,10,3,2,4,6,4,7,14,5,4,8,8,8,8,1,Uttar Pradesh-Lucknow Central,Lucknow Central
9,RAM SUNDAR BHUSHAN,Pachchasi Parivartan Samaj Party,5,5,7,6,5,11,3,5,3,4,6,3,12,2,2,1,4,4,2,4,8,6,4,5,3,6,3,Uttar Pradesh-Lucknow Central,Lucknow Central
10,VIKRANT MOHAN SRIVASTAVA,Bharatiya Jan Morcha Party,10,5,6,6,2,3,5,3,3,2,8,10,6,1,7,5,5,5,3,7,4,3,8,7,2,3,1,Uttar Pradesh-Lucknow Central,Lucknow Central
11,SALMAN SIDDIQUE,All India Majlis-E-Ittehadul Muslimeen,14,19,15,42,55,30,21,48,57,48,12,5,10,12,21,11,43,23,25,28,4,9,11,25,15,10,8,Uttar Pradesh-Lucknow Central,Lucknow Central
12,KISHORI LAL,Independent,10,7,3,5,3,8,1,11,9,7,4,10,8,2,9,4,6,4,4,7,4,3,7,17,6,8,1,Uttar Pradesh-Lucknow Central,Lucknow Central
13,MOHAMMAD ZAFAR QURESHI,Independent,6,9,8,6,4,7,6,5,11,16,8,12,14,7,10,10,38,8,3,17,11,3,7,17,6,10,2,Uttar Pradesh-Lucknow Central,Lucknow Central
14,NOTA,None of the Above,36,46,26,23,18,37,25,23,26,23,34,48,58,38,24,44,31,31,31,43,43,39,35,51,68,48,3,Uttar Pradesh-Lucknow Central,Lucknow Central
