O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,Ajay Kumar Srivastava,Indian National Congress,70,123,87,94,66,100,81,61,54,60,138,137,100,106,124,115,162,141,124,125,107,71,50,44,84,68,126,116,124,85,128,115,27,Uttar Pradesh-Lucknow North,Lucknow North
2,Dr. Neeraj Bora,Bharatiya Janata Party,2742,5151,3687,2840,513,2613,3548,3465,2778,1933,6484,5324,4514,4121,4278,5179,5437,5177,5397,4524,4402,5357,4095,4612,4406,4831,5016,4736,5260,5197,5730,4459,706,Uttar Pradesh-Lucknow North,Lucknow North
3,Pooja Shukla,Samajwadi Party,4947,3583,4741,5331,8108,4074,4511,3422,5078,7499,1857,2713,2947,3125,3400,1551,1749,3279,1740,2959,2196,1755,2281,2149,3160,2981,1975,2706,1703,2395,2081,2182,349,Uttar Pradesh-Lucknow North,Lucknow North
4,Mohd Sarwar Malik,Bahujan Samaj Party,268,265,271,172,76,63,379,207,239,141,350,253,177,284,205,164,168,145,159,470,397,243,267,233,451,456,261,375,620,350,373,324,37,Uttar Pradesh-Lucknow North,Lucknow North
5,Amit Shrivastav 'Tyagi'',Aam Aadmi Party,12,32,22,24,15,33,45,28,18,20,70,87,31,38,57,53,70,66,54,70,41,44,42,22,23,51,38,43,58,43,50,47,7,Uttar Pradesh-Lucknow North,Lucknow North
6,Kaushal Kishore,Moulik Adhikar Party,7,5,6,2,2,3,9,4,3,9,9,8,8,3,6,2,2,6,3,12,12,5,5,7,12,4,6,6,3,9,9,4,1,Uttar Pradesh-Lucknow North,Lucknow North
7,Noor Mo Varsi,Gandhiyan Peoples Party,2,5,3,4,1,2,3,0,3,2,2,4,2,5,1,0,1,1,3,9,2,2,5,2,6,4,1,5,0,7,3,5,1,Uttar Pradesh-Lucknow North,Lucknow North
8,Brijesh Chandra Awasthi,Mera Adhikaar Rashtriya Dal,0,3,3,0,0,2,3,2,4,3,4,1,3,1,6,5,2,1,2,4,3,0,5,3,2,2,0,4,2,5,2,1,1,Uttar Pradesh-Lucknow North,Lucknow North
9,Rani Siddiqui,Socialist Party (India),0,4,1,7,5,0,1,1,3,1,6,0,3,3,4,3,1,2,1,4,2,4,4,0,4,0,1,7,0,4,1,4,0,Uttar Pradesh-Lucknow North,Lucknow North
10,Sanjay Singh Rana,Bhartiya Sarvdharm Party,15,5,11,8,7,5,7,9,8,19,9,5,8,7,5,2,6,4,5,13,12,4,3,7,14,11,1,10,6,9,2,7,2,Uttar Pradesh-Lucknow North,Lucknow North
11,Arvind Shukla,Independent,12,9,7,5,4,2,6,5,5,3,10,1,4,7,6,2,3,5,1,11,9,17,8,5,9,5,5,11,5,8,10,5,1,Uttar Pradesh-Lucknow North,Lucknow North
12,Pankaj Sharma,Independent,11,23,24,17,9,9,19,18,17,17,31,14,24,28,34,12,67,31,21,31,26,18,13,28,16,16,14,15,3,16,9,10,1,Uttar Pradesh-Lucknow North,Lucknow North
13,Sarvesh Sai,Independent,12,12,18,11,7,8,12,9,9,11,11,7,6,15,4,3,3,0,8,23,11,6,13,14,12,12,3,11,7,9,6,6,0,Uttar Pradesh-Lucknow North,Lucknow North
14,NOTA,None of the Above,24,30,35,35,46,33,49,32,31,31,32,38,45,38,43,54,52,66,62,44,38,43,38,31,43,37,31,52,51,57,40,49,4,Uttar Pradesh-Lucknow North,Lucknow North
