O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,MALA DEVI,Indian National Congress,76,115,100,56,45,75,48,39,72,62,101,57,74,83,88,62,51,58,37,52,58,53,89,79,52,82,72,71,68,51,63,78,9,Uttar Pradesh-Machhlishahr,Machhlishahr 
2,MEHI LAL,Bharatiya Janata Party,2221,2663,3761,1720,2909,2415,1979,2043,2511,3134,2755,1992,2916,2537,3142,2374,2423,2171,2530,2562,1975,1630,2406,3256,3651,3194,2618,2227,2260,2240,2822,3424,483,Uttar Pradesh-Machhlishahr,Machhlishahr 
3,DR. RAGINI,Samajwadi Party,2922,4649,4048,4520,2503,3646,3121,2346,2733,2872,2852,4025,2934,2500,2514,2984,2470,2047,2816,3867,2808,2931,1842,2233,2029,2306,2111,3165,2798,1947,1944,1961,387,Uttar Pradesh-Machhlishahr,Machhlishahr 
4,VIJAY KUMAR,Bahujan Samaj Party,925,755,489,1061,1141,1057,1125,1114,1305,1094,1369,1136,1283,1369,1230,974,982,1264,783,1105,1097,1190,982,970,910,1070,1056,811,1236,1128,1291,1162,477,Uttar Pradesh-Machhlishahr,Machhlishahr 
5,ACHCHHELAL,Rashtra Uday Party,34,15,15,20,29,27,30,17,16,27,37,25,34,31,27,18,23,30,17,20,22,32,20,27,22,23,47,25,42,34,27,27,4,Uttar Pradesh-Machhlishahr,Machhlishahr 
6,PALAK DHARI,Peoples Party of India (Democratic),25,18,19,20,28,12,22,19,24,20,27,15,33,19,19,26,16,24,18,22,17,19,27,24,20,20,27,28,31,25,18,23,2,Uttar Pradesh-Machhlishahr,Machhlishahr 
7,PREMCHAND GAUTAM,Aam Aadmi Party,10,5,5,6,12,13,4,13,9,11,19,13,15,12,15,10,13,8,7,8,10,11,9,15,16,10,8,14,21,12,12,10,2,Uttar Pradesh-Machhlishahr,Machhlishahr 
8,S. P. MANAV,Aazad Samaj Party (Kanshi Ram),59,37,37,70,61,59,19,34,54,41,48,42,72,129,98,30,27,38,39,54,106,89,34,27,24,68,50,56,33,36,21,29,4,Uttar Pradesh-Machhlishahr,Machhlishahr 
9,RANG BAHADUR,Jan Adhikar Party,18,26,41,43,27,36,21,20,41,38,33,41,35,70,36,23,27,11,18,24,23,38,24,31,20,27,28,18,18,14,24,24,5,Uttar Pradesh-Machhlishahr,Machhlishahr 
10,SATYA PRAKASH,Bharatrashtra Democratic Party,19,11,13,7,11,15,14,12,23,22,28,19,23,16,31,9,10,16,13,16,15,11,18,33,29,27,18,16,15,14,29,26,3,Uttar Pradesh-Machhlishahr,Machhlishahr 
11,NOTA,None of the Above,28,51,32,29,40,28,43,31,28,36,59,41,45,47,44,31,23,36,26,45,32,24,35,32,35,35,53,31,41,45,40,31,19,Uttar Pradesh-Machhlishahr,Machhlishahr 
