O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,R-42,state_city,constituency_from_link
1,MOOL CHANDRA SINGH,Bharatiya Janata Party,1811,1773,2453,2536,2101,3105,3396,2620,1913,2448,2823,1965,3262,2349,2729,2228,2260,2708,1418,2089,2667,2514,2827,2579,1907,2611,2814,2187,2737,1632,2338,3106,2904,2365,2280,3579,2981,2575,3432,2905,2943,1054,Uttar Pradesh-Madhaugarh,Madhaugarh
2,RAGHVENDRA PRATAP SINGH,Samajwadi Party,807,1462,1638,1544,1488,1197,1364,1435,1444,1497,1208,1082,1296,1497,1614,1277,1987,1034,2184,1658,1321,1350,1357,1192,1569,1752,1734,1223,1432,1392,1125,1188,1442,1749,1172,1335,2534,4113,2048,971,1466,496,Uttar Pradesh-Madhaugarh,Madhaugarh
3,SHEETAL KUSHWAHA,Bahujan Samaj Party,1825,2173,1696,1118,1915,905,1489,1503,1581,1342,2126,2901,1454,1916,1767,1560,1129,1685,833,2018,1721,1787,1181,1705,992,2175,2273,2319,2294,1603,2006,2414,2020,1691,2288,1254,1170,545,1552,1610,2185,395,Uttar Pradesh-Madhaugarh,Madhaugarh
4,SIDDARTH DEVOLIA,Indian National Congress,46,64,67,48,24,26,91,52,35,67,40,61,55,100,72,40,23,48,27,40,63,119,136,71,74,52,73,131,131,61,98,93,76,80,89,122,84,156,102,117,136,45,Uttar Pradesh-Madhaugarh,Madhaugarh
5,BRIJESH CHANDRA,Jansatta Dal Loktantrik,7,2,17,6,7,13,20,29,9,13,113,56,33,45,120,7,19,48,12,10,45,41,27,17,12,32,65,72,48,92,89,54,71,93,94,42,39,30,42,233,34,8,Uttar Pradesh-Madhaugarh,Madhaugarh
6,BHAGWAN SINGH,Bahujan Mukti Party,16,47,61,17,150,25,45,141,18,26,10,21,103,16,134,48,37,20,8,18,26,15,45,20,21,20,27,75,88,115,59,61,42,39,65,26,44,5,15,45,110,11,Uttar Pradesh-Madhaugarh,Madhaugarh
7,MOOLSHARAN,Jan Adhikar Party,2,7,15,3,42,4,12,45,5,16,10,22,10,20,58,34,13,11,42,117,23,7,23,83,67,9,32,39,30,21,122,80,32,20,84,61,118,227,66,27,69,5,Uttar Pradesh-Madhaugarh,Madhaugarh
8,RAM JI,Aam Aadmi Party,11,6,4,6,6,3,2,9,2,77,19,7,6,9,4,9,16,3,4,3,11,8,11,10,6,10,7,13,10,10,15,11,15,22,3,21,4,10,10,15,8,3,Uttar Pradesh-Madhaugarh,Madhaugarh
9,JAGATPAL,Independent,5,4,9,14,4,3,5,5,5,9,8,8,2,4,10,3,2,2,2,5,8,8,6,9,5,16,4,9,14,11,15,6,10,8,12,10,10,4,4,11,13,2,Uttar Pradesh-Madhaugarh,Madhaugarh
10,JITENDRA SINGH,Independent,5,4,7,7,7,2,2,8,2,10,3,4,5,4,11,7,4,2,5,6,3,6,9,11,5,14,10,10,8,9,6,12,9,16,9,7,5,7,11,7,12,2,Uttar Pradesh-Madhaugarh,Madhaugarh
11,RAVINDRA KUMAR,Independent,9,9,10,17,19,6,15,14,7,18,14,18,12,24,14,7,8,14,11,6,13,26,11,15,18,29,18,12,18,24,24,24,26,16,31,8,11,8,9,15,26,6,Uttar Pradesh-Madhaugarh,Madhaugarh
12,RAMBIHARI,Independent,47,41,57,42,47,26,40,61,34,58,75,71,46,53,66,48,31,41,29,44,73,51,36,66,53,89,55,65,49,62,75,66,73,75,64,19,33,42,31,37,49,11,Uttar Pradesh-Madhaugarh,Madhaugarh
13,SURESH BABU,Independent,17,17,22,27,20,19,20,17,15,31,18,18,17,25,31,19,31,12,29,27,29,22,24,23,22,40,28,17,14,24,21,23,30,36,27,11,24,31,26,12,24,15,Uttar Pradesh-Madhaugarh,Madhaugarh
14,NOTA,None of the Above,51,62,66,62,50,63,70,54,79,89,61,38,72,57,75,52,56,55,39,50,82,73,94,68,85,142,63,67,63,87,69,76,79,97,79,69,53,70,54,53,84,41,Uttar Pradesh-Madhaugarh,Madhaugarh
