O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,state_city,constituency_from_link
1,AMARESH CHAND PANDEY,Indian National Congress,85,95,78,79,67,64,74,91,75,105,97,51,82,82,64,77,115,54,129,77,224,714,140,107,58,63,74,84,77,110,211,116,101,73,2,8,4,14,2,Uttar Pradesh-Madhuban,Madhuban
2,UMESH PANDEY,Samajwadi Party,1866,1885,1961,2642,2551,2503,2025,1659,1427,1923,2422,1712,2419,1925,2986,1937,2785,1877,1850,2375,2422,2348,1870,1726,1737,2165,2399,2206,2463,2161,2600,2495,1758,1341,49,251,226,409,254,Uttar Pradesh-Madhuban,Madhuban
3,NEELAM SINGH KUSHWAHA,Bahujan Samaj Party,1324,1760,1640,1429,2263,1114,1942,2306,1177,2365,1688,1065,1696,1559,1396,1407,1914,1592,1142,1407,1176,1649,1087,1199,1229,1423,1224,1200,557,1684,1232,1653,1367,1328,24,31,165,351,122,Uttar Pradesh-Madhuban,Madhuban
4,RAM BILASH CHAUHAN,Bharatiya Janata Party,2082,2154,1752,3059,2388,2600,2676,2761,3279,1419,2702,2307,1925,2646,2443,2298,1892,2413,2835,2130,2202,1817,2691,3819,3184,2089,2383,2900,1848,1338,1163,1511,2063,989,88,151,206,322,182,Uttar Pradesh-Madhuban,Madhuban
5,FAUJI KISHAN LAL GOND,Aam Aadmi Party,86,53,49,50,69,63,148,57,52,36,60,66,37,84,86,64,67,39,137,51,83,116,96,63,54,48,65,45,35,30,52,73,50,35,1,0,6,12,7,Uttar Pradesh-Madhuban,Madhuban
6,DINESH,Jan Adhikar Party,22,38,93,55,12,5,17,39,80,4,20,16,29,33,23,27,19,10,23,57,37,25,47,26,15,11,16,32,53,23,35,26,3,4,1,0,6,0,0,Uttar Pradesh-Madhuban,Madhuban
7,BHARAT SINGH,Vikassheel Insaan Party,117,307,179,123,76,47,252,151,591,122,181,304,154,115,59,106,79,263,324,473,249,145,255,475,497,186,176,310,580,339,236,87,121,115,34,0,34,115,2,Uttar Pradesh-Madhuban,Madhuban
8,RAMPRAVESH,Rashtriya Samaj Dal (R),1,9,7,9,7,7,16,3,14,5,6,4,9,9,19,1,11,10,13,13,7,18,12,10,12,4,14,7,7,11,5,5,5,3,2,0,1,2,0,Uttar Pradesh-Madhuban,Madhuban
9,RAVINDRA,Independent,12,26,19,24,10,10,28,10,9,17,14,15,17,20,15,17,13,10,15,13,18,13,11,20,21,16,14,15,14,25,13,18,11,9,0,1,0,6,3,Uttar Pradesh-Madhuban,Madhuban
10,SURYA KUMAR DUBEY,Independent,16,24,28,32,40,14,24,22,14,17,17,8,13,20,26,18,15,18,17,21,20,14,20,13,17,14,22,24,25,10,18,13,13,8,0,2,4,3,0,Uttar Pradesh-Madhuban,Madhuban
11,SUSHEEL,Independent,27,49,26,35,15,22,30,28,16,46,33,28,27,30,38,16,24,20,20,31,28,24,23,19,28,15,27,20,20,19,29,23,30,13,1,1,3,7,0,Uttar Pradesh-Madhuban,Madhuban
12,SURAJ KUMAR PANDEY,Independent,26,19,12,17,15,21,20,16,11,23,14,16,20,32,32,19,16,16,18,22,25,20,27,21,21,20,31,22,24,22,25,27,33,19,0,1,3,2,0,Uttar Pradesh-Madhuban,Madhuban
13,NOTA,None of the Above,41,47,35,49,28,26,44,47,34,45,34,24,43,47,54,48,32,34,55,46,34,47,36,40,37,16,29,30,36,26,29,20,19,21,0,3,10,4,2,Uttar Pradesh-Madhuban,Madhuban
