O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,ALOK PRASAD,Indian National Congress,82,157,201,95,116,128,148,212,228,175,135,268,112,144,146,118,264,162,84,218,167,213,105,148,150,173,143,660,293,172,192,134,82,16,Uttar Pradesh-Maharajganj,Maharajganj 
2,OMPRAKASH,Bahujan Samaj Party,650,377,370,423,579,549,836,609,688,504,760,475,477,183,164,926,523,715,1152,1021,513,590,699,688,697,789,679,501,737,574,828,678,383,17,Uttar Pradesh-Maharajganj,Maharajganj 
3,JAY MANGAL,Bharatiya Janata Party,3087,4521,4126,6100,4482,3645,4466,4320,4864,4732,3436,4602,3476,3138,2659,3699,4967,4735,4002,4057,4138,3239,3320,3684,3534,5317,4482,4757,5159,3921,3819,4237,2659,266,Uttar Pradesh-Maharajganj,Maharajganj 
4,RAMKEVAL,Communist Party of India,77,99,78,113,86,79,93,85,116,111,80,105,44,31,30,77,117,88,89,101,98,76,65,83,47,71,103,108,149,75,108,72,54,6,Uttar Pradesh-Maharajganj,Maharajganj 
5,AMARNATH,Aam Aadmi Party,83,67,43,40,39,50,25,41,47,52,56,41,32,36,40,57,41,27,42,27,22,150,64,46,42,27,49,33,50,36,47,35,31,2,Uttar Pradesh-Maharajganj,Maharajganj 
6,GEETA RATNA,Suheldev Bharatiya Samaj Party,667,646,346,345,273,496,261,562,726,606,1142,332,207,293,531,794,739,374,590,559,471,446,545,1162,516,531,392,540,1284,1521,1708,1105,1026,14,Uttar Pradesh-Maharajganj,Maharajganj 
7,JITENDRA,All India Majlis-E-Ittehadul Muslimeen,43,681,268,93,23,368,230,447,63,50,256,87,110,89,1253,1133,125,102,54,65,162,255,319,162,376,49,267,29,194,196,42,42,109,2,Uttar Pradesh-Maharajganj,Maharajganj 
8,MANOJ KUMAR,Aam Janta Party (India),22,28,19,20,16,16,17,29,24,27,22,20,14,22,22,39,27,20,17,26,13,15,18,27,17,15,23,23,20,14,15,18,10,2,Uttar Pradesh-Maharajganj,Maharajganj 
9,VIRENDAR,Lok Jan Shakti Party,19,32,35,15,18,22,29,38,16,26,18,20,12,13,34,42,34,28,10,22,29,20,19,21,17,18,31,45,17,23,12,18,13,0,Uttar Pradesh-Maharajganj,Maharajganj 
10,SHAILENDAR,Bahujan Mukti Party,38,45,41,34,25,24,32,28,42,31,27,41,23,20,16,45,41,33,43,40,32,40,47,19,25,25,47,43,26,37,18,15,10,0,Uttar Pradesh-Maharajganj,Maharajganj 
11,AWADHESH,Independent,52,47,37,48,41,46,49,42,32,49,46,43,28,23,40,47,42,27,38,55,55,39,29,24,29,30,41,32,29,41,31,41,17,4,Uttar Pradesh-Maharajganj,Maharajganj 
12,NIRMESH MANGAL,Independent,2089,1633,1826,2270,1731,1813,2475,1938,2243,1429,2060,2219,2784,2742,2680,1904,1985,1921,1561,1740,2247,3123,1832,1277,1784,1498,2031,1315,813,858,219,475,218,113,Uttar Pradesh-Maharajganj,Maharajganj 
13,NOTA,None of the Above,97,97,86,103,65,85,103,107,106,97,98,83,75,53,102,111,106,76,90,110,89,102,75,66,63,61,101,95,93,82,57,59,41,6,Uttar Pradesh-Maharajganj,Maharajganj 
