O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,KANISHKA PANDEY,Indian National Congress,345,243,210,135,194,239,183,179,192,236,250,247,247,245,223,383,302,253,348,168,204,164,172,261,148,215,189,221,140,142,220,185,93,37,Uttar Pradesh-Maharajpur,Maharajpur
2,FATEH BAHADUR SINGH GILL,Samajwadi Party,1535,1390,1259,1236,1885,1535,1595,2595,2805,1279,2650,2188,1670,1804,2032,1385,1492,1360,2277,3386,2286,2879,1973,2613,3041,2907,3153,2926,2898,1933,2439,2431,994,244,Uttar Pradesh-Maharajpur,Maharajpur
3,Satish Mahana,Bharatiya Janata Party,6358,4769,5940,4663,5006,5347,5630,3868,4484,6271,5020,5369,5986,4715,4932,5206,5412,5441,4748,3525,4685,4058,4491,4148,2661,3003,3668,3467,3623,3340,3982,4180,3025,831,Uttar Pradesh-Maharajpur,Maharajpur
4,SURENDRA PAL SINGH,Bahujan Samaj Party,300,359,340,568,497,483,341,248,186,222,195,163,447,497,343,370,401,119,329,224,292,777,667,889,822,683,832,504,577,630,908,592,171,29,Uttar Pradesh-Maharajpur,Maharajpur
5,AVDHESH KUMAR GUPTA,Bhartiya Shakti Chetna Party,34,15,46,27,30,24,51,36,22,42,25,19,50,37,7,15,11,22,13,14,27,17,16,27,27,14,41,36,42,35,58,38,12,4,Uttar Pradesh-Maharajpur,Maharajpur
6,UMESH SINGH YADAV,Aam Aadmi Party,38,30,36,12,49,22,23,23,26,25,37,15,24,20,18,9,31,35,43,20,42,13,26,15,24,12,16,18,10,15,9,15,6,4,Uttar Pradesh-Maharajpur,Maharajpur
7,ANKIT PAL,Rashtriya Samaj Paksha,7,8,7,9,8,6,6,10,2,3,10,3,5,8,12,3,4,4,9,5,5,16,6,18,38,13,23,23,24,16,12,17,6,3,Uttar Pradesh-Maharajpur,Maharajpur
8,RAMAKANT NISHAD,Vikassheel Insaan Party,4,4,2,3,4,3,4,3,3,4,6,7,6,8,8,2,5,48,12,1,7,65,6,10,388,10,13,110,10,16,16,34,3,0,Uttar Pradesh-Maharajpur,Maharajpur
9,RAJENDRA KUMAR KATHERIYA,Rashtriya Janutthan Party,8,3,3,6,30,5,5,6,3,2,2,6,4,10,3,1,2,6,6,2,2,12,11,6,16,6,7,15,10,6,2,17,2,2,Uttar Pradesh-Maharajpur,Maharajpur
10,Vishnu Kumar,Jan Adhikar Party,10,14,50,18,12,6,27,8,6,7,10,6,11,13,6,5,8,4,7,3,1,17,5,23,28,13,13,17,17,15,16,10,6,2,Uttar Pradesh-Maharajpur,Maharajpur
11,SHASHANK PANDEY,Jan Abhiyan Party,6,5,6,5,3,5,8,4,4,6,5,4,7,10,3,9,34,14,9,9,3,16,8,18,23,16,12,13,9,16,11,26,9,0,Uttar Pradesh-Maharajpur,Maharajpur
12,PRAVEEN KUMAR,Independent,4,6,7,13,8,7,14,17,8,12,7,11,23,27,9,13,24,7,15,7,9,34,18,31,49,23,39,23,14,22,23,24,16,2,Uttar Pradesh-Maharajpur,Maharajpur
13,VIJAY KUMAR,Independent,9,4,10,9,10,9,11,10,4,6,17,11,15,23,7,2,12,12,16,13,13,31,19,20,75,27,28,36,20,21,22,30,14,5,Uttar Pradesh-Maharajpur,Maharajpur
14,NOTA,None of the Above,26,33,31,28,34,26,37,38,34,34,36,35,48,42,30,27,36,52,37,33,41,63,46,40,84,49,66,62,48,45,55,30,30,9,Uttar Pradesh-Maharajpur,Maharajpur
