O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,ASHA MAURYA,Bharatiya Janata Party,3669,3517,3094,2991,3175,2776,3470,2678,2859,2842,2528,1446,1400,3389,1505,2785,3160,3620,3488,4408,3721,3260,2679,2547,3254,3727,3596,4410,2829,3158,Uttar Pradesh-Mahmoodabad,Mahmoodabad
2,USHA VERMA,Indian National Congress,74,86,46,51,61,55,71,59,87,58,30,23,50,47,42,49,60,66,68,76,71,59,50,58,65,59,51,82,55,52,Uttar Pradesh-Mahmoodabad,Mahmoodabad
3,NARENDRA SINGH VERMA,Samajwadi Party,3444,2521,2524,3181,3000,2938,2791,2678,3036,2754,1385,2238,2510,2179,3031,2956,2979,2930,2703,2424,2887,3069,3973,3862,4118,2775,2337,2737,3357,2975,Uttar Pradesh-Mahmoodabad,Mahmoodabad
4,MEESAM AMMAR RIZVI,Bahujan Samaj Party,506,707,841,828,1066,1078,1324,1414,1970,2095,1469,2385,2559,1304,1237,1006,1015,884,1326,935,1062,880,857,617,419,696,720,785,1335,1927,Uttar Pradesh-Mahmoodabad,Mahmoodabad
5,MAYA VERMA,Bhartiya Rashtrawadi Party,17,19,13,17,13,14,21,17,30,31,7,20,22,14,14,14,33,10,16,23,15,18,21,23,16,13,15,13,21,21,Uttar Pradesh-Mahmoodabad,Mahmoodabad
6,RAJ KUMAR GUPTA,Aam Aadmi Party,5,8,13,14,9,10,18,8,26,10,21,9,14,17,11,14,17,13,17,11,16,8,11,6,14,16,8,8,22,19,Uttar Pradesh-Mahmoodabad,Mahmoodabad
7,DEEP KUMAR,Independent,12,11,24,13,22,16,27,23,29,44,9,12,17,14,16,27,20,19,22,20,24,37,22,20,16,21,20,18,28,34,Uttar Pradesh-Mahmoodabad,Mahmoodabad
8,RAGHUNANDAN,Independent,14,10,18,10,20,17,14,20,13,15,6,4,8,22,4,12,14,18,20,15,19,18,16,23,28,14,15,29,18,13,Uttar Pradesh-Mahmoodabad,Mahmoodabad
9,VINOD KUMAR,Independent,11,11,9,14,11,10,15,16,11,14,9,5,9,11,12,16,14,16,22,18,22,16,16,20,19,12,11,15,21,18,Uttar Pradesh-Mahmoodabad,Mahmoodabad
10,NOTA,None of the Above,43,39,44,40,35,31,56,40,47,42,32,21,26,36,50,40,40,63,71,48,42,45,39,59,79,58,46,52,49,49,Uttar Pradesh-Mahmoodabad,Mahmoodabad
