O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,MANOJ TIWARI,Samajwadi Party,1967,1428,1682,1455,1985,1111,2729,3764,2554,3192,3638,1715,1293,2250,1641,1460,1794,1907,1181,2361,1426,1805,1781,1812,1689,340,445,Uttar Pradesh-Mahoba,Mahoba
2,RAKESH KUMAR GOSWAMI,Bharatiya Janata Party,3521,4539,4684,4061,2945,4458,4996,4917,4877,4477,3792,3748,3841,2496,3302,4301,4166,2393,2945,2162,2712,2372,3244,4642,3217,776,493,Uttar Pradesh-Mahoba,Mahoba
3,SAGAR,Indian National Congress,277,282,295,249,203,268,199,147,186,201,184,296,290,256,445,376,570,702,1131,270,761,676,383,247,357,91,43,Uttar Pradesh-Mahoba,Mahoba
4,SANJAY KUMAR SAHU,Bahujan Samaj Party,1375,1509,1634,1940,1240,1477,950,596,1057,1100,860,1740,1808,2274,1808,2087,1799,1783,978,1790,1860,1749,1511,1177,1435,420,92,Uttar Pradesh-Mahoba,Mahoba
5,EHSAN,Bahujan Mukti Party,15,24,16,32,22,33,28,4,19,11,12,35,27,52,31,38,107,54,37,34,36,124,26,33,69,31,10,Uttar Pradesh-Mahoba,Mahoba
6,KAMLESH KUMAR,Bhartiya Shakti Chetna Party,44,42,14,173,18,15,16,13,9,25,7,30,42,52,40,81,129,51,52,49,30,42,31,54,26,4,8,Uttar Pradesh-Mahoba,Mahoba
7,KULDEEP KUSHWAHA,Jan Adhikar Party,89,74,191,56,434,59,48,106,77,80,11,282,227,187,238,426,307,119,382,94,62,169,109,157,214,191,152,Uttar Pradesh-Mahoba,Mahoba
8,DEV PRATAP SINGH,Aazad Samaj Party (Kanshi Ram),16,27,29,37,44,43,21,7,38,16,9,32,34,20,30,32,34,20,45,15,30,29,12,22,20,19,12,Uttar Pradesh-Mahoba,Mahoba
9,Mahesh Kumar,Aam Aadmi Party,10,9,23,15,18,17,8,7,13,17,16,23,33,23,39,20,23,12,31,13,20,22,18,158,50,4,6,Uttar Pradesh-Mahoba,Mahoba
10,ANIL KUMAR,Independent,23,31,32,44,40,32,29,17,8,15,15,41,29,57,41,45,36,43,32,28,47,46,23,40,30,6,6,Uttar Pradesh-Mahoba,Mahoba
11,ANIL SINGH,Independent,15,19,30,20,23,18,7,10,7,10,5,21,11,22,17,19,22,26,16,12,20,29,12,19,9,8,4,Uttar Pradesh-Mahoba,Mahoba
12,ARJUN KUMAR,Independent,16,23,31,19,18,24,14,12,3,9,9,28,22,40,28,31,20,20,33,20,16,32,17,30,22,6,5,Uttar Pradesh-Mahoba,Mahoba
13,DEVRAJ,Independent,41,43,54,33,46,39,16,16,13,14,17,38,30,38,44,46,35,30,37,33,36,48,30,27,28,7,3,Uttar Pradesh-Mahoba,Mahoba
14,DEVENDRA KUMAR NAGAICH,Independent,22,33,36,22,28,38,29,8,10,6,12,35,35,32,29,22,32,25,39,17,30,25,13,30,19,5,3,Uttar Pradesh-Mahoba,Mahoba
15,MAHESH,Independent,62,61,68,46,42,58,49,24,16,29,31,60,50,55,45,38,47,41,49,34,40,39,40,54,50,12,4,Uttar Pradesh-Mahoba,Mahoba
16,NOTA,None of the Above,50,69,96,70,73,61,56,46,37,31,40,61,56,100,54,68,47,51,85,53,66,71,54,54,40,18,6,Uttar Pradesh-Mahoba,Mahoba
