O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,state_city,constituency_from_link
1,ANOOP KUMAR GUPTA,Samajwadi Party,4307,4477,5253,4006,4429,3492,4049,4344,3873,4284,4500,5351,5227,3829,5408,6051,4114,4100,4729,4051,3939,3640,1904,Uttar Pradesh-Maholi,Maholi
2,ASHISH MISHRA,Indian National Congress,82,54,87,116,79,61,95,66,77,77,54,84,88,103,87,84,95,182,70,134,252,133,39,Uttar Pradesh-Maholi,Maholi
3,DR RAJENDRA PRASAD VERMA,Bahujan Samaj Party,1340,1094,1346,1245,712,1011,1220,1463,724,673,1290,1196,775,1230,1319,1274,1251,1186,1186,1620,1261,676,355,Uttar Pradesh-Maholi,Maholi
4,SHASHANK TRIVEDI,Bharatiya Janata Party,4521,4443,5143,5367,4785,6045,5143,5665,4904,5094,4298,3613,4241,4377,4739,4202,4969,5315,5285,4830,5668,6058,3152,Uttar Pradesh-Maholi,Maholi
5,AJAY VERMA,Bharatiya Jan Kranti Dal (Democratic),92,120,98,98,84,114,115,120,61,91,82,82,126,118,107,82,91,76,88,127,99,83,68,Uttar Pradesh-Maholi,Maholi
6,TEJ NARAYAN VISHVAKARMA,Bahujan Mukti Party,17,19,28,17,23,21,22,17,17,18,24,34,19,26,23,19,42,13,13,11,12,16,7,Uttar Pradesh-Maholi,Maholi
7,DEEPTI VERMA,Aam Aadmi Party,37,36,34,38,32,38,35,95,35,57,22,36,23,30,26,21,20,32,223,49,24,29,11,Uttar Pradesh-Maholi,Maholi
8,NAFEES KHAN,Loktantrik Janwadi Party,16,12,15,12,15,11,16,11,12,15,8,10,8,15,14,15,13,18,21,15,10,12,12,Uttar Pradesh-Maholi,Maholi
9,NEERAJ,Uttar Pradesh Republican Party,13,8,11,20,18,13,17,18,13,21,10,15,14,11,20,16,12,16,6,10,11,13,7,Uttar Pradesh-Maholi,Maholi
10,RAJESH KUMAR RATHAUR,Bharatiya Subhash Sena,8,37,20,14,22,12,26,17,21,13,9,16,18,17,16,21,26,20,18,23,16,14,5,Uttar Pradesh-Maholi,Maholi
11,RAMKUMAR MISHRA,Prajashakti Party Samdarshi,37,46,47,61,55,40,78,56,37,39,42,45,42,64,53,57,44,53,49,45,45,34,22,Uttar Pradesh-Maholi,Maholi
12,PRADEEP,Independent,27,20,22,29,29,230,108,101,59,23,60,51,36,74,29,56,35,141,27,46,148,38,25,Uttar Pradesh-Maholi,Maholi
13,RADHESHYAM,Independent,35,31,30,37,36,52,50,35,40,42,40,41,46,30,57,42,36,45,47,34,35,36,19,Uttar Pradesh-Maholi,Maholi
14,RAM KUMAR,Independent,24,19,22,26,29,28,25,36,25,28,19,30,19,27,29,39,31,30,19,21,24,26,9,Uttar Pradesh-Maholi,Maholi
15,SHYAM LAL,Independent,32,25,23,35,34,31,37,20,30,29,23,38,84,25,46,33,26,44,22,25,25,17,10,Uttar Pradesh-Maholi,Maholi
16,NOTA,None of the Above,70,59,49,50,69,55,68,71,71,72,72,96,78,69,74,82,57,51,58,66,69,48,25,Uttar Pradesh-Maholi,Maholi
