O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,PUSPLATA BIND,Bahujan Samaj Party,868,1305,1396,982,1335,1572,1820,940,1371,1004,1748,1849,1184,1923,1156,1561,885,1225,1607,1120,1624,2078,2102,2251,1809,1723,1932,1407,1572,1460,1615,1869,2091,1905,536,Uttar Pradesh-Majhawan,Majhawan
2,ROHIT SHUKLA,Samajwadi Party,1863,2406,2696,1712,2529,1852,1989,3042,1625,1456,2129,2123,1739,2060,1988,1642,1551,1754,2543,1614,2547,2129,2090,2251,1296,1467,1670,1616,2553,2589,2818,2100,2133,1276,243,Uttar Pradesh-Majhawan,Majhawan
3,SHIV SHANKER CHAUBEY,Indian National Congress,128,123,137,133,141,135,207,177,472,90,101,73,61,76,75,52,61,63,53,47,73,117,53,61,74,60,60,39,91,92,73,75,78,25,11,Uttar Pradesh-Majhawan,Majhawan
4,DR. AKHILESH KUMAR DWIVEDI,Janata Dal (United),27,32,25,13,17,23,18,18,23,30,28,34,36,30,23,29,31,28,18,50,30,18,16,18,24,21,25,24,45,21,21,28,41,11,10,Uttar Pradesh-Majhawan,Majhawan
5,ARCHANA MISHRA,Lok Janshakti Party(Ram Vilas),20,25,17,23,35,33,15,27,22,20,21,26,15,19,24,16,31,19,19,17,40,24,22,15,33,18,46,19,32,25,17,29,27,6,11,Uttar Pradesh-Majhawan,Majhawan
6,ABHISHEK TRIPATHI,Pragatisheel Manav Samaj Party,75,53,47,28,14,23,20,25,76,93,51,29,19,44,32,26,41,49,26,28,39,105,35,13,21,32,36,29,46,28,25,16,46,25,15,Uttar Pradesh-Majhawan,Majhawan
7,ISARAR AHMAD,Rashtriya Samaj Dal (R),32,43,37,30,8,23,35,26,23,33,36,49,31,41,29,30,39,27,26,56,45,31,23,30,15,27,32,31,53,44,25,49,40,17,10,Uttar Pradesh-Majhawan,Majhawan
8,KAMALESH KUMAR MISHRA,Rashtravadi Vikas Party,14,17,16,15,4,22,9,13,16,11,20,50,22,15,24,13,24,20,10,26,22,14,7,11,16,21,25,27,27,16,20,17,28,8,3,Uttar Pradesh-Majhawan,Majhawan
9,DEEPA MAURYA,Jan Adhikar Party,11,15,29,32,37,18,48,16,57,16,18,13,23,20,29,12,27,14,21,125,268,53,25,23,20,50,35,170,32,81,293,179,94,98,3,Uttar Pradesh-Majhawan,Majhawan
10,DEVENDRA PRASAD MISHRA,Vikassheel Insaan Party,34,23,23,16,14,20,16,11,18,26,27,32,19,37,25,25,44,29,18,30,30,18,21,16,21,18,23,32,32,23,24,27,36,9,1,Uttar Pradesh-Majhawan,Majhawan
11,MRITYUNJAY SINGH,Suraksha Samaj Party,43,42,41,39,33,36,27,29,42,51,69,43,48,37,48,50,66,43,30,49,45,46,41,36,54,48,57,45,48,35,42,51,37,30,4,Uttar Pradesh-Majhawan,Majhawan
12,DR. VINOD KUMAR BIND,Nirbal Indian Shoshit Hamara Aam Dal,3834,3216,3071,2749,2115,3240,2394,2747,3521,3649,2960,3369,3018,3609,3502,3676,4507,2999,2498,4127,2876,2922,2770,2475,2904,2423,2711,2087,2323,3738,2388,3605,2569,1991,481,Uttar Pradesh-Majhawan,Majhawan
13,SHESH DHAR DUBEY,Aam Aadmi Party,61,63,47,61,34,54,43,57,78,59,61,66,63,94,86,67,102,53,135,88,90,83,67,60,97,86,88,49,73,56,74,77,57,23,4,Uttar Pradesh-Majhawan,Majhawan
14,KALLU,Independent,57,55,59,36,28,43,33,55,52,41,60,55,51,59,68,56,67,67,44,61,72,70,55,50,60,38,87,63,85,59,72,50,69,37,5,Uttar Pradesh-Majhawan,Majhawan
15,NOTA,None of the Above,70,87,92,40,63,67,85,58,55,68,74,67,61,103,75,58,76,72,74,80,92,106,112,66,83,77,141,85,125,79,102,96,87,51,16,Uttar Pradesh-Majhawan,Majhawan
