O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Ramapati Shastri,Bharatiya Janata Party,4703,4158,4136,4176,3077,4372,4065,3067,4335,3838,4094,3344,4507,4486,2557,3367,3629,3285,3651,4123,4089,4041,3309,3973,3745,3407,3393,1897,604,Uttar Pradesh-Mankapur,Mankapur 
2,Ramesh Chandra,Samajwadi Party,1513,2393,1397,1706,3050,2448,2389,2500,2404,2562,2706,2379,2528,2838,2200,2138,2437,2319,2133,1901,1914,1196,2553,3158,2077,3116,1466,1007,384,Uttar Pradesh-Mankapur,Mankapur 
3,Shyam Narayan,Bahujan Samaj Party,93,110,98,131,154,224,289,172,119,190,177,120,42,201,184,136,175,115,175,330,373,553,691,200,286,347,434,394,51,Uttar Pradesh-Mankapur,Mankapur 
4,Santosh,Indian National Congress,41,30,21,42,18,30,72,44,43,37,35,25,32,35,35,20,43,44,48,38,62,45,58,41,65,57,112,21,4,Uttar Pradesh-Mankapur,Mankapur 
5,Kusuma,Bharatiya Subhash Sena,7,8,15,7,3,6,12,20,15,12,17,12,7,25,5,17,19,14,16,19,20,10,16,11,21,12,16,8,2,Uttar Pradesh-Mankapur,Mankapur 
6,Chander Mani Kumar,Peoples Party of India (Democratic),28,33,22,27,24,23,34,34,29,30,27,28,11,37,19,33,31,31,33,63,54,40,36,11,40,34,34,15,4,Uttar Pradesh-Mankapur,Mankapur 
7,Jai Ram Suman,Aam Aadmi Party,16,21,13,12,17,11,11,20,17,11,14,11,6,15,16,13,14,9,15,17,18,13,20,10,27,22,31,8,1,Uttar Pradesh-Mankapur,Mankapur 
8,Alakhram,Independent,10,13,12,18,11,27,11,18,23,27,27,20,5,18,11,25,20,20,26,26,32,14,22,13,27,27,17,12,1,Uttar Pradesh-Mankapur,Mankapur 
9,Ram Jiyawan,Independent,16,9,17,20,15,9,11,16,12,9,19,7,6,19,16,13,16,12,15,17,17,15,16,6,15,16,7,9,4,Uttar Pradesh-Mankapur,Mankapur 
10,Ram Narayan,Independent,29,17,25,22,16,20,15,18,25,24,43,25,13,27,23,38,25,32,29,39,38,23,25,21,27,29,27,21,5,Uttar Pradesh-Mankapur,Mankapur 
11,Santosh,Independent,30,34,11,23,30,15,25,30,35,45,32,26,16,47,22,36,22,32,37,35,37,18,44,18,27,33,32,19,2,Uttar Pradesh-Mankapur,Mankapur 
12,NOTA,None of the Above,101,95,88,65,71,65,80,77,66,106,118,71,39,124,73,89,70,96,86,87,97,67,102,58,64,88,86,51,10,Uttar Pradesh-Mankapur,Mankapur 
