O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,RAJESH CHAUDHARY,Bharatiya Janata Party,3471,2833,3664,2406,2996,1482,2386,2455,2246,3849,2040,1951,1474,2688,3375,3739,2763,3288,3436,2187,1881,2069,3053,2507,2335,2707,1962,2014,2022,2002,2670,2852,615,Uttar Pradesh-Mant,Mant
2,SHYAM SUNDAR SHARMA,Bahujan Samaj Party,2047,1872,2482,1612,1656,1407,2164,2013,2041,2108,1849,2482,1995,3072,2413,2763,3189,2277,1989,2855,2328,1986,2808,3276,2479,3229,1989,2648,1975,2629,2208,1821,282,Uttar Pradesh-Mant,Mant
3,SUMAN CHAUDHARY,Indian National Congress,35,24,32,23,24,15,19,25,34,31,32,28,32,34,30,35,37,23,25,39,26,50,47,23,34,39,29,46,73,44,237,38,4,Uttar Pradesh-Mant,Mant
4,DR. SANJAY LATHAR,Samajwadi Party,2151,1608,2037,2798,2135,1640,1842,2081,3441,1539,2505,2686,3038,1608,1382,676,688,892,834,1804,1887,2686,2061,1870,1907,1324,1676,1535,2038,1766,1864,1466,792,Uttar Pradesh-Mant,Mant
5,RAJ KUMAR,Shiv Sena,44,11,31,20,16,9,29,8,26,33,24,20,14,14,14,25,18,15,25,22,15,29,45,18,25,14,9,7,17,21,17,19,4,Uttar Pradesh-Mant,Mant
6,RAM BABU SINGH,Aam Aadmi Party,16,3,17,28,68,368,571,21,53,23,46,18,27,7,14,10,14,12,7,11,2,18,11,3,5,6,5,3,3,3,7,6,9,Uttar Pradesh-Mant,Mant
7,SUBHASH CHOUDHARY,Log Party,23,22,29,15,11,9,7,10,16,12,17,6,15,3,13,7,10,5,4,9,7,17,9,12,7,12,3,5,8,14,11,12,1,Uttar Pradesh-Mant,Mant
8,DEVENDRA SINGH,Independent,6,6,15,8,10,4,9,4,6,9,10,12,9,6,5,13,6,6,4,3,4,9,17,5,10,13,2,11,8,10,7,10,1,Uttar Pradesh-Mant,Mant
9,YUGAL KISHOR PANDEY YUGAL PANDAYA,Independent,41,18,43,28,17,13,11,14,21,15,27,13,10,20,30,32,32,23,26,14,19,18,32,25,18,25,19,20,15,22,16,18,2,Uttar Pradesh-Mant,Mant
10,NOTA,None of the Above,53,33,70,37,46,13,22,18,37,39,46,19,19,44,55,54,37,59,36,30,24,31,60,34,17,68,22,25,32,27,25,39,6,Uttar Pradesh-Mant,Mant
