O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,ANAND DUBEY,Bahujan Samaj Party,1276,1288,1414,1047,1025,1042,1151,1128,1101,997,1184,1110,950,765,1819,1215,1547,1272,1480,1697,1023,1236,1034,717,826,1490,1384,417,8,Uttar Pradesh-Mariyahu,Mariyahu
2,MEERA PANDEY,Indian National Congress,63,71,42,61,46,46,48,42,39,45,54,36,56,50,45,42,52,49,40,50,47,52,53,38,61,67,57,15,3,Uttar Pradesh-Mariyahu,Mariyahu
3,SUSHMA PATEL,Samajwadi Party,2244,2955,4399,3089,3786,4115,2762,2160,2491,3772,2711,2604,3039,3015,2151,1791,1946,3025,1994,1180,2173,3049,2527,1697,2891,2522,3107,719,53,Uttar Pradesh-Mariyahu,Mariyahu
4,ACHCHEY LAL,Aam Aadmi Party,31,36,54,31,36,44,43,32,36,45,36,30,31,31,37,14,23,36,23,16,35,29,22,26,38,52,48,8,0,Uttar Pradesh-Mariyahu,Mariyahu
5,ATUL DUBEY,Bharatiya Samta Samaj Party,14,20,26,15,15,10,65,20,23,10,43,16,15,21,15,30,18,27,23,33,56,11,36,31,40,22,18,8,0,Uttar Pradesh-Mariyahu,Mariyahu
6,ASHOK KUMAR,Vikassheel Insaan Party,21,15,18,33,23,21,15,30,39,18,24,18,15,24,22,16,19,22,24,46,25,22,42,40,33,18,18,7,3,Uttar Pradesh-Mariyahu,Mariyahu
7,NIHARIKA GAUTAM,Bharatrashtra Democratic Party,45,62,37,48,49,41,41,64,44,51,53,41,53,47,34,50,50,51,48,71,61,71,51,75,60,52,74,13,3,Uttar Pradesh-Mariyahu,Mariyahu
8,DR R.K. PATEL,Apna Dal (Soneylal),2724,2710,2046,2402,2744,3058,2290,3252,2853,2127,2464,2557,2289,2765,2280,2528,2636,3169,3496,3424,3150,2863,2872,3413,2994,2830,2990,614,278,Uttar Pradesh-Mariyahu,Mariyahu
9,RAMDHARI PAL,Rashtriya Samaj Paksha,75,65,62,73,51,50,46,59,106,31,55,81,38,48,42,68,30,89,48,64,46,49,40,96,45,57,101,13,4,Uttar Pradesh-Mariyahu,Mariyahu
10,SATESH KUMAR SHUKLA,Log Party,17,18,18,15,18,14,9,16,27,8,24,14,9,15,10,10,6,22,14,18,16,21,16,18,21,23,21,7,1,Uttar Pradesh-Mariyahu,Mariyahu
11,SUSHIL KUMAR PATEL,Janata Dal (United),26,19,21,25,26,20,36,31,23,19,27,17,39,21,24,43,13,33,17,53,24,49,20,26,41,45,30,9,1,Uttar Pradesh-Mariyahu,Mariyahu
12,SANTOSH KUMAR NISHAD,Independent,24,17,37,11,18,27,23,27,18,19,34,26,25,26,23,14,20,25,34,38,17,28,33,29,25,30,34,9,0,Uttar Pradesh-Mariyahu,Mariyahu
13,NOTA,None of the Above,53,30,57,44,27,52,30,74,48,44,48,42,57,48,56,43,49,65,63,76,42,51,49,41,57,90,77,18,0,Uttar Pradesh-Mariyahu,Mariyahu
