O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,ARUN VEER SINGH,Bharatiya Janata Party,3885,5002,2443,2831,3308,1489,2336,2031,3549,4111,2811,3673,3470,2764,1763,3126,2969,3978,2755,3301,4337,2679,2527,2841,3578,4621,4093,4223,798,396,Uttar Pradesh-Matera,Matera
2,ALI AKBAR,Indian National Congress,108,104,43,74,142,116,89,85,130,67,133,104,99,85,96,91,142,100,149,78,74,141,105,87,103,134,91,163,21,9,Uttar Pradesh-Matera,Matera
3,AQIB ULLA KHAN,Bahujan Samaj Party,371,464,117,289,352,242,382,166,392,520,275,217,186,198,344,180,304,213,253,1033,248,205,206,356,229,292,444,335,54,21,Uttar Pradesh-Matera,Matera
4,MARIYA,Samajwadi Party,3112,2487,4755,3209,4443,4671,4431,3913,3668,2505,4104,3153,4352,3045,4424,4242,3487,3882,4291,2578,2367,3904,3340,3636,3231,2740,2456,3291,1952,249,Uttar Pradesh-Matera,Matera
5,KRIPA SHANKAR,Lok Dal,44,36,43,53,41,46,54,45,28,41,36,39,35,29,42,48,43,39,47,20,18,40,39,53,30,39,29,34,40,1,Uttar Pradesh-Matera,Matera
6,GAUHAR,Independent,32,38,9,22,35,30,36,18,32,23,29,23,25,24,23,19,26,44,37,16,19,23,25,29,22,35,22,24,11,3,Uttar Pradesh-Matera,Matera
7,RAHUL,Independent,31,26,12,31,34,20,19,15,21,30,28,13,22,33,26,19,21,26,21,17,13,23,23,23,21,27,26,26,14,7,Uttar Pradesh-Matera,Matera
8,LAL BAHADUR,Independent,32,17,8,26,17,10,19,14,15,16,24,15,18,19,15,13,21,16,16,14,19,19,16,16,16,19,25,17,6,3,Uttar Pradesh-Matera,Matera
9,SANTOSH KUMAR ARYA,Independent,27,32,14,29,26,15,28,15,16,20,20,25,23,24,17,16,19,22,16,9,17,23,19,10,29,18,22,34,4,1,Uttar Pradesh-Matera,Matera
10,NOTA,None of the Above,110,97,72,106,121,72,107,111,102,89,96,80,81,93,86,93,70,119,112,81,78,92,65,98,112,131,112,107,53,12,Uttar Pradesh-Matera,Matera
