O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,DAVENDRA AGRAWAL,Samajwadi Party,271,409,280,597,549,272,569,266,489,262,271,367,361,427,1029,351,376,503,780,1008,293,224,321,350,564,673,1660,641,789,415,418,420,511,692,606,268,Uttar Pradesh-Mathura,Mathura
2,PRADEEP MATHUR,Indian National Congress,1246,1079,1018,1771,541,1063,1586,678,838,720,936,1293,936,881,1380,1327,1756,1686,5391,4156,1347,1302,2084,1751,1309,1778,1591,807,1693,882,722,485,912,825,861,286,Uttar Pradesh-Mathura,Mathura
3,S.K.SHARMA,Bahujan Samaj Party,935,908,457,719,451,360,446,1073,2077,637,581,517,596,372,1649,270,492,286,538,122,529,592,241,162,517,659,474,835,1176,2151,1100,2443,565,3983,2123,333,Uttar Pradesh-Mathura,Mathura
4,SHRIKANT SHARMA,Bharatiya Janata Party,5194,4770,5213,4273,5681,5518,5277,4641,3834,5492,4849,5094,4935,4865,3293,4210,4517,4775,509,2847,5803,6290,4661,4792,5488,4368,3536,4128,4070,3562,5053,3506,4184,2501,4571,2175,Uttar Pradesh-Mathura,Mathura
5,KRISHNA KUMAR SHARMA URF KRISHNA SHARMA,Aam Aadmi Party,38,27,25,18,27,44,26,20,15,27,28,33,23,31,10,32,79,33,8,12,39,47,16,35,29,53,45,24,15,21,20,19,34,24,35,9,Uttar Pradesh-Mathura,Mathura
6,JAGDISH PRASAD KAUSHIK,Rashtriya Samta Vikas Party,8,2,5,14,1,4,8,7,2,3,7,12,17,3,5,1,2,4,1,3,5,7,0,8,11,1,0,5,4,1,9,5,5,4,7,6,Uttar Pradesh-Mathura,Mathura
7,RAM NARESH UPADHYAY,Anarakshit Samaj Party,8,8,7,9,6,8,8,3,10,3,6,6,6,6,12,8,7,3,10,3,4,5,3,7,8,6,6,9,7,21,13,17,8,11,22,4,Uttar Pradesh-Mathura,Mathura
8,SMT LADO DEVI,Rashtriya mahan Gantantra Party,10,3,5,2,3,8,7,5,2,1,2,1,2,2,2,3,6,5,4,2,2,0,6,5,2,4,5,20,36,4,4,2,5,6,7,2,Uttar Pradesh-Mathura,Mathura
9,VIBHOR SHARMA,Right to Recall Party,5,9,7,2,6,8,4,5,2,1,2,1,0,0,5,4,2,2,1,5,2,2,1,4,3,2,3,4,4,2,10,2,7,1,7,2,Uttar Pradesh-Mathura,Mathura
10,SATYENDRA SINGH,Shiv Sena,10,13,6,3,6,4,7,2,6,6,4,4,4,4,5,6,1,5,4,6,6,4,4,4,4,9,6,8,5,4,10,4,18,6,11,2,Uttar Pradesh-Mathura,Mathura
11,SURESH CHANDRA VAGHEL,Rashtriya Shoshit Samaj Party,20,35,4,20,23,12,46,3,4,3,7,15,15,8,8,35,14,7,12,12,6,8,7,6,2,19,13,8,7,17,11,2,11,49,16,5,Uttar Pradesh-Mathura,Mathura
12,ANITA DEVI,Independent,6,11,3,7,7,3,11,7,8,2,7,3,2,2,6,4,10,7,4,1,5,4,5,7,4,1,4,5,14,10,19,32,10,6,9,4,Uttar Pradesh-Mathura,Mathura
13,YATENDRA SINGH,Independent,27,18,9,10,30,15,26,13,13,5,11,3,1,11,7,10,18,16,4,11,17,5,3,14,11,14,7,11,16,17,16,11,8,22,17,10,Uttar Pradesh-Mathura,Mathura
14,RAVI VERMA,Independent,37,13,10,7,22,8,37,15,34,26,49,16,14,35,28,12,10,3,14,12,17,7,3,17,4,13,11,32,24,25,43,29,24,24,46,5,Uttar Pradesh-Mathura,Mathura
15,SHYAM SUNDAR,Independent,27,27,18,34,13,11,30,14,23,9,10,8,4,16,21,12,16,7,55,37,8,14,12,10,9,14,20,8,24,24,31,14,8,24,33,9,Uttar Pradesh-Mathura,Mathura
16,NOTA,None of the Above,25,38,21,28,30,26,26,23,29,23,21,29,27,33,26,31,30,31,50,49,22,25,34,37,29,28,55,37,24,31,30,28,37,20,31,11,Uttar Pradesh-Mathura,Mathura
