O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,state_city,constituency_from_link
1,ASHOK KUMAR SINGH,Bharatiya Janata Party,2979,2740,1872,2840,3523,4135,3732,2245,1676,868,821,3113,2869,301,121,2632,479,281,927,3665,3506,2384,2926,2325,2187,2576,2052,2164,2327,2043,2068,3032,2011,2865,2624,2608,2579,1789,301,Uttar Pradesh-Mau,Mau
2,FAKHRE ALAM,Communist Party of India,53,37,30,41,36,69,24,42,238,379,93,80,42,78,86,60,77,60,52,68,59,30,41,61,35,40,16,69,31,46,33,60,77,65,91,111,62,42,8,Uttar Pradesh-Mau,Mau
3,BHIM,Bahujan Samaj Party,1705,1805,1411,2103,2024,954,682,297,242,326,195,131,292,434,238,413,340,330,717,1406,1553,1819,1960,2478,1493,1894,1144,1612,1404,1857,1965,1480,1155,1476,1658,1342,1225,548,176,Uttar Pradesh-Mau,Mau
4,MADHAVENDRA BAHADUR SINGH,Indian National Congress,84,61,152,104,85,75,73,100,131,143,254,249,105,193,257,158,150,110,84,63,170,68,119,145,130,81,112,282,191,728,99,418,247,322,233,224,136,194,8,Uttar Pradesh-Mau,Mau
5,ABBAS ANSARI,Suheldev Bharatiya Samaj Party,2387,1863,2335,2891,1547,2317,1268,3672,5251,5621,5410,4265,3663,6856,6925,4239,6438,6791,4935,2723,1893,2500,2653,2209,2787,2081,2392,2081,2596,2470,2366,2613,2667,1921,2083,2371,2950,1740,90,Uttar Pradesh-Mau,Mau
6,MUNAUVAR,Peace Party,55,28,28,45,20,41,8,80,75,119,148,99,157,167,151,118,160,154,189,48,33,28,46,22,19,30,22,18,19,39,39,29,22,29,31,29,34,17,1,Uttar Pradesh-Mau,Mau
7,RAMKISHOR,Janta Kranti Party (Rashtravadi),247,166,149,201,153,200,50,164,148,126,116,112,105,185,190,134,191,186,186,129,141,159,224,172,136,161,135,177,168,235,164,252,256,181,229,252,221,167,8,Uttar Pradesh-Mau,Mau
8,VIKRAMJIT SINGH,Aam Aadmi Party,12,20,13,21,18,16,20,15,12,12,11,9,8,7,10,9,8,6,14,19,33,20,36,20,14,55,7,23,16,14,10,14,18,19,16,23,12,8,3,Uttar Pradesh-Mau,Mau
9,SHAILENDRA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),11,17,14,15,10,8,2,8,2,6,6,12,5,5,4,10,5,0,11,21,16,12,10,10,7,10,3,8,11,12,9,15,14,7,13,34,8,7,0,Uttar Pradesh-Mau,Mau
10,JITENDRA SINGH CHAUHAN,Independent,29,156,20,26,11,15,3,24,15,11,12,14,11,18,12,15,14,10,30,87,26,17,21,25,28,19,22,38,14,13,19,60,20,14,31,30,18,19,0,Uttar Pradesh-Mau,Mau
11,PARMAHANS,Independent,23,9,9,12,12,10,3,8,1,1,3,9,7,2,2,6,3,3,8,16,16,13,15,15,10,11,7,12,4,18,5,12,6,21,16,15,13,8,1,Uttar Pradesh-Mau,Mau
12,MOVIN AHAMAD,Independent,42,35,29,41,25,25,8,20,5,2,3,14,12,5,2,15,4,6,24,36,31,24,41,59,21,32,28,29,35,37,28,32,18,25,45,33,30,17,3,Uttar Pradesh-Mau,Mau
13,RAJPAT CHAUHAN,Independent,31,16,6,16,15,12,4,18,1,2,1,8,7,2,2,4,1,4,18,27,17,13,18,15,13,13,17,15,8,22,7,12,8,14,12,7,13,12,1,Uttar Pradesh-Mau,Mau
14,NOTA,None of the Above,64,42,32,42,42,45,30,23,12,18,12,27,25,17,20,27,25,17,30,68,59,28,34,50,43,32,31,41,28,49,22,47,40,30,46,34,36,31,3,Uttar Pradesh-Mau,Mau
