O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,Tilak Chandra Ahirwar,Samajwadi Party,2890,3254,2282,2199,2284,2363,2337,2910,2164,2047,2448,1766,2642,2235,3053,2147,2329,3250,2222,2174,2559,2746,2101,1906,2793,2622,2799,2340,2485,2136,2534,2590,1843,2609,1449,86,Uttar Pradesh-Mauranipur,Mauranipur 
2,Bhagwandas,Indian National Congress,117,105,94,86,70,123,62,56,68,99,106,83,117,117,147,115,112,117,214,278,59,82,48,87,72,57,49,55,74,90,79,84,84,54,51,2,Uttar Pradesh-Mauranipur,Mauranipur 
3,Rohit Ratan,Bahujan Samaj Party,1099,550,1268,1722,565,1072,1511,1167,1556,1042,1370,1970,919,468,1117,1573,1059,1379,215,564,761,1182,978,891,929,1090,607,324,116,191,442,981,569,787,408,119,Uttar Pradesh-Mauranipur,Mauranipur 
4,Ghanashyam Das,Swatantra Jantaraj Party,40,43,32,41,31,34,42,28,33,24,41,27,27,32,41,37,35,47,26,62,32,45,27,31,24,22,23,13,13,13,23,32,33,18,26,3,Uttar Pradesh-Mauranipur,Mauranipur 
5,Brajkuwar,Jan Adhikar Party,92,28,39,47,45,189,54,62,62,47,59,114,97,78,49,138,75,391,53,138,47,64,45,17,35,22,66,17,19,9,33,63,80,39,51,0,Uttar Pradesh-Mauranipur,Mauranipur 
6,Manohar,Bhartiya Shakti Chetna Party,22,12,21,23,9,19,16,14,15,10,14,12,14,14,12,18,12,15,9,6,17,13,17,13,17,19,13,15,4,7,7,14,19,17,16,0,Uttar Pradesh-Mauranipur,Mauranipur 
7,Meena Kumari,Shiv Sena,22,9,34,28,22,22,108,12,14,19,19,18,21,21,28,20,14,27,14,38,30,19,11,15,18,11,15,17,15,11,22,31,19,17,19,1,Uttar Pradesh-Mauranipur,Mauranipur 
8,Mohan Lal Singarya,Aam Aadmi Party,36,30,37,41,53,46,35,31,37,36,55,41,64,35,46,42,37,49,34,41,47,40,46,51,43,48,32,41,34,44,45,57,43,49,46,7,Uttar Pradesh-Mauranipur,Mauranipur 
9,Rashmi Arya,Apna Dal (Soneylal),3250,3651,3950,3983,5377,4985,3377,2504,3249,3203,3804,4223,4222,3982,3233,3839,4224,4363,4529,4720,4046,3548,4241,4826,4240,4064,3486,4938,5616,4945,5121,3818,4123,4350,2765,431,Uttar Pradesh-Mauranipur,Mauranipur 
10,Jitendra Kumar,Independent,60,56,62,73,98,99,77,50,69,39,67,68,96,93,94,94,86,95,68,88,93,65,70,110,83,79,56,54,44,54,96,73,79,77,81,4,Uttar Pradesh-Mauranipur,Mauranipur 
11,NOTA,None of the Above,86,83,64,88,120,134,99,94,91,87,90,115,120,107,161,113,100,115,72,85,95,99,94,101,126,94,68,92,79,86,93,123,111,104,70,8,Uttar Pradesh-Mauranipur,Mauranipur 
