O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,state_city,constituency_from_link
1,KAMAL DUTT SHARMA,Bharatiya Janata Party,272,3734,5797,7253,2462,7627,7155,4087,532,370,76,1477,2490,1714,1360,3613,3406,3020,6586,5117,366,4240,3404,3687,76,9,Uttar Pradesh-Meerut,Meerut  
2,DILSHAD,Bahujan Samaj Party,36,78,444,37,40,54,182,124,44,47,24,37,55,50,205,566,1260,92,30,71,77,22,331,970,37,0,Uttar Pradesh-Meerut,Meerut  
3,RAFIQ ANSARI,Samajwadi Party,6614,3593,1434,353,5686,462,370,3644,8479,8288,7451,7344,5614,4932,5445,3940,2286,3850,140,1347,8046,3256,3280,2300,7591,467,Uttar Pradesh-Meerut,Meerut  
4,RANJAN SHARMA,Indian National Congress,71,139,269,166,146,207,198,173,100,83,44,240,97,156,178,344,358,332,944,371,79,208,175,151,62,3,Uttar Pradesh-Meerut,Meerut  
5,AFZAL,Sabse Achchhi Party,2,3,5,1,2,0,2,3,4,6,2,3,2,3,2,1,5,2,2,3,3,5,6,8,3,0,Uttar Pradesh-Meerut,Meerut  
6,ALI SHER,Aazad Samaj Party (Kanshi Ram),6,1,4,1,11,8,10,3,8,5,6,3,0,4,2,11,10,1,5,4,4,4,2,13,6,0,Uttar Pradesh-Meerut,Meerut  
7,IMRAN AHMAD,All India Majlis-E-Ittehadul Muslimeen,32,22,7,5,127,4,7,211,410,525,421,324,102,87,121,83,26,68,2,5,58,41,35,60,242,11,Uttar Pradesh-Meerut,Meerut  
8,KANAK JAIN,Mihir Sena,0,3,3,3,1,0,4,4,2,2,1,3,1,0,2,0,2,3,0,0,3,1,1,7,3,0,Uttar Pradesh-Meerut,Meerut  
9,KAPIL KUMAR SHARMA,Aam Aadmi Party,5,17,21,31,8,66,31,9,6,9,2,12,4,6,1,8,9,9,5,6,9,8,6,30,3,0,Uttar Pradesh-Meerut,Meerut  
10,SUSHIL VERMA,Lok Janshakti Party(Ram Vilas),7,2,2,1,1,1,7,1,3,2,7,3,1,2,0,4,6,0,2,18,6,2,1,4,5,0,Uttar Pradesh-Meerut,Meerut  
11,ASHOK,Independent,12,2,3,6,1,3,9,6,9,13,13,11,3,7,4,3,9,10,3,1,24,1,5,9,15,1,Uttar Pradesh-Meerut,Meerut  
12,ANKIT SHARMA,Independent,11,3,1,3,0,2,4,7,5,4,3,6,3,3,4,7,11,3,11,6,8,0,2,12,9,0,Uttar Pradesh-Meerut,Meerut  
13,NOTA,None of the Above,31,30,23,39,12,42,30,24,15,16,11,22,17,16,11,22,25,31,25,25,32,28,20,49,19,2,Uttar Pradesh-Meerut,Meerut  
