O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,QUTUBUDDIN KHAN DIAMOND,Indian National Congress,231,233,107,110,132,215,77,95,105,123,229,118,119,126,137,375,219,157,102,83,211,141,158,202,723,241,100,181,105,121,99,97,20,Uttar Pradesh-Mehnaun,Mehnaun
2,NANDITA SHUKLA,Samajwadi Party,3156,3161,2493,2933,1886,2286,2685,2184,3918,2313,2860,2707,2284,2904,2032,3022,2778,2659,3115,2702,2443,2273,2015,2163,1842,2879,2937,2211,2308,2544,2664,2500,748,Uttar Pradesh-Mehnaun,Mehnaun
3,VINAY KUMAR,Bharatiya Janata Party,2604,2795,3459,3427,3832,4539,3578,3356,2207,3923,3592,3433,3304,3180,3578,2285,2270,3052,2824,3667,3464,3248,3811,4038,2949,4138,3192,3751,2575,3186,3428,3438,986,Uttar Pradesh-Mehnaun,Mehnaun
4,SHIV KUMAR,Bahujan Samaj Party,264,300,272,305,748,469,253,515,175,441,406,249,302,330,340,327,323,273,195,313,334,228,253,460,296,231,322,413,389,461,357,259,48,Uttar Pradesh-Mehnaun,Mehnaun
5,DEEP NARAYAN,Jan Adhikar Party,18,24,27,34,73,34,23,34,10,32,42,28,16,20,16,27,5,19,10,19,13,19,23,18,19,17,19,18,16,12,11,16,2,Uttar Pradesh-Mehnaun,Mehnaun
6,RAJESH TIWARI,Aam Aadmi Party,9,10,14,10,25,13,6,6,3,17,24,8,20,14,12,10,12,14,5,13,20,12,11,16,15,18,7,15,10,14,126,64,8,Uttar Pradesh-Mehnaun,Mehnaun
7,SITA RAM,Bharatiya Subhash Sena,11,15,5,8,23,18,9,7,10,15,18,18,10,17,4,11,9,4,12,14,22,14,13,20,9,21,12,22,18,16,22,31,6,Uttar Pradesh-Mehnaun,Mehnaun
8,SUHEL DEV PATHAK,Right to Recall Party,13,20,16,16,21,26,14,15,9,27,24,8,15,17,16,19,11,17,7,9,19,22,23,19,11,16,13,29,14,22,18,16,8,Uttar Pradesh-Mehnaun,Mehnaun
9,AVINASH,Independent,18,18,9,17,27,24,11,17,11,26,26,11,21,12,13,9,7,20,13,21,12,28,15,23,12,16,11,28,7,11,30,12,5,Uttar Pradesh-Mehnaun,Mehnaun
10,OM PRAKASH,Independent,30,32,27,29,31,58,26,22,24,40,54,27,29,32,35,28,15,37,10,27,30,37,44,25,39,37,25,34,19,21,41,19,13,Uttar Pradesh-Mehnaun,Mehnaun
11,RAJBAHADUR,Independent,27,28,18,22,33,38,16,16,30,42,25,21,26,29,19,20,8,24,15,25,22,30,21,36,22,30,31,33,12,18,34,18,7,Uttar Pradesh-Mehnaun,Mehnaun
12,NOTA,None of the Above,78,83,52,43,63,77,56,55,50,112,83,54,63,51,46,67,37,63,40,49,32,94,47,70,73,70,58,77,33,57,69,49,17,Uttar Pradesh-Mehnaun,Mehnaun
