O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,state_city,constituency_from_link
1,Kiran Ramesh Khatik,Bahujan Samaj Party,1258,1107,1802,1358,1862,2305,1534,1738,2610,1948,1927,2254,2662,1933,2212,2388,2391,2063,2643,1674,1249,2089,1496,1536,1640,1824,1741,1307,2115,1677,1791,1924,1924,1993,1642,1817,1883,1711,1535,1321,251,Uttar Pradesh-Mehroni,Mehroni 
2,Chandrabhan,Communist Party of India,50,66,74,52,54,85,25,24,42,93,46,41,57,48,62,45,54,57,56,51,51,64,31,60,87,63,31,51,73,37,38,47,47,54,51,43,40,53,52,42,9,Uttar Pradesh-Mehroni,Mehroni 
3,Brijlal Khabri,Indian National Congress,78,95,91,91,146,90,121,188,128,117,129,119,169,146,85,107,75,85,83,117,113,78,74,75,157,135,93,73,128,127,100,114,69,120,92,79,124,137,69,95,15,Uttar Pradesh-Mehroni,Mehroni 
4,Manohar Lal,Bharatiya Janata Party,4639,4340,4941,5095,4958,4291,4344,3874,4094,4923,4150,4146,4149,3780,5080,4209,4371,5685,3992,5467,2978,4719,4687,5203,5453,5700,4369,5404,5350,4253,4304,4292,4476,5253,5288,4448,4511,4950,3931,3466,833,Uttar Pradesh-Mehroni,Mehroni 
5,Ram Vilas,Samajwadi Party,1411,1698,1473,1851,2664,2220,1710,1273,1107,1251,1195,1321,1227,1474,1856,825,2032,1099,1635,1369,1797,1623,713,1235,1916,803,1835,917,1472,1498,1884,1708,971,702,941,1033,875,893,2639,1710,213,Uttar Pradesh-Mehroni,Mehroni 
6,Kailash,Janata Dal (United),29,26,29,27,34,32,25,7,18,26,27,26,23,46,26,18,36,27,22,27,28,30,17,24,31,23,20,21,22,20,23,24,26,18,24,18,18,17,33,27,2,Uttar Pradesh-Mehroni,Mehroni 
7,Ganesh Ram Rajak,Aam Aadmi Party,15,15,13,16,20,15,13,10,5,18,28,9,16,16,11,11,12,16,21,14,18,14,12,12,10,29,9,12,15,14,8,27,10,17,7,12,9,15,19,8,3,Uttar Pradesh-Mehroni,Mehroni 
8,Motilal,Aazad Samaj Party (Kanshi Ram),10,30,27,17,18,17,12,6,21,27,15,23,15,15,20,35,18,24,16,21,84,31,20,36,30,67,16,15,19,14,20,14,16,60,18,23,16,22,19,23,4,Uttar Pradesh-Mehroni,Mehroni 
9,Monika,Bahujan Mukti Party,19,17,11,15,22,14,12,10,17,17,18,20,18,15,21,15,16,22,11,12,16,21,16,10,14,23,8,17,18,7,10,4,13,12,16,11,9,10,17,7,2,Uttar Pradesh-Mehroni,Mehroni 
10,Vijay Kumar,Jan Adhikar Party,62,27,17,14,17,22,89,7,47,56,45,36,13,42,15,21,21,18,59,10,23,26,22,24,24,31,16,4,13,17,10,9,21,6,21,17,14,16,36,7,14,Uttar Pradesh-Mehroni,Mehroni 
11,Gorelal,Independent,24,18,24,13,23,28,24,6,23,19,16,21,28,22,16,10,20,23,13,18,12,23,10,19,14,12,4,10,14,20,16,17,17,22,18,11,15,15,20,12,3,Uttar Pradesh-Mehroni,Mehroni 
12,Jitendra,Independent,28,45,19,29,34,40,30,19,28,37,22,33,48,35,26,23,35,43,23,37,31,47,28,36,36,39,28,33,28,24,33,22,26,29,29,28,21,32,51,33,3,Uttar Pradesh-Mehroni,Mehroni 
13,Jugal Kishor,Independent,48,39,26,49,57,34,33,22,32,41,32,39,39,40,45,33,38,70,31,39,37,70,34,68,37,45,25,33,33,23,39,31,43,64,49,26,39,39,52,31,7,Uttar Pradesh-Mehroni,Mehroni 
14,Ravi Kumar,Independent,19,21,23,29,27,29,19,10,24,33,21,20,33,22,40,26,30,52,29,22,28,35,26,26,25,32,17,22,31,21,16,24,27,23,20,26,19,18,30,13,10,Uttar Pradesh-Mehroni,Mehroni 
15,Lakhan,Independent,10,17,13,21,25,18,16,22,28,41,24,24,27,21,27,21,18,15,22,17,25,35,23,26,27,21,12,18,14,11,17,20,19,21,22,20,15,13,26,12,5,Uttar Pradesh-Mehroni,Mehroni 
16,NOTA,None of the Above,54,67,53,71,84,106,78,47,95,114,85,77,96,85,120,73,80,107,94,83,90,144,68,106,84,83,50,62,69,68,66,72,75,78,72,79,76,83,126,63,11,Uttar Pradesh-Mehroni,Mehroni 
