O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,NEELAM KARVARIYA,Bharatiya Janata Party,3323,2051,3204,3507,2162,2919,3317,3185,2905,2595,3307,2962,2641,2442,3381,2772,3481,2592,2306,1703,2713,3088,2640,2278,2683,2260,2452,0,Uttar Pradesh-Meja,Meja
2,SHALINI DWIVEDI,Indian National Congress,110,25,46,50,28,54,65,66,57,46,81,41,36,60,53,165,98,55,65,41,48,50,39,39,51,38,40,0,Uttar Pradesh-Meja,Meja
3,SARVESH CHANDRA TIWARI,Bahujan Samaj Party,849,394,494,777,1200,506,939,923,1110,1418,892,1469,857,1399,1064,876,799,517,643,1160,664,711,1045,707,703,213,510,0,Uttar Pradesh-Meja,Meja
4,SANDEEP SINGH,Samajwadi Party,2834,4366,2356,2503,3440,2932,2632,3126,2798,2421,2269,1799,2099,1606,3447,3467,2484,4077,3816,4139,2085,3046,2329,3585,3146,3427,1935,0,Uttar Pradesh-Meja,Meja
5,AWADHESH KUMAR,Aazad Samaj Party (Kanshi Ram),23,32,25,25,23,30,17,20,24,15,22,18,30,20,32,28,25,39,34,28,26,33,20,43,43,32,27,0,Uttar Pradesh-Meja,Meja
6,DAYASHANKAR,Vikassheel Insaan Party,22,9,4,8,5,6,3,9,12,6,32,9,15,54,37,24,19,19,248,35,38,91,15,152,171,6,10,0,Uttar Pradesh-Meja,Meja
7,DHIRENDRA PRATAP,Bhartiya Shakti Chetna Party,9,4,1,5,1,6,5,6,9,6,5,3,1,2,5,11,11,24,11,11,5,15,7,2,21,4,9,0,Uttar Pradesh-Meja,Meja
8,PRAVEEN KUMAR,Samyak Party,4,4,5,6,6,1,5,9,6,20,4,3,5,2,11,10,6,14,14,9,11,19,27,32,22,12,91,0,Uttar Pradesh-Meja,Meja
9,BABALOO KUMAR,Jan Adhikar Party,9,22,3,7,5,27,10,45,24,18,6,10,7,9,19,146,28,86,18,9,10,41,96,68,32,87,30,0,Uttar Pradesh-Meja,Meja
10,RAM KUMAR MISHRA,Aam Aadmi Party,6,10,17,13,17,13,16,9,11,7,12,47,15,3,14,11,13,13,18,5,14,7,16,15,6,5,9,0,Uttar Pradesh-Meja,Meja
11,RAMPAL,Parivartan Samaj Party,24,26,15,29,16,59,25,33,26,29,25,12,42,4,25,45,29,54,45,14,18,34,15,30,32,17,34,0,Uttar Pradesh-Meja,Meja
12,VIVEKANAND,Bharat Vaibhav Party,16,32,25,39,64,18,27,27,23,24,21,25,35,20,32,32,28,46,46,27,26,40,28,40,31,21,31,0,Uttar Pradesh-Meja,Meja
13,SHRIKANT,Pragatisheel Manav Samaj Party,34,19,10,32,33,21,29,37,27,49,23,50,38,27,25,20,30,31,60,35,21,30,26,43,49,25,59,0,Uttar Pradesh-Meja,Meja
14,HAIDER ABBAS,Lok Janshakti Party(Ram Vilas),18,14,15,22,14,24,19,17,16,14,17,13,19,17,25,12,20,14,30,22,38,23,20,26,24,21,25,0,Uttar Pradesh-Meja,Meja
15,NOTA,None of the Above,64,36,38,81,43,74,78,59,66,77,54,61,74,39,55,69,66,65,77,53,62,97,72,69,99,57,83,0,Uttar Pradesh-Meja,Meja
