O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,state_city,constituency_from_link
1,JAY CHAND,Samajwadi Party,1444,1325,1456,1417,1169,2328,2184,1592,2560,2323,2068,1974,2302,2460,1883,2485,2310,2391,3074,1894,2041,2023,2266,1941,2048,2023,2202,2117,2046,2392,4049,3527,2309,2234,2753,1226,2275,2202,1837,Uttar Pradesh-Menhdawal,Menhdawal
2,MUHAMMAD TABISH KHAN,Bahujan Samaj Party,3116,2175,1187,1872,2088,2194,1892,1870,1541,1357,1232,1991,1462,1041,1228,1377,1166,1247,1464,1004,499,693,1050,879,893,556,578,1145,1439,1127,550,560,912,931,1128,1033,904,1594,1326,Uttar Pradesh-Menhdawal,Menhdawal
3,RAFIQUA KHATOON,Indian National Congress,139,71,41,101,49,70,71,46,46,65,113,56,76,50,61,95,69,40,44,39,47,69,48,60,65,42,70,77,52,38,42,26,67,55,43,36,50,69,67,Uttar Pradesh-Menhdawal,Menhdawal
4,AKHILESH,Aam Aadmi Party,24,17,27,22,19,14,24,25,22,23,23,51,35,24,27,32,35,13,29,20,36,43,26,30,34,30,25,33,41,37,8,21,29,33,31,99,177,42,59,Uttar Pradesh-Menhdawal,Menhdawal
5,ANIL KUMAR TRIPATHI,Nirbal Indian Shoshit Hamara Aam Dal,1731,1894,2522,1796,2239,1160,1620,1913,1824,2037,1690,2531,2282,2142,2557,2239,2559,2096,1673,2556,2854,3964,2846,2279,3151,3120,2969,2722,2145,1720,1153,2809,3238,2406,2187,3164,2117,1962,2117,Uttar Pradesh-Menhdawal,Menhdawal
6,UDAYRAJ,Bahujan Mukti Party,32,34,37,26,20,34,31,36,30,34,33,33,50,33,37,34,39,34,23,33,41,52,50,32,71,47,49,41,32,27,21,20,39,34,22,34,30,30,34,Uttar Pradesh-Menhdawal,Menhdawal
7,ZALALUDDIN,Jan Adhikar Party,13,15,11,11,2,9,11,3,9,10,13,22,15,10,10,11,17,8,10,20,13,17,14,10,18,11,20,22,8,5,9,8,10,12,6,7,65,19,14,Uttar Pradesh-Menhdawal,Menhdawal
8,BRIJESH KUMAR,Sarvjan Awaz Party,9,7,30,21,5,6,11,12,16,23,22,29,41,15,22,19,26,17,14,30,27,30,44,16,21,30,28,17,17,17,11,22,15,20,18,32,13,26,64,Uttar Pradesh-Menhdawal,Menhdawal
9,MEENU SINGH,Peace Party,11,59,36,8,8,46,42,68,90,53,17,33,25,53,31,32,20,65,35,26,23,37,84,17,29,12,31,19,40,64,52,55,20,24,21,20,12,22,69,Uttar Pradesh-Menhdawal,Menhdawal
10,SHAKTI PRASAD,Lok Shakti,30,31,66,44,44,23,53,35,44,63,34,67,42,46,50,41,91,56,36,55,51,50,37,42,48,58,56,53,50,30,24,57,53,35,30,43,32,43,46,Uttar Pradesh-Menhdawal,Menhdawal
11,SURENDRA MOHAN,Vikassheel Insaan Party,28,20,83,36,25,10,29,8,11,25,24,185,71,32,20,22,75,46,22,102,183,128,125,94,46,182,92,43,62,30,26,24,37,26,53,245,35,62,68,Uttar Pradesh-Menhdawal,Menhdawal
12,RAMKRISHNA,Independent,14,18,26,29,24,13,39,18,24,33,22,41,56,37,33,37,34,22,42,32,34,44,26,23,26,36,30,32,25,18,18,31,27,28,16,24,19,16,29,Uttar Pradesh-Menhdawal,Menhdawal
13,SHANKAR,Independent,32,46,32,47,33,38,40,29,23,55,25,52,52,39,42,36,32,25,21,35,42,33,24,27,31,30,28,33,34,26,12,20,25,30,23,22,25,35,34,Uttar Pradesh-Menhdawal,Menhdawal
14,NOTA,None of the Above,38,42,54,35,32,43,62,41,38,58,55,59,93,66,51,47,56,42,57,53,44,64,48,52,73,63,59,64,64,56,36,56,46,48,48,47,38,57,70,Uttar Pradesh-Menhdawal,Menhdawal
