O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,KAILASH CHAURSIA,Samajwadi Party,2641,2448,2601,2017,2918,2610,2921,2782,1614,2980,1923,2053,1911,1903,3142,1444,3543,3116,4023,2782,2999,1924,2579,2406,2513,2381,2599,2415,1695,1795,1491,1309,443,Uttar Pradesh-Mirzapur,Mirzapur
2,BHAGWAN DUTT PATHAK ALIAS RAJAN PATHAK,Indian National Congress,160,81,90,94,93,97,83,142,119,119,145,140,86,98,116,533,93,82,112,113,73,70,92,88,76,82,106,105,78,100,92,80,10,Uttar Pradesh-Mirzapur,Mirzapur
3,RATNAKAR MISHRA,Bharatiya Janata Party,2808,2848,3449,2787,2643,3206,2861,3669,3646,2699,3000,2510,3443,3105,2909,5405,3366,3269,3444,5011,3362,5306,5108,4812,3280,5317,4282,3322,4545,4100,3683,4097,971,Uttar Pradesh-Mirzapur,Mirzapur
4,RAJESH KUMAR PANDEY,Bahujan Samaj Party,1477,1167,1365,1269,1143,1366,1547,631,733,955,815,1099,706,555,323,217,294,163,52,19,154,249,314,37,384,39,287,542,234,68,682,362,213,Uttar Pradesh-Mirzapur,Mirzapur
5,ANVAR ALI,Gareeb Samana Party,11,10,15,12,13,10,19,10,20,12,9,18,15,3,10,7,5,5,6,2,6,7,7,6,3,4,4,1,9,6,7,2,1,Uttar Pradesh-Mirzapur,Mirzapur
6,DHANANJAY KUMAR,Rashtriya Samaj Dal (R),4,13,11,4,7,4,4,6,3,6,10,4,13,4,5,7,6,4,3,1,3,3,2,2,3,1,2,5,3,3,7,3,3,Uttar Pradesh-Mirzapur,Mirzapur
7,BADRUDDIN HASHMI,All India Majlis-E-Ittehadul Muslimeen,7,92,9,8,28,24,59,44,17,42,38,7,20,23,32,19,204,49,96,42,34,19,14,19,33,23,17,48,14,6,8,5,1,Uttar Pradesh-Mirzapur,Mirzapur
8,ADVOCATE BALESHWAR PRASAD YADAV,Rashtriya Samaj Paksha,12,10,5,8,8,11,12,10,16,12,15,11,12,16,37,15,10,14,5,8,4,12,4,2,5,4,10,8,12,8,13,11,7,Uttar Pradesh-Mirzapur,Mirzapur
9,VIPIN KUMAR SRIVASTAVA,Suraksha Samaj Party,4,12,12,6,14,10,7,6,8,12,11,1,6,5,13,6,4,7,2,2,5,2,1,2,15,2,6,4,6,4,6,3,0,Uttar Pradesh-Mirzapur,Mirzapur
10,SURESH SINGH ADVOCATE,Aam Aadmi Party,13,9,12,20,15,12,10,20,15,16,12,7,12,8,10,8,16,10,6,3,7,12,6,8,6,5,14,9,13,27,7,35,5,Uttar Pradesh-Mirzapur,Mirzapur
11,SANTOSH KUMAR TAMANNA,National Democratic Peoples Front,13,31,18,15,18,15,12,13,10,13,12,10,18,13,17,15,7,12,4,4,3,6,1,2,5,0,12,5,8,13,9,4,0,Uttar Pradesh-Mirzapur,Mirzapur
12,SANDEEP KUMAR SONKAR,Aazad Samaj Party (Kanshi Ram),31,18,37,21,33,29,31,19,26,35,20,32,26,31,47,37,51,18,6,2,11,20,7,5,12,5,10,8,10,6,19,8,3,Uttar Pradesh-Mirzapur,Mirzapur
13,CHANDRIKA PRASAD,Independent,47,40,66,35,52,50,55,52,58,32,47,47,72,66,48,65,58,49,32,23,21,35,22,16,20,8,28,22,30,17,31,40,9,Uttar Pradesh-Mirzapur,Mirzapur
14,JAGDISH PRASAD JAGAT SHASTRI,Independent,19,20,22,34,16,19,26,36,22,21,22,21,20,25,27,41,15,17,5,9,11,22,9,7,15,5,21,9,21,4,13,20,3,Uttar Pradesh-Mirzapur,Mirzapur
15,NOTA,None of the Above,65,62,70,71,62,92,75,74,60,70,62,67,70,69,67,70,49,53,60,27,39,39,39,38,31,28,49,26,53,28,38,40,8,Uttar Pradesh-Mirzapur,Mirzapur
