O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,state_city,constituency_from_link
1,RAMKRISHNA BHARGAVA,Bharatiya Janata Party,5946,4836,5350,4387,4277,4185,5054,4608,4336,3361,3828,4336,4506,4873,4628,3922,4414,4795,4136,4532,625,Uttar Pradesh-Misrikh,Misrikh 
2,SHYAM KISHOR,Bahujan Samaj Party,1508,2203,1323,1166,1271,1247,1108,1703,1757,1917,1717,2962,1383,1900,2181,1392,2338,1178,2376,1277,658,Uttar Pradesh-Misrikh,Misrikh 
3,SUBHASH RAJVANSHI,Indian National Congress,83,157,253,91,99,151,87,97,108,56,59,59,89,72,103,85,98,106,76,32,8,Uttar Pradesh-Misrikh,Misrikh 
4,DHARMENDRA DHANGAR,Jansatta Dal Loktantrik,200,235,129,117,300,321,283,334,150,109,130,217,159,31,228,101,139,73,308,182,4,Uttar Pradesh-Misrikh,Misrikh 
5,BABURAM VERMA,Aam Aadmi Party,84,59,57,78,65,77,55,76,64,70,43,64,75,62,117,74,53,86,117,67,5,Uttar Pradesh-Misrikh,Misrikh 
6,MANOJ KUMAR RAJVANSHI,Suheldev Bharatiya Samaj Party,3709,3665,3581,4266,5302,4791,3822,4920,3698,4443,3520,3625,4413,3682,3006,4138,2987,3672,4269,3268,529,Uttar Pradesh-Misrikh,Misrikh 
7,VIJAY PRAKASH GAUTAM,Aazad Samaj Party (Kanshi Ram),65,43,55,48,67,84,65,66,63,62,112,75,78,47,55,53,63,71,55,38,5,Uttar Pradesh-Misrikh,Misrikh 
8,SANTOSH,Bahujan Mukti Party,64,37,21,20,43,19,18,24,24,15,20,23,22,61,25,35,44,18,32,10,4,Uttar Pradesh-Misrikh,Misrikh 
9,PRADEEP KUMAR RAJVANSHI,Independent,25,35,17,20,27,25,28,19,25,21,15,19,14,22,20,17,25,15,26,22,3,Uttar Pradesh-Misrikh,Misrikh 
10,MANOJ KUMAR,Independent,197,196,154,190,244,218,195,257,230,212,196,213,242,210,185,218,169,133,219,164,28,Uttar Pradesh-Misrikh,Misrikh 
11,SUNEETA,Independent,28,53,45,31,152,77,52,33,30,37,32,42,37,50,35,33,41,18,41,27,6,Uttar Pradesh-Misrikh,Misrikh 
12,NOTA,None of the Above,102,77,66,57,90,69,70,76,63,69,78,75,78,87,71,91,66,47,81,65,15,Uttar Pradesh-Misrikh,Misrikh 
