O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,Dr. ANCHAL,Samajwadi Party,2407,2626,2805,2238,2155,2560,2099,2565,2845,2221,2574,2186,2629,1976,2162,2778,2752,1848,2704,1802,2397,1641,2365,2768,1848,2454,1652,2376,2060,2193,130,Uttar Pradesh-Mohan,Mohan 
2,BRAJESH KUMAR,Bharatiya Janata Party,3331,2549,2688,2716,3140,2349,3158,3430,2984,3887,4096,3501,3930,5085,3972,4747,4091,4175,3235,3930,3450,3652,4910,4583,5379,4190,3365,4266,4797,3108,479,Uttar Pradesh-Mohan,Mohan 
3,MADHU VERMA ALIAS MADHU RAWAT,Indian National Congress,106,73,56,95,73,109,96,73,82,109,102,63,68,119,82,99,92,104,86,78,111,86,105,74,106,100,84,126,101,77,8,Uttar Pradesh-Mohan,Mohan 
4,SEWAK LAL RAWAT,Bahujan Samaj Party,1158,651,458,691,560,727,545,809,687,748,1118,715,331,663,921,747,303,841,746,846,713,739,515,475,334,622,685,976,784,493,163,Uttar Pradesh-Mohan,Mohan 
5,NITU KANAUJIYA,Aazad Samaj Party (Kanshi Ram),34,26,21,24,99,33,49,51,15,30,36,20,20,36,33,32,14,35,27,37,31,30,28,17,24,25,25,33,17,15,2,Uttar Pradesh-Mohan,Mohan 
6,SHATROHAN LAL RAWAT,Aam Aadmi Party,20,9,11,18,13,12,14,7,11,22,15,12,12,19,11,13,12,8,15,22,9,7,17,16,10,11,6,15,10,16,4,Uttar Pradesh-Mohan,Mohan 
7,SANDEEP KUMAR,Nagrik Ekta Party,31,32,26,28,33,26,23,23,21,36,44,41,17,32,27,26,18,53,23,27,28,27,21,33,18,40,22,45,26,14,2,Uttar Pradesh-Mohan,Mohan 
8,SAVITA,Al-Hind Party,22,11,13,21,21,14,17,16,20,16,13,15,9,14,12,14,16,11,16,16,15,19,28,16,14,10,13,18,11,15,1,Uttar Pradesh-Mohan,Mohan 
9,ACHHEY LAL,Independent,37,25,20,17,24,16,25,23,21,36,26,12,13,26,25,20,72,37,25,31,21,34,20,27,19,31,25,28,28,16,2,Uttar Pradesh-Mohan,Mohan 
10,NOTA,None of the Above,64,54,69,48,49,43,64,40,48,68,54,39,42,51,49,46,53,40,63,48,57,42,49,66,41,73,53,51,62,47,6,Uttar Pradesh-Mohan,Mohan 
