O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Amresh Kumar,Bharatiya Janata Party,2920,3704,3160,2868,2741,3220,3612,2544,4012,2907,3117,2862,2858,3337,4212,3436,2558,3989,3255,3087,4187,3258,3362,3897,3392,2987,3952,3431,3400,4136,4042,2481,Uttar Pradesh-Mohanlalganj,Mohanlalganj 
2,Devendra Kumar,Bahujan Samaj Party,732,468,702,1142,770,785,408,663,870,980,734,856,1088,1365,542,1391,1048,1037,986,838,1027,1949,969,1108,1546,1517,1045,1018,1006,1203,1082,683,Uttar Pradesh-Mohanlalganj,Mohanlalganj 
3,Mamta Choudhary,Indian National Congress,84,57,58,98,63,87,82,66,215,103,80,65,56,93,102,104,76,69,87,88,110,128,94,147,134,103,82,81,118,109,100,47,Uttar Pradesh-Mohanlalganj,Mohanlalganj 
4,Sushila Saroj,Samajwadi Party,3591,3429,3043,2768,3772,3838,3775,2728,2502,2496,2788,2788,3283,2526,2548,2381,2040,2387,2516,3869,2338,2898,2475,2632,2541,2258,2667,3661,2678,3054,2450,1468,Uttar Pradesh-Mohanlalganj,Mohanlalganj 
5,Jitendra Kumar Rawat,Samaj Sevak Party,52,29,34,41,47,38,37,29,32,26,25,39,40,53,20,47,23,29,38,36,21,48,40,42,23,38,37,44,26,39,27,18,Uttar Pradesh-Mohanlalganj,Mohanlalganj 
6,Brijesh Kumar Vikram,Aam Janta Party (India),22,5,17,26,10,14,10,11,13,15,13,14,26,15,13,25,9,14,13,16,8,29,12,13,21,17,16,13,17,23,7,6,Uttar Pradesh-Mohanlalganj,Mohanlalganj 
7,Shravan Kumar,Bhartiya Dharmanirpeksha Party,14,10,11,25,11,16,10,7,13,11,16,3,12,28,50,20,5,21,25,10,17,34,24,16,17,7,7,11,12,16,12,9,Uttar Pradesh-Mohanlalganj,Mohanlalganj 
8,Suraj Kumar Rawat,Aam Aadmi Party,424,86,282,644,99,295,106,68,172,225,281,247,525,293,226,429,247,227,169,75,62,208,54,77,257,182,166,211,386,249,48,28,Uttar Pradesh-Mohanlalganj,Mohanlalganj 
9,Sanjay Kumar,Suraksha Samaj Party,28,18,24,31,20,22,18,18,32,16,23,17,26,31,23,32,12,22,21,32,21,41,17,21,21,32,24,23,21,32,29,5,Uttar Pradesh-Mohanlalganj,Mohanlalganj 
10,Hemant Kumar,Bahujan Mukti Party,18,6,14,14,14,11,12,13,14,11,20,7,23,24,12,22,12,19,17,28,19,39,15,19,29,25,23,10,8,48,26,5,Uttar Pradesh-Mohanlalganj,Mohanlalganj 
11,Faujdar Prasad,Independent,15,18,21,21,20,17,13,20,27,14,25,11,30,31,20,36,9,15,25,18,25,37,22,26,27,27,29,21,17,21,19,13,Uttar Pradesh-Mohanlalganj,Mohanlalganj 
12,NOTA,None of the Above,71,60,90,76,54,71,56,59,81,75,77,47,64,106,80,80,46,70,76,73,66,109,58,67,97,68,83,68,69,105,83,27,Uttar Pradesh-Mohanlalganj,Mohanlalganj 
