O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,AKEEL CHOUDHARY,Bahujan Samaj Party,2023,531,167,406,596,565,608,933,1134,510,686,1215,751,1401,116,179,671,381,172,196,62,36,13,15,18,18,10,9,17,16,5,6,37,1,Uttar Pradesh-Moradabad Rural,Moradabad Rural
2,HAJI IKRAM QURESHI,Indian National Congress,22,35,111,48,211,40,73,240,151,82,37,24,45,65,92,61,84,50,115,78,53,49,128,79,63,108,85,85,110,72,46,20,1,25,Uttar Pradesh-Moradabad Rural,Moradabad Rural
3,MOHD NASIR,Samajwadi Party,3856,3225,8123,6228,5156,4941,5947,7090,4376,5334,4172,2939,4373,2058,3893,4788,3174,1322,884,1181,4491,5061,7497,4602,5738,7515,5522,3508,5450,6199,2575,648,552,554,Uttar Pradesh-Moradabad Rural,Moradabad Rural
4,K K MISRA,Bharatiya Janata Party,2913,3900,892,627,1122,3292,1419,1175,2664,2391,1834,4397,3120,4260,4263,2526,2519,5966,7310,6097,3255,2482,338,2929,2940,1863,2190,3114,2242,1226,277,435,143,3,Uttar Pradesh-Moradabad Rural,Moradabad Rural
5,AKRAM,Aazad Samaj Party (Kanshi Ram),21,23,15,3,10,33,17,10,30,16,14,45,19,24,21,14,12,13,15,19,15,9,3,10,19,10,12,5,8,3,3,1,2,0,Uttar Pradesh-Moradabad Rural,Moradabad Rural
6,AYYOOB,Peace Party,5,2,1,4,5,8,8,3,7,7,3,9,4,4,12,2,6,3,1,1,1,3,6,1,1,0,3,1,0,0,0,1,0,0,Uttar Pradesh-Moradabad Rural,Moradabad Rural
7,ISHRAT ALI,Aam Aadmi Party,7,3,4,2,10,7,9,2,4,7,5,8,8,19,22,9,14,20,34,6,10,9,7,10,7,5,7,5,7,4,0,0,0,0,Uttar Pradesh-Moradabad Rural,Moradabad Rural
8,MOHID FARGANI,All India Majlis-E-Ittehadul Muslimeen,18,58,120,164,560,29,69,274,82,94,47,47,129,17,26,19,18,6,4,12,24,55,75,40,50,135,69,24,29,28,29,2,18,5,Uttar Pradesh-Moradabad Rural,Moradabad Rural
9,VIVEK KUMAR BHATNAGAR,Lok Janshakti Party(Ram Vilas),10,5,2,4,4,4,11,6,1,4,5,8,11,6,17,7,8,7,7,8,2,0,4,2,3,4,2,1,1,3,0,0,1,0,Uttar Pradesh-Moradabad Rural,Moradabad Rural
10,SHISHUPAL SINGH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),9,9,7,4,1,11,11,4,7,3,1,7,5,3,11,6,5,2,9,7,3,1,5,2,3,1,1,1,1,1,0,0,0,0,Uttar Pradesh-Moradabad Rural,Moradabad Rural
11,SHEESHPAL,Nagrik Ekta Party,35,13,5,9,5,25,25,19,14,11,12,28,17,11,7,15,8,7,1,24,10,6,12,5,8,8,6,4,1,5,4,3,1,0,Uttar Pradesh-Moradabad Rural,Moradabad Rural
12,KAMAL KAPOOR,Independent,24,23,38,31,22,39,53,51,35,24,26,29,33,16,23,39,12,8,3,13,17,19,17,25,17,14,18,7,6,17,8,5,2,0,Uttar Pradesh-Moradabad Rural,Moradabad Rural
13,LUBNA SUHEL,Independent,12,13,8,10,9,16,16,15,12,8,3,18,13,8,10,10,9,3,1,9,1,2,4,6,7,5,8,2,3,1,0,0,1,0,Uttar Pradesh-Moradabad Rural,Moradabad Rural
14,NOTA,None of the Above,42,41,35,35,28,44,36,52,37,33,30,38,40,56,56,52,30,30,45,41,41,26,25,16,29,40,14,22,23,20,4,2,5,0,Uttar Pradesh-Moradabad Rural,Moradabad Rural
