O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,AKHILESH,Samajwadi Party,1925,2574,2439,3222,2210,1663,2113,3837,3265,3599,3938,3495,3400,2456,3444,3583,2589,2395,2210,1885,2328,2443,2193,2987,2213,2473,2617,2456,2755,1101,Uttar Pradesh-Mubarakpur,Mubarakpur
2,ABDUSSALAM,Bahujan Samaj Party,1767,2069,1859,1259,2630,1852,2138,892,716,285,271,1371,1757,2046,1720,1770,2404,2354,1318,1782,1394,1526,2283,1771,1778,1392,1783,1796,1516,947,Uttar Pradesh-Mubarakpur,Mubarakpur
3,ARVIND JAISWAL,Bharatiya Janata Party,2017,1193,1166,1218,1635,2603,1464,1325,1097,635,1101,959,1819,875,2728,2100,1960,2320,3214,2917,1808,2852,1642,1625,2257,1493,1116,1566,1534,1104,Uttar Pradesh-Mubarakpur,Mubarakpur
4,PARVEEN BANO,Indian National Congress,44,27,45,20,47,44,30,51,29,21,22,45,39,41,49,51,30,36,69,52,53,57,41,41,35,27,169,50,27,35,Uttar Pradesh-Mubarakpur,Mubarakpur
5,KANHAIYA,Aazad Samaj Party (Kanshi Ram),14,4,9,6,11,11,10,12,7,5,6,10,14,12,21,9,11,10,20,22,9,38,20,10,12,6,10,12,10,5,Uttar Pradesh-Mubarakpur,Mubarakpur
6,NARENDRA SINGH CHAUHAN,Aam Aadmi Party,17,2,7,4,8,9,2,11,1,2,4,3,4,9,17,8,10,3,15,8,4,5,11,3,9,9,6,6,4,3,Uttar Pradesh-Mubarakpur,Mubarakpur
7,MOHAMMAD SHAMEEM,Bhartiya Sabka Dal,11,4,24,1,5,5,11,14,1,5,4,5,6,5,15,5,6,9,15,8,5,10,7,2,2,4,2,8,4,5,Uttar Pradesh-Mubarakpur,Mubarakpur
8,RAVISHANKAR BHARAT,Jan Raajya Party,7,6,10,4,11,4,15,17,6,6,8,12,12,5,16,11,8,8,24,19,7,9,12,6,6,20,7,13,15,9,Uttar Pradesh-Mubarakpur,Mubarakpur
9,RADHESHYAM,Rashtriya Bhagidari Party,19,8,15,24,19,10,50,29,21,26,26,37,18,22,30,19,16,10,21,16,30,14,13,6,12,18,8,14,7,9,Uttar Pradesh-Mubarakpur,Mubarakpur
10,RAMDULARE RAJBHAR,Jan Adhikar Party,17,14,24,13,19,41,17,30,17,8,8,15,56,168,124,22,32,39,81,116,16,79,13,25,12,19,21,5,16,39,Uttar Pradesh-Mubarakpur,Mubarakpur
11,SHAH ALAM (GUDDU JAMALI),All India Majlis-E-Ittehadul Muslimeen,441,1477,2955,3362,1677,446,1574,3474,2937,3949,3862,1346,665,1764,650,388,215,106,224,127,2002,754,108,43,170,436,708,136,139,284,Uttar Pradesh-Mubarakpur,Mubarakpur
12,PHULJHARI DEVI,Independent,21,20,14,18,17,12,24,20,13,7,17,14,16,11,18,15,19,12,21,20,18,13,17,15,12,14,18,16,24,8,Uttar Pradesh-Mubarakpur,Mubarakpur
13,LAL BIHARI MRITAK,Independent,26,16,26,12,22,16,21,16,9,4,9,23,31,21,33,27,25,30,31,41,16,22,26,20,32,18,19,31,25,20,Uttar Pradesh-Mubarakpur,Mubarakpur
14,NOTA,None of the Above,38,61,22,31,33,49,75,28,23,25,30,44,59,47,58,50,50,39,75,64,35,56,46,58,39,52,27,47,51,36,Uttar Pradesh-Mubarakpur,Mubarakpur
