O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,state_city,constituency_from_link
1,Ajit Pal Tyagi,Bharatiya Janata Party,2804,2758,3962,4271,4927,3349,4108,3159,4360,5206,2233,2529,1777,2085,2239,4700,5465,4683,5097,6054,4708,4313,2879,5214,5165,4629,4401,5595,3993,4947,5790,6203,4604,5504,5741,3378,4516,4822,4350,1314,450,Uttar Pradesh-Muradnagar,Muradnagar
2,Ayyuv Khan,Bahujan Samaj Party,538,338,859,608,813,907,652,540,501,328,106,500,79,200,1264,1161,484,879,218,214,117,835,782,245,419,593,133,143,979,704,283,102,393,244,254,167,836,1119,366,431,68,Uttar Pradesh-Muradnagar,Muradnagar
3,Vijendra Yadav,Indian National Congress,72,121,80,43,85,64,88,109,88,64,40,39,58,45,56,122,75,70,89,250,214,124,126,147,121,185,283,201,170,193,263,205,193,188,191,92,100,240,973,1111,6,Uttar Pradesh-Muradnagar,Muradnagar
4,Surendra Kumar Munni,Rashtriya Lok Dal,3774,3815,2778,1264,1480,2158,911,894,1324,2080,3984,4223,5723,5840,3374,1858,1332,1108,905,1680,740,2346,4195,934,908,920,685,853,624,557,557,610,941,813,676,1232,1195,866,766,568,103,Uttar Pradesh-Muradnagar,Muradnagar
5,Prerna Solanki,Nyay Party,49,33,55,24,43,38,23,10,6,19,25,34,50,47,46,27,70,26,14,12,8,28,53,13,9,17,8,9,55,12,19,2,8,2,8,9,11,17,11,7,6,Uttar Pradesh-Muradnagar,Muradnagar
6,Manoj Kumar Sharma (Hodia),Subhashwadi Bhartiya Samajwadi Party (Subhas Party),5,9,6,2,2,4,6,7,5,4,4,4,7,6,5,49,7,25,17,13,6,5,9,3,3,2,2,14,2,10,4,4,8,8,4,2,5,10,5,6,2,Uttar Pradesh-Muradnagar,Muradnagar
7,Mahesh Tyagi,Aam Aadmi Party,37,24,18,24,47,52,46,44,57,38,10,17,13,17,34,61,25,56,58,94,93,70,59,65,75,59,87,86,41,158,94,101,68,80,96,25,38,61,58,10,8,Uttar Pradesh-Muradnagar,Muradnagar
8,Rajkumar Tyagi,Vijay Bharat Party,10,15,6,6,8,7,3,2,2,6,7,3,11,12,8,11,5,9,4,4,0,4,17,0,2,7,1,2,0,2,3,1,1,0,1,4,5,2,5,2,1,Uttar Pradesh-Muradnagar,Muradnagar
9,Prabhat Kumar Sharma,Independent,7,3,6,5,6,10,6,3,3,4,2,4,5,3,8,4,8,7,5,2,2,6,16,0,0,4,2,0,4,6,2,2,1,0,1,5,6,5,6,9,0,Uttar Pradesh-Muradnagar,Muradnagar
10,Lalit Mohan Tyagi,Independent,7,9,9,5,6,11,7,7,5,7,9,5,5,13,10,17,10,22,3,8,0,14,21,4,5,4,7,0,10,6,3,3,5,1,2,8,6,15,16,16,1,Uttar Pradesh-Muradnagar,Muradnagar
11,NOTA,None of the Above,32,32,23,16,28,21,26,27,22,23,24,21,24,31,29,39,32,25,32,51,48,37,30,33,29,39,56,46,26,23,73,58,49,64,38,29,21,42,32,21,4,Uttar Pradesh-Muradnagar,Muradnagar
