O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,state_city,constituency_from_link
1,Kapil Dev Agarwal,Bharatiya Janata Party,6395,2294,1112,185,150,2937,6162,6765,7011,1962,2898,6434,3422,5795,5110,5784,6315,7066,6959,6722,2151,5235,4076,2592,2622,2995,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
2,PUSPANKAR DEEPAK,Bahujan Samaj Party,171,218,33,23,32,321,387,90,143,32,58,173,96,83,260,318,383,275,180,53,1397,731,1700,1072,1245,1176,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
3,SUBHODH SHARMA,Indian National Congress,40,59,61,55,42,43,46,50,56,61,78,78,65,86,34,139,82,72,68,83,90,60,48,43,96,47,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
4,SAURABH,Rashtriya Lok Dal,1458,5479,6758,8796,6934,5408,2030,2210,2258,5969,5858,2604,5343,2674,2843,1147,1508,979,643,1447,4179,1929,1765,4838,4365,3144,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
5,Abha Sharma,Aam Aadmi Party,16,24,13,27,21,18,16,11,9,25,17,13,22,17,17,16,22,22,9,21,29,11,18,41,21,18,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
6,Krishan Pal,Bharat Lok Sewak Party,2,7,3,2,5,1,4,4,7,1,10,17,5,14,7,2,7,10,8,0,13,8,2,13,11,7,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
7,Parvez Alam,Aazad Samaj Party (Kanshi Ram),9,23,46,21,22,13,17,3,7,36,36,13,16,18,16,6,22,12,5,7,41,20,72,185,15,42,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
8,MOHAMMED INTEZAR,All India Majlis-E-Ittehadul Muslimeen,8,151,342,384,412,195,49,34,37,310,296,93,239,92,163,9,30,8,1,18,136,79,26,80,161,387,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
9,RAJNISH,Rashtriya Samaj Paksha,2,6,6,8,12,4,2,6,5,8,47,59,23,35,65,4,5,6,0,2,15,7,9,39,1,13,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
10,Dharmendra Kumar,Independent,11,41,47,71,66,40,13,15,24,31,51,20,52,27,36,6,13,12,2,18,55,16,10,73,40,57,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
11,Neeraj Goyal,Independent,1,4,2,7,10,2,0,5,1,2,10,3,10,6,14,1,2,7,0,0,10,6,3,12,8,15,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
12,Raj Kishor Garg,Independent,9,13,9,19,24,10,8,5,18,10,25,30,13,15,17,4,6,13,3,6,30,21,6,27,31,38,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
13,Rahul Kumar Jain,Independent,3,7,6,20,32,7,5,2,5,13,11,13,14,8,11,1,2,9,4,0,16,12,6,38,22,34,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
14,LALIT KUMAR,Independent,3,5,1,3,2,2,2,2,2,1,6,3,2,5,7,0,2,8,2,1,8,2,9,11,6,7,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
15,SAMEY SINGH,Independent,1,6,2,4,8,6,4,5,4,6,8,5,6,6,9,1,3,11,4,5,18,6,13,26,27,16,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
16,NOTA,None of the Above,18,20,13,24,22,22,30,16,24,25,21,32,23,25,20,25,36,32,25,33,30,23,35,48,22,30,Uttar Pradesh-Muzaffar Nagar,Muzaffar Nagar
