O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,TASLEEM AHMAD,Samajwadi Party,4533,4047,3413,2704,2882,3097,3311,4442,2906,3520,4384,3316,2543,2377,2789,3383,5793,3353,6447,5822,6635,732,4416,4377,3251,3297,2621,1930,Uttar Pradesh-Najibabad,Najibabad
2,RAJA BHARATENDRA SINGH,Bharatiya Janata Party,2419,2486,2596,3918,2926,4116,3342,2327,2830,2079,2242,4325,4155,4177,3064,3679,1470,3725,1351,1249,813,5486,1712,1456,2344,1805,3101,3325,Uttar Pradesh-Najibabad,Najibabad
3,MOHD SALEEM ANSARI,Indian National Congress,97,60,55,102,67,74,60,65,45,55,30,52,86,69,393,44,32,55,28,42,52,85,34,43,39,31,58,100,Uttar Pradesh-Najibabad,Najibabad
4,SHAHNAWAZ ALAM,Bahujan Samaj Party,1260,2094,2145,1744,2033,1917,1750,1566,2364,1504,1093,1501,1144,2379,2048,770,790,607,744,1254,1122,1786,928,1679,1997,2369,2212,1795,Uttar Pradesh-Najibabad,Najibabad
5,MO. UMAR,Gareeb Kranti Party,15,27,21,17,26,21,22,16,23,17,9,16,9,26,34,10,6,3,4,6,6,9,13,17,14,15,14,18,Uttar Pradesh-Najibabad,Najibabad
6,MOHD DANISH,Aazad Samaj Party (Kanshi Ram),13,33,22,12,21,47,28,10,16,15,14,32,31,9,17,6,6,5,5,38,3,11,35,55,12,41,27,7,Uttar Pradesh-Najibabad,Najibabad
7,BEGRAJ,Rashtriya mahan Gantantra Party,7,9,14,10,12,5,8,7,14,3,5,7,23,10,11,5,6,2,2,7,3,2,4,10,4,3,3,11,Uttar Pradesh-Najibabad,Najibabad
8,BHUPENDRA SINGH,Ambedkar Samaj Party,13,10,8,10,13,7,7,10,6,5,9,8,5,7,8,7,2,1,2,5,6,3,6,6,5,10,5,9,Uttar Pradesh-Najibabad,Najibabad
9,SHARVAN RAJPUT,Aam Aadmi Party,20,13,12,13,21,20,13,13,7,8,16,19,26,19,18,14,23,14,6,6,15,45,8,11,9,6,8,13,Uttar Pradesh-Najibabad,Najibabad
10,OM PRAKASH,Independent,10,20,19,22,14,19,12,15,24,11,10,11,18,15,12,3,5,3,6,7,9,7,8,16,18,15,14,14,Uttar Pradesh-Najibabad,Najibabad
11,SHAHNAWAZ,Independent,11,14,17,8,20,8,12,22,11,9,16,13,15,18,15,3,7,3,4,10,8,4,4,13,10,15,10,11,Uttar Pradesh-Najibabad,Najibabad
12,HAMID HUSAIN,Independent,29,22,15,28,22,25,14,24,19,12,12,25,18,39,14,10,5,8,6,13,12,12,11,12,9,14,20,26,Uttar Pradesh-Najibabad,Najibabad
13,NOTA,None of the Above,54,72,59,54,53,69,41,72,55,40,62,63,48,75,44,34,30,34,40,73,39,30,29,39,29,41,37,52,Uttar Pradesh-Najibabad,Najibabad
