O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,DR. DHARAM SINGH SAINI,Samajwadi Party,2968,6626,4232,6817,5010,5182,4455,3573,4874,4972,1205,3885,1760,3483,3704,3995,2827,2997,3150,4544,2211,1743,877,2807,1893,2158,2726,1391,4623,2733,195,Uttar Pradesh-Nakur,Nakur
2,MUKESH CHOUDHARY,Bharatiya Janata Party,4343,1780,2535,1302,2854,1945,2802,2146,1944,1275,3279,2428,4518,3604,3560,3580,4347,4106,4429,2378,4097,6209,6091,3288,4210,3992,5032,5923,2479,2997,298,Uttar Pradesh-Nakur,Nakur
3,RANDHEER SINGH,Indian National Congress,38,27,17,37,25,44,29,45,25,36,53,46,63,42,44,38,58,92,48,64,55,42,40,60,56,46,83,38,24,38,0,Uttar Pradesh-Nakur,Nakur
4,SAHIL KHAN,Bahujan Samaj Party,1079,1441,1185,1776,1744,900,2110,2227,1963,1749,3300,2869,1713,929,1971,1629,1943,1854,1747,1940,2715,1307,1693,2900,1780,1818,1293,1207,1649,2398,203,Uttar Pradesh-Nakur,Nakur
5,ATUL KUMAR,Inqalab Vikas Dal,20,8,12,12,6,13,16,17,17,9,23,17,9,4,14,14,20,11,14,13,15,15,10,14,9,17,12,17,15,25,2,Uttar Pradesh-Nakur,Nakur
6,ASHISH TYAGI,Aam Aadmi Party,7,5,0,4,11,5,3,0,8,6,10,15,5,0,4,4,2,10,14,9,15,7,4,18,26,23,4,10,4,6,0,Uttar Pradesh-Nakur,Nakur
7,DEVENDRA CHAUHAN,Aamjan Ekta Party,5,6,3,7,1,6,7,4,7,5,12,6,5,5,7,6,9,11,12,7,7,7,12,10,17,10,9,8,3,4,0,Uttar Pradesh-Nakur,Nakur
8,NAHID LATIF,Lok Dal,5,3,5,7,11,2,9,2,23,8,13,9,2,4,7,5,6,6,4,3,13,5,6,3,5,11,12,7,7,5,1,Uttar Pradesh-Nakur,Nakur
9,NITIN KUMAR,Jai Maha Bharath Party,10,5,13,6,7,3,10,7,6,8,12,11,6,6,11,9,5,11,14,7,25,6,4,10,9,11,7,11,3,12,1,Uttar Pradesh-Nakur,Nakur
10,RIZWANA,All India Majlis-E-Ittehadul Muslimeen,64,171,140,576,133,67,230,99,373,141,179,176,9,42,100,134,83,17,204,202,59,34,9,48,24,8,17,50,157,44,1,Uttar Pradesh-Nakur,Nakur
11,SONU KUMAR,Aazad Samaj Party (Kanshi Ram),24,19,15,24,23,8,17,27,14,25,39,23,13,16,22,15,21,29,13,23,24,22,23,18,17,17,22,23,13,24,1,Uttar Pradesh-Nakur,Nakur
12,NOTA,None of the Above,25,42,29,26,32,16,27,15,24,27,20,18,24,22,17,33,22,25,24,24,26,21,14,16,23,32,17,19,24,26,0,Uttar Pradesh-Nakur,Nakur
