O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Ommani Varma,Bharatiya Janata Party,3426,2885,2405,2936,3340,2872,2701,3657,3814,2824,4096,3685,3695,2399,2300,3549,3873,2298,1789,2174,2125,3191,1453,2042,2542,2555,2572,3285,2559,Uttar Pradesh-Naraini,Naraini 
2,Kiran Verma,Samajwadi Party,3101,2381,3818,2551,2345,2593,3780,2315,1311,2506,2795,2400,2368,2705,2102,1812,1697,3076,2547,2371,2651,2272,2545,2983,2941,2894,2640,4065,2413,Uttar Pradesh-Naraini,Naraini 
3,GAYACHARAN DINKAR,Bahujan Samaj Party,1732,1697,1289,1696,1502,851,647,907,1117,889,909,743,1251,857,1246,627,675,1745,2140,2160,1909,1202,1514,1531,1144,1618,1007,1384,757,Uttar Pradesh-Naraini,Naraini 
4,DAYARAM,Communist Party of India,120,76,81,98,101,63,90,114,115,123,121,129,134,90,59,33,57,75,65,88,91,85,68,88,71,66,87,117,45,Uttar Pradesh-Naraini,Naraini 
5,PAWAN DEVI,Indian National Congress,68,74,60,55,68,46,53,85,60,90,111,57,80,62,68,82,86,40,63,51,97,62,36,43,23,46,55,40,39,Uttar Pradesh-Naraini,Naraini 
6,RADHE SHYAM,Aam Aadmi Party,22,18,32,40,35,12,17,17,23,26,23,26,21,24,22,20,14,24,29,16,29,25,30,16,19,14,20,29,17,Uttar Pradesh-Naraini,Naraini 
7,RITESH KUMAR,Aazad Samaj Party (Kanshi Ram),32,37,47,33,37,14,28,36,29,27,35,36,37,25,37,7,21,29,38,46,62,41,34,38,26,38,35,39,28,Uttar Pradesh-Naraini,Naraini 
8,Lavlesh Kumar,Ambedkar Samaj Party,33,41,54,55,52,15,18,41,112,47,43,42,34,47,27,14,20,52,50,71,67,31,64,53,40,66,47,56,28,Uttar Pradesh-Naraini,Naraini 
9,SHANKAR LAL,Jan Adhikar Party,116,226,455,176,297,50,121,32,47,68,85,138,86,288,125,87,120,528,334,559,810,433,296,78,88,339,393,108,45,Uttar Pradesh-Naraini,Naraini 
10,NOTA,None of the Above,160,120,137,125,127,68,80,112,107,135,187,162,162,99,73,49,70,117,113,124,131,114,124,140,111,120,140,132,81,Uttar Pradesh-Naraini,Naraini 
