O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,AMAN MANI TRIPATHI,Bahujan Samaj Party,1746,2450,2006,1240,669,949,1385,1484,1629,1369,1523,1077,1404,1547,1951,1428,1126,1010,1501,1433,1103,1647,1272,1367,879,1550,1425,1490,1284,1272,1572,1558,438,179,Uttar Pradesh-Nautanwa,Nautanwa
2,KUNWAR KAUSHAL SINGH,Samajwadi Party,2138,2796,2776,2153,1906,2370,2406,2074,2694,2086,2852,3230,2482,2981,2620,2543,2064,2189,2088,1783,1772,1969,2462,2054,1906,1865,2035,2005,2627,2148,1935,2349,606,288,Uttar Pradesh-Nautanwa,Nautanwa
3,SADA MOHAN,Indian National Congress,91,75,106,91,65,70,102,109,149,153,143,63,124,95,110,209,279,751,310,211,436,189,97,114,102,156,133,69,128,105,66,113,24,13,Uttar Pradesh-Nautanwa,Nautanwa
4,RISHI,Nirbal Indian Shoshit Hamara Aam Dal,2782,3077,3859,3567,2960,3960,3210,2677,3079,3428,1683,2702,2935,2507,1875,2277,2695,1527,3251,3179,2796,2288,2209,3147,3345,2800,2385,2426,2702,2624,2374,2902,416,478,Uttar Pradesh-Nautanwa,Nautanwa
5,NAGENDRA PRASAD,Jan Adhikar Party,104,130,116,62,47,63,81,107,128,62,205,100,66,163,66,92,114,121,76,72,205,70,122,169,65,50,54,56,72,111,75,107,16,3,Uttar Pradesh-Nautanwa,Nautanwa
6,PASHUPATI,Aam Janta Party (India),15,15,22,14,17,18,33,19,21,28,7,22,18,15,25,14,24,9,30,26,20,17,12,21,28,42,19,14,19,19,30,26,2,0,Uttar Pradesh-Nautanwa,Nautanwa
7,BECHAN,Aam Aadmi Party,12,15,19,20,13,13,14,17,18,23,3,13,17,13,25,19,14,10,32,34,130,32,15,19,25,24,27,6,24,34,14,16,6,1,Uttar Pradesh-Nautanwa,Nautanwa
8,VEERENDRA,Independent,29,13,36,41,13,41,40,27,33,23,8,30,12,22,22,16,19,19,30,38,37,33,11,28,46,35,32,14,33,31,23,29,4,3,Uttar Pradesh-Nautanwa,Nautanwa
9,SHEWETA SINGH,Independent,13,16,25,22,11,13,28,26,36,21,18,30,21,19,18,26,30,24,37,51,27,22,18,27,33,31,26,14,40,20,24,40,5,2,Uttar Pradesh-Nautanwa,Nautanwa
10,SONU SINGH,Independent,22,18,27,15,14,9,40,16,27,40,22,25,23,27,18,56,32,17,39,30,12,24,20,21,28,28,34,13,20,12,23,22,4,7,Uttar Pradesh-Nautanwa,Nautanwa
11,NOTA,None of the Above,60,53,86,51,45,51,70,54,75,60,46,69,51,53,71,63,74,49,101,96,57,63,56,51,73,84,82,46,64,58,56,64,17,11,Uttar Pradesh-Nautanwa,Nautanwa
