O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,Dr. M. P. Arya,Bharatiya Janata Party,4778,3890,3567,3631,4489,3648,2164,2546,892,4127,5514,4522,2423,1955,4178,3649,2647,3882,4405,3822,3246,6127,5621,3785,4537,4390,3334,4085,3980,995,Uttar Pradesh-Nawabganj,Nawabganj
2,Usha Devi Gangwar,Indian National Congress,41,86,71,47,77,131,100,82,83,141,81,121,28,33,40,80,47,63,50,39,49,90,80,57,66,56,54,62,65,11,Uttar Pradesh-Nawabganj,Nawabganj
3,BHAGWAT SARAN GANGWAR,Samajwadi Party,2068,3686,3420,3352,3739,2795,4831,3987,5768,3730,3128,2866,5034,4750,2555,3992,4748,3755,2323,3211,3281,2761,2361,2647,3051,3372,3081,2688,3567,738,Uttar Pradesh-Nawabganj,Nawabganj
4,Yusuf Khan,Bahujan Samaj Party,439,736,346,575,396,667,623,326,45,261,334,365,59,64,72,172,259,330,978,245,353,228,163,476,693,601,420,340,261,220,Uttar Pradesh-Nawabganj,Nawabganj
5,Ratan Lal,Bharatiya Subhash Sena,7,12,7,8,12,13,12,14,3,26,58,16,3,3,3,9,6,9,25,3,9,10,46,15,13,8,16,9,6,3,Uttar Pradesh-Nawabganj,Nawabganj
6,RASHID ALI,Aazad Samaj Party (Kanshi Ram),4,10,5,13,8,5,18,8,8,23,5,12,2,4,3,5,2,2,6,13,7,7,10,3,9,9,12,5,7,0,Uttar Pradesh-Nawabganj,Nawabganj
7,Mohd. Saleem,Bahujan Mukti Party,4,9,2,7,5,5,10,8,35,26,9,10,7,8,7,13,11,30,4,12,5,3,5,6,5,6,14,10,4,2,Uttar Pradesh-Nawabganj,Nawabganj
8,Sunita Gangwar,Aam Aadmi Party,18,15,17,6,15,9,20,14,6,38,51,15,3,5,14,15,17,21,19,29,44,14,35,35,22,33,45,21,17,6,Uttar Pradesh-Nawabganj,Nawabganj
9,Umesh Kumar,Independent,6,2,7,10,4,7,5,3,3,12,3,9,0,1,2,5,1,3,7,3,3,3,4,6,11,5,8,6,6,3,Uttar Pradesh-Nawabganj,Nawabganj
10,Komil Parshad,Independent,5,10,7,6,5,11,10,7,4,13,5,10,7,2,4,10,8,7,10,6,6,6,7,10,14,10,18,7,10,3,Uttar Pradesh-Nawabganj,Nawabganj
11,Meenakshi Gangwar,Independent,22,31,16,30,20,19,29,33,25,37,21,35,18,19,11,14,20,9,21,22,26,22,29,12,31,38,35,24,41,12,Uttar Pradesh-Nawabganj,Nawabganj
12,Lekhraj Gangwar,Independent,10,12,14,5,11,14,13,7,9,16,9,8,1,1,7,9,8,14,12,8,7,20,9,13,13,12,15,15,19,8,Uttar Pradesh-Nawabganj,Nawabganj
13,NOTA,None of the Above,46,53,121,54,56,36,41,30,20,63,56,64,26,15,38,44,34,49,51,41,28,72,69,37,44,62,53,67,60,20,Uttar Pradesh-Nawabganj,Nawabganj
