O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,OMKUMAR,Bharatiya Janata Party,4034,3162,2740,2397,4596,3332,2608,2117,4153,2809,2590,3450,2387,2396,3555,1504,2558,3552,1756,3355,3519,3541,2764,3488,3431,1090,557,Uttar Pradesh-Nehtaur,Nehtaur
2,PRIYA SINGH,Bahujan Samaj Party,1662,1505,1113,1549,1466,927,1493,757,1616,1654,1731,1767,2388,1211,118,229,1299,2036,2313,2331,1510,1872,1701,1298,1036,441,778,Uttar Pradesh-Nehtaur,Nehtaur
3,MEENAKSHI,Indian National Congress,55,41,54,42,55,51,40,33,54,38,49,66,64,61,36,62,66,61,39,63,48,72,54,63,42,20,8,Uttar Pradesh-Nehtaur,Nehtaur
4,MUNSHIRAM,Rashtriya Lok Dal,2802,2728,3388,1855,2125,1639,2513,3716,1971,2497,2968,2610,1882,4492,4669,7668,3916,2690,2467,2638,2217,2607,2920,3800,3338,437,646,Uttar Pradesh-Nehtaur,Nehtaur
5,ALOK KUMAR,Aazad Samaj Party (Kanshi Ram),62,42,44,45,41,30,29,41,41,31,51,59,35,53,65,98,52,38,34,41,28,50,54,82,48,127,13,Uttar Pradesh-Nehtaur,Nehtaur
6,OMKAR SINGH,Rashtrawadi Janlok Party (Satya),20,13,21,16,15,9,10,16,13,11,16,17,16,5,13,13,17,12,11,17,14,18,30,19,28,5,5,Uttar Pradesh-Nehtaur,Nehtaur
7,GITA,Ambedkar Samaj Party,8,10,13,15,15,17,7,12,13,13,16,13,16,16,10,10,20,12,17,17,9,21,14,25,8,3,6,Uttar Pradesh-Nehtaur,Nehtaur
8,DILAWAR,Peoples Party of India (Democratic),16,20,18,14,13,21,27,25,21,16,20,23,9,19,9,16,14,15,31,21,11,18,13,15,6,8,10,Uttar Pradesh-Nehtaur,Nehtaur
9,PRATAP SINGH,Bhartiya Damitjan Party,16,19,17,26,21,13,21,18,21,14,29,23,19,28,23,22,13,16,19,26,21,28,32,40,16,7,8,Uttar Pradesh-Nehtaur,Nehtaur
10,VISHAL KUMAR,Aam Aadmi Party,20,8,12,11,15,21,17,12,19,14,21,16,12,4,4,9,20,12,7,11,11,14,12,9,4,1,9,Uttar Pradesh-Nehtaur,Nehtaur
11,RISHIPAL,Independent,30,16,22,14,21,11,22,10,23,19,22,21,25,11,8,9,20,16,22,13,18,26,12,14,10,4,9,Uttar Pradesh-Nehtaur,Nehtaur
12,NOTA,None of the Above,28,36,52,40,38,26,39,54,42,36,50,38,48,38,58,44,58,50,32,42,33,37,43,28,38,8,18,Uttar Pradesh-Nehtaur,Nehtaur
