O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,ANIL KUMAR YADAV,Indian National Congress,106,50,75,81,137,78,78,64,87,112,73,74,83,49,58,80,115,160,43,71,58,69,94,114,67,85,70,59,Uttar Pradesh-Nizamabad,Nizamabad
2,ALAM BADI,Samajwadi Party,2303,3712,2719,3052,2946,2997,2668,2910,3360,2945,3461,1411,2498,2387,3536,2539,3206,2925,3925,2762,2650,2925,3019,3200,2522,2658,2473,1313,Uttar Pradesh-Nizamabad,Nizamabad
3,JITENDRA,Communist Party of India,56,51,21,41,58,55,56,35,44,68,47,62,37,36,35,38,31,33,37,44,53,48,43,51,37,41,40,26,Uttar Pradesh-Nizamabad,Nizamabad
4,PIYUSH KUMAR SINGH,Bahujan Samaj Party,2056,1357,2184,1547,1355,1688,1590,1627,1524,1921,1750,1619,1796,1794,1144,2011,1059,1695,850,1834,1811,2213,1307,1305,1721,1141,1402,1125,Uttar Pradesh-Nizamabad,Nizamabad
5,MANOJ,Bharatiya Janata Party,2303,1170,1074,1595,2202,2079,1843,1670,1688,1907,1634,2427,1508,1094,860,912,1141,1106,2679,1071,1718,1337,982,1449,1966,2906,2115,1008,Uttar Pradesh-Nizamabad,Nizamabad
6,AKHTAR ALI,Aazad Samaj Party (Kanshi Ram),31,13,18,19,24,38,25,21,23,33,34,38,29,17,27,37,24,19,23,25,24,24,22,19,29,26,26,21,Uttar Pradesh-Nizamabad,Nizamabad
7,ABDURRAHMAN ANSARI,All India Majlis-E-Ittehadul Muslimeen,15,268,21,69,10,31,10,32,25,152,194,11,529,749,447,205,240,256,354,316,411,355,587,205,397,96,82,30,Uttar Pradesh-Nizamabad,Nizamabad
8,ARASAD,Bahujan Kranti Party (Marxwad-Ambedkarwad),11,5,9,8,10,10,6,8,7,11,15,6,6,9,6,14,8,17,6,9,15,11,10,9,5,12,5,3,Uttar Pradesh-Nizamabad,Nizamabad
9,SHAHRIYAR MOHAMMED SADIQ,Aam Aadmi Party,16,5,9,3,12,73,8,7,18,15,24,22,10,9,5,8,5,6,10,7,2,4,8,11,9,7,11,2,Uttar Pradesh-Nizamabad,Nizamabad
10,SHAH KAMAR,Rashtriya Jantantrik Bharat Vikas Party,23,18,22,17,13,24,11,14,4,14,13,16,18,19,12,24,36,13,14,9,18,9,9,19,17,15,16,10,Uttar Pradesh-Nizamabad,Nizamabad
11,SUSHIL KUMAR YADAV,Rashtriya Teesara Vikalp Party,31,24,20,20,21,26,26,16,21,19,27,23,16,26,22,21,22,18,12,17,21,17,17,24,24,15,21,11,Uttar Pradesh-Nizamabad,Nizamabad
12,RAJMANI MISHRA,Independent,20,17,21,17,25,18,53,16,17,16,20,14,13,6,14,9,18,16,9,9,10,9,16,17,14,16,11,8,Uttar Pradesh-Nizamabad,Nizamabad
13,RAJIV YADAV,Independent,38,52,39,65,35,35,28,33,21,77,28,35,17,62,48,26,35,43,30,48,37,32,64,58,47,28,31,25,Uttar Pradesh-Nizamabad,Nizamabad
14,NOTA,None of the Above,54,40,38,35,48,39,50,44,21,45,49,38,33,38,38,41,35,30,27,21,33,34,48,40,34,44,35,33,Uttar Pradesh-Nizamabad,Nizamabad
