O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,state_city,constituency_from_link
1,Kripa Ram Sharma,Bahujan Samaj Party,501,274,423,712,183,245,171,1490,587,410,229,219,351,245,296,925,417,368,367,377,530,381,692,545,485,347,649,132,378,322,138,387,406,687,271,269,506,352,Uttar Pradesh-Noida,Noida
2,Pankaj Singh,Bharatiya Janata Party,5678,4959,4951,7129,8214,7752,6391,6254,6195,6695,6163,6710,6220,6051,7444,5698,6724,6877,6031,6297,5807,5166,6627,6904,6262,6264,6968,7479,6069,7206,7396,5668,6383,7358,5556,6600,6721,5224,Uttar Pradesh-Noida,Noida
3,Pankhuri Pathak,Indian National Congress,290,158,416,305,577,558,573,303,554,388,604,484,308,513,544,256,137,427,299,193,384,472,246,155,94,163,265,587,356,558,634,274,162,140,127,414,302,265,Uttar Pradesh-Noida,Noida
4,Sunil Choudhary,Samajwadi Party,2604,2328,2257,1288,961,1168,1137,1681,1046,922,996,1316,2025,1100,1524,1586,1640,1205,1284,1432,1400,1408,1535,1520,2107,1435,2083,1388,3451,2135,1305,2325,1405,1430,3996,908,1799,1592,Uttar Pradesh-Noida,Noida
5,Ashish Sharma,Loktantrik Janshakti Party,14,8,8,7,4,7,1,18,6,2,2,2,3,7,3,10,2,7,7,9,6,6,9,7,9,7,5,1,11,7,5,12,9,10,14,1,11,8,Uttar Pradesh-Noida,Noida
6,Dhruv Agraval,Liberal Party of India,20,18,15,7,4,3,1,16,6,10,5,7,15,10,4,16,10,1,16,8,17,3,5,13,15,14,12,9,18,16,4,15,11,14,16,4,6,6,Uttar Pradesh-Noida,Noida
7,Nitish,Rashtriya Janta Party,7,4,4,2,2,2,3,5,5,2,2,8,2,2,1,8,1,3,1,4,10,2,17,6,9,6,5,7,4,1,3,2,5,10,5,3,14,3,Uttar Pradesh-Noida,Noida
8,Pankaj Avana,Aam Aadmi Party,204,116,170,141,250,237,242,155,101,86,169,198,96,163,227,150,133,173,152,183,228,225,146,148,150,186,138,179,246,155,169,123,135,130,236,202,268,135,Uttar Pradesh-Noida,Noida
9,Bijender Singh Urf Bijendra Singh,Vijay Bharat Party,2,12,6,21,5,3,0,8,2,2,4,2,4,1,2,7,5,1,5,4,3,2,4,4,14,3,6,7,4,4,2,23,31,12,3,1,0,2,Uttar Pradesh-Noida,Noida
10,Rohit,Rashtrawadi Janlok Party (Satya),9,19,7,7,3,4,2,8,12,12,10,4,3,3,8,14,17,3,6,7,4,3,4,0,6,7,6,6,5,13,7,13,12,12,10,3,5,9,Uttar Pradesh-Noida,Noida
11,Yeshu Singh,Independent,13,16,8,6,3,1,5,9,1,5,5,6,7,6,0,8,9,3,11,4,8,5,7,8,5,5,8,8,3,13,3,9,10,5,8,4,7,5,Uttar Pradesh-Noida,Noida
12,Sarmedra,Independent,14,5,13,1,6,3,2,13,5,5,1,4,4,1,3,8,9,1,3,3,9,6,2,5,6,6,11,3,5,6,3,5,11,14,14,2,4,2,Uttar Pradesh-Noida,Noida
13,Sorabh Goel,Independent,18,31,20,8,7,9,8,22,8,19,1,10,16,13,7,17,6,11,12,21,24,11,11,11,16,9,15,10,5,5,8,20,17,28,20,2,12,10,Uttar Pradesh-Noida,Noida
14,NOTA,None of the Above,39,41,51,46,99,112,119,49,57,59,86,106,65,83,103,62,35,90,67,49,81,65,64,48,28,35,52,96,57,74,84,54,43,40,53,63,68,39,Uttar Pradesh-Noida,Noida
