O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,state_city,constituency_from_link
1,URMILA DEVI SONKAR KHABRI,Indian National Congress,117,96,86,141,149,176,127,147,134,89,121,137,144,113,170,121,149,106,110,123,157,153,100,77,75,88,87,93,124,157,138,88,113,123,200,135,101,71,Uttar Pradesh-Orai,Orai 
2,GAURI SHANKAR,Bharatiya Janata Party,3459,3426,2809,3743,3654,3633,3415,2767,2898,2862,3491,4203,3619,3244,3425,3443,3350,3548,2176,3715,3153,4280,4152,2932,1960,1954,2716,3564,3463,3770,5321,3935,3849,3788,4592,4010,2338,1643,Uttar Pradesh-Orai,Orai 
3,DAYASHANKAR VERMA,Samajwadi Party,2624,3511,3302,2354,1451,1750,2387,1675,2046,2890,2073,2562,2022,2216,1734,2194,2076,1927,3641,2116,1793,1705,1935,2912,5221,5219,3785,2088,1805,1511,2153,1361,1677,1835,1788,1410,2811,2409,Uttar Pradesh-Orai,Orai 
4,SATYENDRA PRATAP,Bahujan Samaj Party,479,786,1070,885,1225,1034,1362,1626,1708,1217,1486,1169,886,1456,1647,1089,1021,777,703,1554,2759,555,443,1103,203,126,377,1178,944,936,317,663,521,982,1183,1114,1211,747,Uttar Pradesh-Orai,Orai 
5,JAMUNADAS,Bahujan Mukti Party,3,9,15,10,20,15,31,15,98,12,20,19,17,31,24,28,10,15,24,18,29,15,9,8,3,1,3,11,4,4,6,15,13,14,17,20,10,8,Uttar Pradesh-Orai,Orai 
6,DEEPSHIKHA,Aam Aadmi Party,7,15,17,55,15,48,16,26,13,25,31,35,12,22,30,72,31,37,34,82,40,23,21,17,4,8,31,27,28,34,21,55,48,27,14,12,18,34,Uttar Pradesh-Orai,Orai 
7,BALAK RAM,Jan Adhikar Party,44,29,38,17,69,109,52,46,14,130,195,43,34,42,13,32,42,37,112,11,9,22,10,26,43,31,111,14,2,6,8,5,11,70,25,10,69,23,Uttar Pradesh-Orai,Orai 
8,CH. LACHCHIRAM,RASHTRIYA VIKLANG PARTY,10,6,3,3,7,9,11,7,5,6,8,10,16,6,5,3,5,9,13,5,10,9,2,2,6,5,1,5,3,1,3,1,9,11,9,16,5,0,Uttar Pradesh-Orai,Orai 
9,SITARAM VERMA,Swatantra Jantaraj Party,0,3,8,9,11,8,11,8,7,29,4,8,5,21,12,11,13,14,15,16,4,9,4,8,3,1,3,3,5,1,7,15,22,12,16,9,9,6,Uttar Pradesh-Orai,Orai 
10,SUSHIL KUMAR,Desh Shakti Party,11,13,14,7,19,14,19,16,22,16,18,23,11,20,13,14,21,35,19,22,14,14,7,9,7,4,5,14,7,7,6,13,30,21,25,19,17,13,Uttar Pradesh-Orai,Orai 
11,CHANDRABHAN,Independent,12,12,7,9,10,18,19,15,22,16,12,8,13,12,11,15,24,24,19,23,8,10,6,8,14,3,8,3,24,3,5,9,21,21,30,19,12,12,Uttar Pradesh-Orai,Orai 
12,DAL SINGH,Independent,11,15,12,7,14,12,13,15,20,21,15,21,12,15,14,19,20,25,23,25,11,13,8,5,16,9,9,8,2,2,11,21,51,23,31,9,18,28,Uttar Pradesh-Orai,Orai 
13,PREMLATA VERMA,Independent,22,8,12,20,20,22,18,22,26,25,28,28,32,33,29,25,37,36,27,29,14,24,21,15,10,8,8,14,9,18,13,25,51,36,52,23,17,22,Uttar Pradesh-Orai,Orai 
14,NOTA,None of the Above,33,41,34,38,40,52,40,42,42,48,32,56,46,48,36,37,60,69,51,58,38,35,47,31,31,19,30,19,23,27,43,43,90,80,82,62,36,42,Uttar Pradesh-Orai,Orai 
