O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,PAWAN KUMAR UPADHYAY,Bahujan Samaj Party,1235,782,707,945,885,769,656,996,1048,1130,703,647,505,659,644,520,364,1000,839,637,90,208,305,473,656,771,591,980,813,329,Uttar Pradesh-Padrauna,Padrauna
2,MANISH KUMAR URF MANTU,Bharatiya Janata Party,3420,4073,4026,4389,3316,3669,3880,4334,3395,3191,3668,2979,3291,4767,2749,2956,5352,4583,4507,4348,4831,3438,3594,2986,3264,3818,3856,5183,2814,3482,Uttar Pradesh-Padrauna,Padrauna
3,MD JAHIRUDDIN,Indian National Congress,132,95,143,126,95,119,89,102,104,102,82,96,92,169,102,114,101,101,127,80,71,138,118,200,99,89,109,127,90,119,Uttar Pradesh-Padrauna,Padrauna
4,VIKRAMA YADAV,Samajwadi Party,1971,2323,2344,2101,2698,2270,1859,1792,1929,2514,2123,2625,3244,2411,3099,3324,2034,1660,1660,1595,1402,3467,2835,3568,3421,2500,2145,1715,2713,2455,Uttar Pradesh-Padrauna,Padrauna
5,ASHOK KUMAR TIWARI,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),24,28,33,30,26,26,36,20,20,28,18,30,17,27,32,38,15,23,15,11,13,12,12,29,35,14,46,26,21,8,Uttar Pradesh-Padrauna,Padrauna
6,IJHAR,Independent,37,20,19,30,19,11,23,26,11,23,14,83,12,26,25,20,6,10,11,7,2,4,8,14,13,11,10,17,8,8,Uttar Pradesh-Padrauna,Padrauna
7,JAVED KHAN,All India Majlis-E-Ittehadul Muslimeen,174,197,213,266,614,294,1072,616,492,553,87,439,254,313,518,387,113,34,38,39,36,118,79,374,208,34,33,38,237,104,Uttar Pradesh-Padrauna,Padrauna
8,FAKHARE ALAM ANSARI,Independent,20,24,29,22,21,15,27,20,20,23,19,30,16,18,28,17,25,18,18,9,8,3,10,32,17,13,13,17,24,9,Uttar Pradesh-Padrauna,Padrauna
9,RAMESH PRASAD,Aam Janata Party,14,13,15,20,17,11,14,16,18,22,9,10,8,21,13,23,14,12,12,7,7,4,3,11,14,13,15,22,12,16,Uttar Pradesh-Padrauna,Padrauna
10,RAVISHANKAR,Aam Aadmi Party,10,8,16,10,16,10,20,14,16,9,10,11,8,20,14,14,16,6,8,15,9,8,3,13,10,5,9,16,8,13,Uttar Pradesh-Padrauna,Padrauna
11,DR. ABHISHEK TRIPATHI,Independent,18,5,12,10,4,12,15,4,12,15,4,13,6,15,11,14,14,13,13,11,9,9,19,13,13,7,14,10,10,6,Uttar Pradesh-Padrauna,Padrauna
12,AINOODDIN AHMAD WARSI,Independent,13,19,26,14,18,17,12,15,20,19,12,8,8,20,15,16,12,5,7,9,8,22,7,21,12,11,14,17,19,6,Uttar Pradesh-Padrauna,Padrauna
13,ANSHUMAN BANKA,Independent,71,47,50,58,36,53,63,87,64,60,128,66,61,55,77,56,64,107,185,93,699,229,210,97,44,57,63,79,38,23,Uttar Pradesh-Padrauna,Padrauna
14,MOSAHAB,Independent,85,76,100,88,65,52,77,83,49,70,47,59,22,112,52,78,112,69,63,43,39,11,8,68,64,52,55,96,48,37,Uttar Pradesh-Padrauna,Padrauna
15,RAJU,Independent,32,39,47,41,26,30,33,26,24,30,28,34,26,51,30,28,53,44,38,28,17,18,12,40,53,27,36,45,48,19,Uttar Pradesh-Padrauna,Padrauna
16,NOTA,None of the Above,57,73,55,59,46,43,53,50,54,61,24,37,45,64,42,47,58,59,54,39,22,18,17,45,59,39,43,63,32,35,Uttar Pradesh-Padrauna,Padrauna
