O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Mohd. Imran Ali,Indian National Congress,51,54,46,82,45,83,25,61,44,32,44,16,27,27,32,17,36,31,36,33,15,47,20,68,49,28,42,33,48,30,41,1,Uttar Pradesh-Patiyali,Patiyali
2,Nadira Sultan,Samajwadi Party,2293,2404,1886,6204,4873,8464,2666,3064,2985,2163,3334,3590,2470,871,2744,1575,2546,1960,1718,3072,3029,2893,1443,3511,1136,1013,2898,1622,3851,5190,3970,107,Uttar Pradesh-Patiyali,Patiyali
3,Neeraj Kishore Mishra,Bahujan Samaj Party,1387,1526,1447,288,548,176,666,1303,483,999,1132,1001,1082,1562,486,819,1005,441,819,1119,449,1624,2872,904,1170,1810,632,1745,522,95,347,66,Uttar Pradesh-Patiyali,Patiyali
4,Mamtesh Shakya,Bharatiya Janata Party,3189,3289,3749,381,1659,741,4083,3634,3362,3077,2656,2886,3282,3684,2665,3977,3763,4003,3398,2777,2425,2563,2494,3090,4064,3554,2648,2999,1906,180,1258,305,Uttar Pradesh-Patiyali,Patiyali
5,Kamlesh Kumar,Moulik Adhikar Party,36,46,50,4,9,6,26,18,32,35,28,22,15,14,14,18,35,32,29,12,15,24,24,42,30,30,21,19,31,3,7,4,Uttar Pradesh-Patiyali,Patiyali
6,Kallu Singh,Rashtriya Backward Party,8,3,9,5,2,1,3,5,4,16,4,1,2,4,6,2,4,12,4,4,1,8,4,8,12,8,2,5,8,3,2,0,Uttar Pradesh-Patiyali,Patiyali
7,Girish Chandra,Rashtriya Shoshit Samaj Party,33,20,41,0,1,0,6,16,7,66,7,5,2,30,17,19,38,76,42,1,1,6,8,53,46,9,1,37,12,0,2,4,Uttar Pradesh-Patiyali,Patiyali
8,Meera Rani,Bhartiya Shakti Chetna Party,19,15,8,1,3,1,0,6,8,12,8,3,6,5,7,9,12,7,8,3,0,19,37,14,11,10,6,9,7,4,0,0,Uttar Pradesh-Patiyali,Patiyali
9,Yusuf,Aam Aadmi Party,6,7,11,3,1,6,2,9,3,11,3,5,20,5,3,8,9,7,16,4,1,9,9,13,5,5,4,7,9,25,3,1,Uttar Pradesh-Patiyali,Patiyali
10,Vivek Kumar,Jan Adhikar Party,25,30,85,21,20,20,16,47,21,45,33,19,30,121,21,13,83,295,136,6,4,35,21,333,89,486,58,87,15,4,5,0,Uttar Pradesh-Patiyali,Patiyali
11,Akhalesh,Independent,20,26,18,3,11,6,3,9,12,16,6,14,8,15,9,12,19,23,15,8,10,15,9,26,11,12,9,14,12,4,8,1,Uttar Pradesh-Patiyali,Patiyali
12,Abhay Pratap Singh,Independent,47,65,69,7,15,8,11,34,33,48,49,30,22,41,20,26,56,47,43,31,30,57,36,51,34,44,32,48,35,6,9,6,Uttar Pradesh-Patiyali,Patiyali
13,Jitendra Kumar,Independent,25,37,44,8,3,5,4,19,21,21,18,12,20,25,11,24,16,22,15,16,11,19,26,32,28,29,16,31,28,4,12,1,Uttar Pradesh-Patiyali,Patiyali
14,Dhruv Mishra,Independent,35,27,26,32,6,10,4,17,16,23,30,16,9,11,19,9,18,27,13,24,16,25,16,49,19,20,15,24,24,11,33,1,Uttar Pradesh-Patiyali,Patiyali
15,NOTA,None of the Above,32,40,49,39,19,23,22,24,32,32,36,23,24,13,28,22,18,28,30,29,14,38,28,34,32,22,17,37,14,20,18,1,Uttar Pradesh-Patiyali,Patiyali
