O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,OM PRAKASH,Bahujan Samaj Party,1198,736,914,858,1091,1069,893,1258,989,1078,570,276,294,851,602,711,939,1489,1104,998,810,659,911,943,794,847,1113,1429,1488,281,11,Uttar Pradesh-Phaphamau,Phaphamau
2,ANSAR AHMAD,Samajwadi Party,1862,2118,2288,2387,3273,2128,2481,1527,2924,2668,2597,2352,2769,2344,2423,3394,2916,1843,2226,2167,2045,2631,3536,2105,2609,2381,3374,3355,4392,1157,71,Uttar Pradesh-Phaphamau,Phaphamau
3,GURU PRASAD MAURYA,Bharatiya Janata Party,3590,3212,2681,3271,3045,3138,3492,3442,2829,2658,2247,2587,2891,2357,2639,2426,2783,3719,3429,3346,3896,2669,3257,3120,3854,3920,3442,3116,2517,791,465,Uttar Pradesh-Phaphamau,Phaphamau
4,DURGESH PANDEY,Indian National Congress,73,62,57,65,97,87,77,85,78,85,83,74,144,150,60,80,52,123,92,76,85,70,70,70,73,63,85,69,62,25,7,Uttar Pradesh-Phaphamau,Phaphamau
5,JITENDRA KUMAR BHARTIYA,Lok Janshakti Party(Ram Vilas),18,22,13,29,12,16,12,11,11,10,3,7,10,6,6,17,21,19,8,17,8,9,18,16,13,38,34,15,20,8,1,Uttar Pradesh-Phaphamau,Phaphamau
6,PANKAJ PANDEY,Akhil Bharatiya Socialist Party,13,6,9,8,16,20,6,13,6,17,2,4,7,7,8,9,8,28,13,4,14,4,13,15,13,15,13,11,13,61,0,Uttar Pradesh-Phaphamau,Phaphamau
7,MANGLA PRASAD PAL,Rashtra Uday Party,29,30,8,14,13,25,12,24,17,15,8,3,8,11,30,28,18,14,21,14,20,13,21,14,20,10,28,8,26,11,0,Uttar Pradesh-Phaphamau,Phaphamau
8,RAJESWARI PATEL,Jan Jan (United) Party,12,20,11,12,10,6,8,10,7,7,2,3,10,8,8,10,17,15,17,12,22,10,11,9,8,13,7,7,8,2,0,Uttar Pradesh-Phaphamau,Phaphamau
9,LAKSHMI NARAYAN,Jansatta Dal Loktantrik,138,199,122,53,62,69,256,123,126,87,67,52,86,52,39,130,312,181,57,143,93,46,41,77,30,81,17,67,66,16,5,Uttar Pradesh-Phaphamau,Phaphamau
10,VINOD KUMAR,Yuva Vikas Party,19,17,20,19,25,12,25,20,25,16,8,11,13,18,11,20,28,44,22,20,15,14,18,27,20,13,27,14,24,6,1,Uttar Pradesh-Phaphamau,Phaphamau
11,SUBHASH CHANDRA,Samyak Party,8,8,10,7,8,4,4,8,5,7,2,9,2,10,3,10,11,10,9,10,7,5,9,7,10,11,4,8,2,3,0,Uttar Pradesh-Phaphamau,Phaphamau
12,SANJAYA KUMAR YADAV,Right to Recall Party,11,11,7,12,11,7,19,14,10,11,9,17,5,8,8,15,13,16,11,3,13,4,8,16,11,12,3,7,12,1,2,Uttar Pradesh-Phaphamau,Phaphamau
13,SANJAY PRAKASH SHUKLA,Aam Aadmi Party,18,18,14,17,19,8,14,13,12,55,9,8,11,9,5,17,23,18,11,17,19,15,18,10,17,11,16,16,26,0,1,Uttar Pradesh-Phaphamau,Phaphamau
14,GYAN PRAKASH MOURYA,Jan Adhikar Party,27,55,29,42,64,49,78,19,36,29,56,53,35,30,37,31,107,21,24,88,49,124,212,52,54,78,38,27,72,2,0,Uttar Pradesh-Phaphamau,Phaphamau
15,UDAIBHAN SINGH YADEV,Independent,26,15,15,23,19,15,16,18,18,14,13,6,16,20,14,35,23,18,19,14,11,15,13,9,16,11,17,26,30,7,1,Uttar Pradesh-Phaphamau,Phaphamau
16,DILIP KUMAR KUSHWAHA,Independent,37,54,34,50,42,51,47,47,56,46,25,32,24,43,56,29,59,41,42,78,57,38,45,32,51,26,44,35,34,6,3,Uttar Pradesh-Phaphamau,Phaphamau
17,PARUL JAISWAL,Independent,24,22,15,19,19,26,27,29,19,20,12,18,15,37,11,21,37,24,18,23,14,25,23,22,15,20,20,24,26,8,2,Uttar Pradesh-Phaphamau,Phaphamau
18,PRAVEEN KUMAR,Independent,12,12,23,26,20,16,34,22,11,12,23,15,20,25,18,37,25,21,14,12,9,19,20,17,20,16,20,21,14,4,2,Uttar Pradesh-Phaphamau,Phaphamau
19,MITHLESH KUMAR PRAJAPATI,Independent,31,39,27,60,42,77,46,21,26,43,38,18,25,101,31,46,45,26,24,44,28,48,53,32,46,34,42,33,25,11,10,Uttar Pradesh-Phaphamau,Phaphamau
20,VINOD KUMAR PANDEY,Independent,14,14,11,16,20,18,15,16,10,8,13,11,21,11,12,19,21,28,16,18,17,14,8,11,10,13,10,12,8,2,1,Uttar Pradesh-Phaphamau,Phaphamau
21,SHIVENDRA KUMAR,Independent,12,12,10,10,10,8,8,8,8,5,3,8,9,17,5,8,9,11,7,4,11,9,12,7,6,3,5,8,7,4,0,Uttar Pradesh-Phaphamau,Phaphamau
22,NOTA,None of the Above,21,27,12,26,25,22,18,15,11,10,7,16,13,23,14,20,30,22,14,14,12,9,15,14,15,16,30,23,11,8,2,Uttar Pradesh-Phaphamau,Phaphamau
