O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,Ishoo Chaurasiya,Bahujan Samaj Party,507,739,832,1120,518,696,785,557,541,1286,965,409,469,1128,1405,1615,485,722,682,1088,741,507,368,400,753,813,924,490,Uttar Pradesh-Pharenda,Pharenda
2,Bajrang Bahadur Singh,Bharatiya Janata Party,3658,3408,2695,3300,2657,3545,2233,3545,3169,2670,2789,2415,1796,2802,2309,2967,3554,3133,3519,3369,3225,2961,3625,3535,2784,2574,2239,3192,Uttar Pradesh-Pharenda,Pharenda
3,Virendra Chaudhary,Indian National Congress,2873,2632,2365,3288,2624,2944,3774,2494,3104,3521,3882,3238,4683,3510,3359,2222,3354,2539,2694,2808,2704,2703,2949,3013,2613,3346,3127,2392,Uttar Pradesh-Pharenda,Pharenda
4,Shankhlal,Samajwadi Party,686,398,848,470,813,601,724,515,353,412,385,514,216,509,732,317,358,413,959,437,623,1345,579,541,710,499,852,321,Uttar Pradesh-Pharenda,Pharenda
5,Jaili,Aam Janta Party (India),11,14,10,11,14,22,33,14,11,22,9,15,11,26,31,12,18,15,22,19,26,25,13,23,13,21,25,28,Uttar Pradesh-Pharenda,Pharenda
6,RAVI PRAKASH VISHWAKARMA,Lok Samaj Party,7,9,9,15,8,18,24,15,21,19,11,16,20,23,12,16,9,23,21,20,15,21,13,16,22,22,18,20,Uttar Pradesh-Pharenda,Pharenda
7,Rajan,Aam Aadmi Party,13,9,10,8,7,18,14,19,21,20,31,15,15,21,17,14,19,18,13,18,17,16,5,14,16,19,10,20,Uttar Pradesh-Pharenda,Pharenda
8,Suryaprakash,Akhil Bharatiya Socialist Party,40,27,13,19,18,31,32,36,28,26,25,23,24,36,18,16,22,29,28,24,24,28,21,23,23,28,26,32,Uttar Pradesh-Pharenda,Pharenda
9,Ashutosh,Independent,14,18,15,15,18,20,24,24,20,24,15,15,12,16,19,30,15,20,35,31,33,16,27,27,33,20,24,53,Uttar Pradesh-Pharenda,Pharenda
10,NOTA,None of the Above,37,37,28,37,27,75,47,62,48,72,46,46,27,71,63,75,36,53,75,60,65,61,40,59,47,44,59,87,Uttar Pradesh-Pharenda,Pharenda
