O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,UPENDRA TIWARI,Bharatiya Janata Party,2223,2899,2190,2881,2956,2724,3281,2490,2958,3040,1724,2459,2140,3572,3203,2419,3005,2652,2469,3136,3455,1786,2942,2194,2588,3134,1958,Uttar Pradesh-Phephana,Phephana
2,KAMAL DEV,Bahujan Samaj Party,734,140,801,319,262,477,625,1037,366,626,1006,646,651,378,330,359,498,1019,219,639,652,305,551,412,450,303,272,Uttar Pradesh-Phephana,Phephana
3,JAINENDRA,Indian National Congress,60,90,83,90,77,142,96,66,99,58,27,52,69,190,79,68,49,69,123,82,67,75,81,70,76,114,56,Uttar Pradesh-Phephana,Phephana
4,SANGRAM SINGH,Samajwadi Party,3064,4337,3414,3033,3390,3166,2948,3487,3845,3589,2150,3922,3819,3378,2870,3459,2689,3474,4359,2794,2650,4669,3165,3347,3757,3280,3508,Uttar Pradesh-Phephana,Phephana
5,AVADHESH VERMA,Bahujan Mukti Party,21,24,44,16,11,45,22,28,19,27,30,17,18,60,27,68,25,24,28,18,24,45,49,17,25,29,19,Uttar Pradesh-Phephana,Phephana
6,AVALESH,Janata Dal (United),6,21,23,27,22,21,19,17,8,13,6,10,16,51,164,17,24,6,10,40,15,9,28,22,11,8,4,Uttar Pradesh-Phephana,Phephana
7,DINESH,Rashtriya Yuva Morcha Dal,4,2,3,4,2,7,7,3,4,4,13,6,4,9,6,9,5,8,5,3,2,14,7,2,7,7,5,Uttar Pradesh-Phephana,Phephana
8,PAWAN PRAKASH,Jan Adhikar Party,30,11,33,69,79,103,18,14,12,5,33,74,53,26,2,18,5,6,10,18,18,9,5,3,4,7,5,Uttar Pradesh-Phephana,Phephana
9,BHIM,Bharatiya Suheldev Janata Party,8,3,28,14,14,11,12,12,18,15,5,20,12,10,9,11,24,26,39,17,27,12,24,2,9,24,8,Uttar Pradesh-Phephana,Phephana
10,MANNU,Naitik Party,12,9,13,14,15,16,12,4,8,7,5,7,7,18,8,12,17,11,12,10,21,22,12,10,14,18,7,Uttar Pradesh-Phephana,Phephana
11,VIVEK,Vikassheel Insaan Party,5,3,12,3,27,73,105,6,52,17,69,68,38,24,52,691,121,96,152,118,98,141,10,10,29,168,62,Uttar Pradesh-Phephana,Phephana
12,JANARDAN SINGH,Independent,12,18,10,23,9,20,6,11,8,26,8,23,28,24,13,30,12,17,19,19,23,18,24,12,16,23,8,Uttar Pradesh-Phephana,Phephana
13,SHAMIM,Independent,10,9,22,12,13,11,15,18,17,16,10,14,8,15,13,16,18,22,18,24,22,20,10,9,19,22,12,Uttar Pradesh-Phephana,Phephana
14,SANTOSH,Independent,8,9,14,8,14,6,18,15,12,7,5,7,12,15,13,20,14,20,15,26,18,18,16,15,21,21,14,Uttar Pradesh-Phephana,Phephana
15,NOTA,None of the Above,29,34,35,38,35,47,34,43,57,38,22,32,31,50,34,58,44,41,35,47,58,43,41,57,48,47,34,Uttar Pradesh-Phephana,Phephana
