O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,SHAKEEL AHMAD NOORI,Indian National Congress,36,41,37,16,28,44,33,48,38,36,30,40,36,25,37,35,38,39,37,49,40,31,29,26,35,26,43,31,33,21,Uttar Pradesh-Pilibhit,Pilibhit
2,SHANE ALI,Bahujan Samaj Party,704,510,1030,479,1121,429,867,303,345,223,302,470,680,475,527,938,295,375,300,210,190,237,205,128,124,65,122,63,203,41,Uttar Pradesh-Pilibhit,Pilibhit
3,SHAILENDRA SINGH GANGWAR,Samajwadi Party,5101,3616,4504,5195,5011,4829,5945,4550,3198,4023,2844,3249,4508,4698,3095,4249,1586,2785,2743,3653,3256,5184,5943,4307,5287,2989,2615,1412,5114,1663,Uttar Pradesh-Pilibhit,Pilibhit
4,SANJAY SINGH GANGWAR,Bharatiya Janata Party,2386,3445,3640,2891,2560,3412,2212,5163,4718,4574,5718,4892,4135,4775,5489,3387,6284,5396,5034,4885,5954,2702,2576,3533,3467,5057,5493,6097,3240,1667,Uttar Pradesh-Pilibhit,Pilibhit
5,ARVIND YADAV,Sarv Samaj Party,16,21,41,25,10,19,24,41,33,44,44,25,27,43,49,56,39,42,37,46,47,12,19,20,17,33,24,33,17,11,Uttar Pradesh-Pilibhit,Pilibhit
6,BELA MATI,Bharatiya Subhash Sena,13,5,16,10,4,10,13,11,9,12,19,16,10,7,26,16,8,18,12,14,7,6,7,4,5,12,9,8,11,3,Uttar Pradesh-Pilibhit,Pilibhit
7,MOTI RAM RAJPOOT,Sabka Dal United,12,7,22,9,12,25,9,22,41,32,27,23,13,21,80,29,19,21,11,18,15,3,17,2,6,12,10,10,16,3,Uttar Pradesh-Pilibhit,Pilibhit
8,IKRAR HUSAIN,Independent,11,7,23,13,14,17,21,27,8,27,17,23,4,11,14,19,18,13,15,21,12,11,10,9,3,14,6,10,12,2,Uttar Pradesh-Pilibhit,Pilibhit
9,MOHD SHARIK,Independent,11,5,20,9,19,14,21,27,10,13,15,30,11,10,18,20,19,28,10,23,23,7,18,8,7,8,9,7,13,4,Uttar Pradesh-Pilibhit,Pilibhit
10,NOTA,None of the Above,31,31,44,25,36,27,36,44,23,27,45,62,28,40,40,41,59,58,38,67,50,34,36,27,27,49,34,47,53,22,Uttar Pradesh-Pilibhit,Pilibhit
