O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,AMRENDRA NISHAD,Samajwadi Party,2280,3639,3087,2089,2699,2979,2589,2334,3132,2548,1743,2866,2559,1900,2414,2711,3267,2452,2573,2639,2005,2029,1727,2404,2200,2449,2088,1120,1768,1435,1863,1828,100,122,190,179,Uttar Pradesh-Pipraich,Pipraich
2,DR. ASHISH KUMAR SINGH,Communist Party of India,45,57,39,41,37,28,36,92,10,22,32,42,39,31,38,51,51,45,52,43,27,37,34,46,28,28,40,24,38,34,33,26,3,2,3,3,Uttar Pradesh-Pipraich,Pipraich
3,DEEPAK KUMAR AGARWAL,Bahujan Samaj Party,861,668,944,525,886,936,1070,1393,793,892,1033,779,1313,614,747,783,834,684,892,761,749,1039,1146,1547,1055,672,652,1068,1263,1375,1213,1136,325,34,96,93,Uttar Pradesh-Pipraich,Pipraich
4,MAHENDRA PAL SINGH,Bharatiya Janata Party,4340,4599,3695,4383,3713,2532,3617,3896,3824,3456,3669,4884,5152,4665,4938,4170,3868,5359,5719,5257,5834,5258,4383,3667,3618,4673,5017,5525,4272,3828,3971,4101,607,277,318,379,Uttar Pradesh-Pipraich,Pipraich
5,SUMAN CHAUHAN,Indian National Congress,66,65,63,64,60,35,52,68,33,32,40,60,102,58,58,49,74,75,98,100,95,55,61,51,47,63,52,64,54,47,44,68,7,3,3,1,Uttar Pradesh-Pipraich,Pipraich
6,AVINASH PRATAP PRAJAPATI,Lokpriya Samaj Party,18,15,21,30,11,10,24,16,9,17,34,12,26,7,19,19,18,21,63,12,22,29,22,13,25,23,9,12,25,13,21,12,27,0,0,0,Uttar Pradesh-Pipraich,Pipraich
7,AMOD KUMAR BHATT,Bharatiya Apna Samaj Party,6,9,6,13,5,6,6,12,7,7,8,5,6,6,12,7,4,5,9,5,10,6,5,10,8,8,4,6,5,5,4,4,2,0,0,0,Uttar Pradesh-Pipraich,Pipraich
8,DHIRENDRA PRATAP JAISWAL,Aam Aadmi Party,12,6,8,11,8,19,14,15,7,5,8,5,11,9,13,6,6,16,14,7,21,7,3,7,9,17,7,13,4,11,9,17,2,0,1,1,Uttar Pradesh-Pipraich,Pipraich
9,NAZIM,Jan Adhikar Party,8,9,7,32,26,22,42,11,16,20,14,9,17,23,16,12,10,11,12,5,7,12,9,17,18,22,10,8,4,43,19,23,0,0,0,0,Uttar Pradesh-Pipraich,Pipraich
10,VIJAY KUMAR BHARTI,Rashtravadi Vikas Party,7,4,5,16,5,6,7,11,9,10,4,10,15,4,8,6,4,10,26,5,7,6,8,15,5,15,8,13,9,9,7,11,3,0,0,1,Uttar Pradesh-Pipraich,Pipraich
11,ARUN KUMAR,Independent,14,19,13,18,11,13,7,16,5,8,11,13,16,7,20,12,17,22,15,14,11,20,14,13,4,19,7,12,9,6,16,11,3,0,0,0,Uttar Pradesh-Pipraich,Pipraich
12,AZAD ALI,Independent,19,20,29,37,33,22,32,34,21,27,29,29,29,28,45,21,31,43,32,19,38,34,24,37,32,30,29,31,28,36,37,35,3,1,1,0,Uttar Pradesh-Pipraich,Pipraich
13,NARENDRA NATH MAURYA,Independent,14,22,17,23,13,19,21,22,20,8,14,18,18,18,19,21,25,22,21,26,18,31,21,18,18,20,10,14,27,27,22,23,6,0,0,6,Uttar Pradesh-Pipraich,Pipraich
14,SUBHASH CHANDRA GUPTA,Independent,20,31,20,15,30,28,23,25,17,12,13,28,39,17,15,26,20,18,23,24,15,40,18,28,17,14,13,20,25,28,22,20,4,4,1,3,Uttar Pradesh-Pipraich,Pipraich
15,NOTA,None of the Above,41,50,46,57,34,49,33,48,23,24,23,53,52,42,40,56,63,46,61,42,52,29,34,35,29,48,28,34,35,26,29,26,5,6,2,8,Uttar Pradesh-Pipraich,Pipraich
