O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,ANUJ KUMRI,Indian National Congress,66,58,53,88,51,72,71,57,64,18,43,50,45,61,70,69,52,51,86,50,97,86,191,121,73,83,117,64,61,66,118,114,67,55,Uttar Pradesh-Powayan,Powayan
2,UDAYVEER SINGH,Bahujan Samaj Party,266,436,665,684,363,295,556,302,398,58,177,279,431,391,570,586,389,851,930,776,429,523,772,575,561,1008,656,485,143,264,308,822,482,335,Uttar Pradesh-Powayan,Powayan
3,UPENDRA PAL SINGH,Samajwadi Party,1854,2158,2701,1999,3963,2472,2221,2750,2194,1968,2293,2520,2169,2900,2153,1485,2386,2994,2940,2438,2205,3560,2195,2185,2852,3252,1729,1354,1306,1142,1882,2037,2192,1561,Uttar Pradesh-Powayan,Powayan
4,CHETRAM,Bharatiya Janata Party,4527,4328,2988,3770,2664,3547,4536,3895,4405,3013,2993,3878,3775,3967,3702,4823,3853,2387,3955,4004,3380,4118,4551,3914,3034,2794,4314,4090,3712,4094,4587,4469,4024,3545,Uttar Pradesh-Powayan,Powayan
5,AMIT KUMAR,Lok Janshakti Party(Ram Vilas),59,51,22,50,38,51,49,51,31,13,30,35,26,67,44,43,33,17,37,34,40,45,44,58,16,32,67,32,19,62,50,56,32,25,Uttar Pradesh-Powayan,Powayan
6,CHAMPATI,Bharatiya Subhash Sena,20,27,10,17,10,10,18,24,12,9,7,18,10,18,14,7,17,13,10,11,15,15,22,7,16,13,11,15,8,8,8,16,8,10,Uttar Pradesh-Powayan,Powayan
7,MAHESH CHANDRA SAGAR,Aazad Samaj Party (Kanshi Ram),15,15,6,20,14,12,20,5,17,4,8,11,21,14,7,18,11,10,19,13,15,21,10,21,8,20,17,18,7,14,7,21,23,12,Uttar Pradesh-Powayan,Powayan
8,DIVAKER LAL,Independent,14,17,10,15,22,8,28,15,21,11,9,23,10,15,9,11,10,6,13,13,12,12,16,13,14,11,17,10,10,17,13,22,11,5,Uttar Pradesh-Powayan,Powayan
9,MAHENDRA SINGH,Independent,15,21,17,14,15,22,38,24,18,15,18,23,20,15,7,11,11,20,27,21,18,21,25,20,17,10,19,18,6,16,11,35,19,22,Uttar Pradesh-Powayan,Powayan
10,RAMPAL,Independent,19,21,23,5,13,16,21,9,15,12,19,14,21,22,10,14,15,24,16,25,31,28,24,30,24,15,27,12,8,15,15,32,13,17,Uttar Pradesh-Powayan,Powayan
11,SUDHA DEVI,Independent,19,17,18,26,16,17,25,23,26,11,18,22,14,16,18,18,10,13,23,26,21,21,31,32,18,25,25,19,11,15,18,26,16,12,Uttar Pradesh-Powayan,Powayan
12,NOTA,None of the Above,46,38,36,45,30,40,54,38,47,20,35,35,28,42,27,38,29,32,48,44,63,47,58,32,40,53,50,27,25,35,55,47,43,39,Uttar Pradesh-Powayan,Powayan
