O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,ASHOK KUMAR RAJA,Bahujan Samaj Party,497,1076,256,438,394,803,678,238,228,424,1760,840,671,53,324,910,718,249,676,298,138,102,142,43,228,613,1194,308,300,880,511,4,Uttar Pradesh-Puranpur,Puranpur
2,ARTI,Samajwadi Party,883,3877,3862,1829,1906,3036,3952,3910,2561,2834,3613,2880,2615,7606,3664,2923,2521,2922,1834,5258,6052,6378,3410,5051,4689,3446,2320,1792,6368,2969,249,177,Uttar Pradesh-Puranpur,Puranpur
3,ISHWAR DAYAL PASWAN,Indian National Congress,93,85,52,264,118,72,34,82,47,46,78,58,51,79,58,39,36,85,94,38,54,47,56,58,46,60,51,53,45,58,9,4,Uttar Pradesh-Puranpur,Puranpur
4,BABURAM,Bharatiya Janata Party,6910,3444,5004,6102,6162,5405,3898,4325,6202,3512,3619,3697,5418,1800,5281,3462,5063,5574,6441,3110,2145,1574,4564,2885,3750,5859,6513,5619,1532,4317,750,267,Uttar Pradesh-Puranpur,Puranpur
5,KAMLESH KUMAR,Log Party,51,35,39,50,46,58,37,49,44,20,45,33,46,13,67,60,53,65,124,25,11,8,20,7,27,62,71,37,8,47,9,3,Uttar Pradesh-Puranpur,Puranpur
6,RAKESH DAVID,Rashtriya Teesara Vikalp Party,13,8,9,12,16,11,6,8,10,8,19,14,13,7,13,8,13,32,17,5,9,10,4,6,10,14,20,8,4,21,1,1,Uttar Pradesh-Puranpur,Puranpur
7,RAMESHWAR DAYAL,Bharatiya Subhash Sena,15,14,16,16,8,20,11,9,11,15,16,15,13,9,16,9,20,23,11,7,7,2,9,2,12,6,19,21,7,9,1,0,Uttar Pradesh-Puranpur,Puranpur
8,AMIT KUMAR,Independent,12,8,18,9,17,13,9,7,18,9,15,13,11,7,21,9,20,35,19,11,5,3,5,2,3,16,18,14,6,22,5,0,Uttar Pradesh-Puranpur,Puranpur
9,DEEPTI VERMA,Independent,37,75,57,87,58,109,35,57,56,21,43,33,31,14,147,288,74,546,417,17,18,16,53,13,51,42,34,23,23,33,2,1,Uttar Pradesh-Puranpur,Puranpur
10,RAMPAL,Independent,22,20,18,28,29,23,15,25,15,27,29,21,20,16,36,21,29,27,24,39,15,10,24,4,16,35,31,28,13,14,7,0,Uttar Pradesh-Puranpur,Puranpur
11,VINOD KUMAR BHARTI,Independent,36,35,33,19,13,24,23,24,23,15,46,20,24,20,22,16,22,30,23,20,21,11,18,8,18,29,42,15,24,35,5,3,Uttar Pradesh-Puranpur,Puranpur
12,NOTA,None of the Above,42,70,68,64,52,49,41,37,42,47,74,41,60,34,47,48,56,43,51,45,58,38,36,36,32,83,64,68,37,55,23,1,Uttar Pradesh-Puranpur,Puranpur
