O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,ANIL KUMAR SINGH,Bharatiya Janata Party,4099,3732,4177,4434,4584,3864,4550,3765,3069,4166,3899,4025,4972,4243,3631,3675,3455,4291,4200,3473,4362,4293,4025,3178,3660,3849,2880,3705,3529,3420,4853,4090,3667,3147,725,Uttar Pradesh-Purwa,Purwa
2,UDAY RAJ,Samajwadi Party,3036,3337,3160,2717,2794,2562,2735,2460,2889,2102,2206,3215,3131,2564,3926,2701,3479,3564,2551,3409,2894,2322,3384,3533,3088,3324,2990,3275,2969,3255,3911,3420,2594,2424,452,Uttar Pradesh-Purwa,Purwa
3,UROOSA IMRAN RANA,Indian National Congress,51,57,46,52,59,53,49,65,74,44,57,39,69,39,88,38,46,51,51,55,75,47,54,40,45,63,64,53,49,47,64,66,54,62,10,Uttar Pradesh-Purwa,Purwa
4,VINOD KUMAR,Bahujan Samaj Party,752,615,211,521,219,291,411,308,320,189,726,315,361,90,292,432,346,366,313,241,190,239,205,196,341,288,214,235,212,207,346,150,101,265,16,Uttar Pradesh-Purwa,Purwa
5,ASHISH BAJPAI,Manviya Bharat Party,13,13,14,14,7,10,17,12,6,14,13,10,10,5,3,17,13,10,10,9,9,4,5,10,5,5,2,4,7,9,11,8,8,8,4,Uttar Pradesh-Purwa,Purwa
6,KULDEEP KUMAR,Aam Aadmi Party,5,7,7,7,7,10,13,10,6,6,8,21,16,8,4,10,12,15,10,6,7,7,6,3,7,6,4,8,11,6,7,1,3,8,0,Uttar Pradesh-Purwa,Purwa
7,JAGANNATH,Lok Dal,4,11,9,8,9,7,6,5,8,7,11,7,14,8,5,11,10,4,7,6,4,7,2,3,9,3,4,9,9,11,12,6,7,7,0,Uttar Pradesh-Purwa,Purwa
8,VED PRAKASH,Lok Janshakti Party(Ram Vilas),3,7,7,10,8,14,3,10,13,7,6,7,34,7,1,8,7,6,12,7,5,8,5,8,7,5,5,5,7,15,10,5,7,6,3,Uttar Pradesh-Purwa,Purwa
9,Sant Kumar,Bhartiya Samta Party,9,8,11,10,11,11,9,13,22,15,12,8,16,8,8,13,9,8,10,5,15,8,10,6,8,10,8,6,12,14,7,6,9,9,0,Uttar Pradesh-Purwa,Purwa
10,ANIL,Independent,8,22,14,15,17,25,19,17,10,15,13,13,20,17,7,16,9,17,10,8,16,20,11,5,11,12,7,8,17,20,13,7,21,14,3,Uttar Pradesh-Purwa,Purwa
11,MOHD ASHFAK,Independent,16,20,15,14,13,26,15,16,13,16,19,19,30,22,10,26,18,18,13,13,14,19,24,26,16,13,13,18,15,19,22,13,19,28,4,Uttar Pradesh-Purwa,Purwa
12,SURENDRA KUMAR,Independent,22,23,26,27,10,27,9,14,13,22,17,23,22,23,15,23,17,16,12,15,17,15,6,16,8,19,11,11,20,16,27,25,20,15,3,Uttar Pradesh-Purwa,Purwa
13,Harshit Tiwari,Independent,23,43,33,51,24,50,37,36,22,38,41,24,42,33,31,35,29,38,30,38,24,35,36,33,38,32,33,31,41,34,49,40,48,35,8,Uttar Pradesh-Purwa,Purwa
14,NOTA,None of the Above,75,77,69,84,82,113,62,64,64,56,66,73,64,63,49,76,64,68,59,57,78,106,94,79,74,95,57,77,87,80,111,104,88,79,14,Uttar Pradesh-Purwa,Purwa
