O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,FAREED MAHFOOZ KIDWAI,Samajwadi Party,3351,3346,2642,3517,2700,2392,3073,2646,2905,4156,3032,2175,2591,3575,4229,2371,3382,2801,2422,2291,3935,3771,5293,3555,3244,2878,3641,3449,4282,2410,2184,Uttar Pradesh-Ram Nagar,Ram Nagar
2,RAM KISHOR,Bahujan Samaj Party,949,574,534,588,803,515,773,691,1200,408,937,748,1030,699,1106,1609,1071,695,979,510,419,677,309,461,897,779,728,642,509,889,444,Uttar Pradesh-Ram Nagar,Ram Nagar
3,SHARAD KUMAR AWASTHI,Bharatiya Janata Party,3969,3345,4215,2518,4016,4572,4084,3685,3219,2540,3420,3924,3433,2886,2725,2735,3734,3312,3244,3705,2123,1887,1227,2897,2829,2300,2904,3055,2504,4030,3266,Uttar Pradesh-Ram Nagar,Ram Nagar
4,GYANESH SHUKLA,Indian National Congress,276,91,193,107,163,218,151,120,145,82,132,152,179,121,124,141,171,115,121,126,114,94,64,176,161,117,130,95,116,267,162,Uttar Pradesh-Ram Nagar,Ram Nagar
5,ARUN KUMAR,All India Majlis-E-Ittehadul Muslimeen,130,460,178,152,124,60,92,40,123,140,58,23,89,187,145,30,118,51,71,32,536,246,1071,250,57,53,71,77,194,35,42,Uttar Pradesh-Ram Nagar,Ram Nagar
6,USHA DWIVEDI,"Bhartiya Drishtigochar Party,",18,15,14,5,16,7,11,8,22,7,9,10,8,11,9,9,12,6,7,8,6,10,19,11,6,6,8,6,9,14,11,Uttar Pradesh-Ram Nagar,Ram Nagar
7,DHARAMVEER SINGH,Aam Aadmi Party,61,44,54,12,34,14,9,18,94,10,36,15,22,34,27,9,18,13,7,19,12,10,7,13,12,19,14,11,12,22,12,Uttar Pradesh-Ram Nagar,Ram Nagar
8,VIRENDRA KUMAR PATEL,Aazad Samaj Party (Kanshi Ram),7,17,19,5,19,14,10,9,14,11,9,10,11,48,14,12,25,31,6,17,10,21,15,11,14,12,15,16,13,12,18,Uttar Pradesh-Ram Nagar,Ram Nagar
9,SUBHASH CHANDRA,Shiv Sena,20,21,72,10,20,24,20,14,14,18,11,15,19,8,15,16,17,13,12,14,8,15,12,17,26,16,14,14,22,14,23,Uttar Pradesh-Ram Nagar,Ram Nagar
10,NEERAJ SHARMA,Independent,47,27,35,35,29,51,21,22,40,15,25,31,20,24,28,27,33,26,41,21,30,41,19,91,33,25,31,58,62,37,28,Uttar Pradesh-Ram Nagar,Ram Nagar
11,RAM DAYAL,Independent,24,19,26,15,16,30,21,19,21,9,13,12,20,9,15,33,18,18,21,22,8,15,14,26,17,26,15,15,23,19,27,Uttar Pradesh-Ram Nagar,Ram Nagar
12,NOTA,None of the Above,83,51,76,60,71,81,63,46,61,70,38,54,66,43,37,38,54,40,54,73,46,67,41,59,55,50,74,56,55,67,91,Uttar Pradesh-Ram Nagar,Ram Nagar
