O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,VIJAY KUMAR,Bahujan Samaj Party,828,604,1225,1527,909,824,1218,901,1059,379,265,731,265,519,268,899,894,779,1101,605,691,619,664,933,502,1034,1379,803,539,Uttar Pradesh-Ramkola,Ramkola
2,VINAY PRAKASH GOND,Bharatiya Janata Party,4405,4473,3905,4152,4733,4383,4479,4837,4582,5131,4769,4905,5694,4282,3995,3455,4412,4286,5095,4642,4193,4587,4137,3857,4965,2703,3270,3315,2971,Uttar Pradesh-Ramkola,Ramkola
3,SHAMBHU CHAUDHRY,Indian National Congress,99,120,115,166,155,150,122,181,142,210,279,197,124,124,104,141,127,132,124,129,124,105,88,166,162,74,176,122,110,Uttar Pradesh-Ramkola,Ramkola
4,NAGINA PASWAN ADVOCATE,Lok Janshakti Party(Ram Vilas),40,38,49,40,40,62,35,41,47,50,35,37,36,50,35,53,75,55,116,68,83,96,71,72,118,70,86,158,41,Uttar Pradesh-Ramkola,Ramkola
5,PURNMASI DEHATI,Suheldev Bharatiya Samaj Party,1782,1313,1571,1309,1370,1457,1848,1082,1432,2039,2307,993,874,1304,2025,2339,1738,2068,1726,1549,2441,2540,2180,2391,2246,2574,1777,2593,967,Uttar Pradesh-Ramkola,Ramkola
6,PRATIMA DEVI,Satya Kranti Party,45,45,36,26,36,41,37,29,40,30,32,24,47,42,57,33,61,63,66,52,50,66,33,36,42,31,35,36,23,Uttar Pradesh-Ramkola,Ramkola
7,RAJESH PARASD,Jan Adhikar Party (Loktantrik),13,8,8,13,23,7,14,15,18,13,37,18,14,46,76,54,35,57,28,40,195,60,55,58,57,197,29,74,50,Uttar Pradesh-Ramkola,Ramkola
8,VIMLA DEVI,Bahujan Mukti Party,11,7,9,8,11,14,4,20,14,11,3,5,12,16,8,6,36,24,23,13,17,33,10,10,13,11,8,35,10,Uttar Pradesh-Ramkola,Ramkola
9,SHAMBHU KUMAR (ADVOCATE),Aam Aadmi Party,21,14,16,18,20,12,17,16,20,21,23,19,23,20,23,20,33,32,28,23,35,33,15,23,35,21,20,32,18,Uttar Pradesh-Ramkola,Ramkola
10,GAUTAM,Independent,17,13,16,17,14,18,15,29,25,19,18,12,14,17,14,19,22,17,42,25,27,19,18,36,24,32,19,12,15,Uttar Pradesh-Ramkola,Ramkola
11,CHANDRABHAN,Independent,25,21,23,22,32,28,20,32,24,26,10,31,19,22,23,35,47,55,58,38,32,31,35,33,35,24,29,24,17,Uttar Pradesh-Ramkola,Ramkola
12,PINTOO,Independent,32,35,37,33,38,36,35,53,42,22,22,29,31,50,49,27,51,53,66,65,55,40,34,43,44,49,31,27,31,Uttar Pradesh-Ramkola,Ramkola
13,NOTA,None of the Above,69,44,63,59,69,54,71,78,92,56,55,60,62,61,67,89,62,107,127,86,67,77,59,83,73,51,68,71,51,Uttar Pradesh-Ramkola,Ramkola
