O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,OMPAL SINGH,Indian National Congress,86,67,62,120,50,55,39,50,50,69,93,66,38,58,43,56,27,59,53,51,47,65,47,49,63,58,18,Uttar Pradesh-Rampur Maniharan,Rampur Maniharan 
2,Devender Kumar Nim,Bharatiya Janata Party,3343,4578,2649,2255,2329,1545,441,1880,2534,4589,4712,3512,4021,4656,3750,4753,2430,4685,5049,4654,1497,3991,3575,3931,3054,3882,358,Uttar Pradesh-Rampur Maniharan,Rampur Maniharan 
3,RAVINDRA KUMAR,Bahujan Samaj Party,3194,2616,3128,3048,3432,970,1908,2572,4392,2542,2940,3385,2735,2014,2758,3029,1905,1057,2618,1726,1493,3221,2354,2387,3194,2759,850,Uttar Pradesh-Rampur Maniharan,Rampur Maniharan 
4,VIVEK KANT,Rashtriya Lok Dal,1588,969,3356,2991,2909,5487,4540,4417,1553,2042,489,1490,1395,1247,1754,1789,3866,3046,772,1742,6034,2561,2481,1556,2858,1474,304,Uttar Pradesh-Rampur Maniharan,Rampur Maniharan 
5,ARVIND KUMAR,Aam Aadmi Party,23,20,22,32,18,41,25,31,15,24,14,40,19,8,18,22,24,15,6,13,37,30,15,13,18,21,3,Uttar Pradesh-Rampur Maniharan,Rampur Maniharan 
6,JAI PAL SINGH,Lok Dal,6,10,5,14,6,8,8,14,9,7,9,17,9,6,9,20,7,6,7,5,8,8,14,5,14,14,3,Uttar Pradesh-Rampur Maniharan,Rampur Maniharan 
7,BRIJPAL SINGH,Aazad Samaj Party (Kanshi Ram),173,207,360,454,194,74,126,156,78,132,118,417,185,305,127,302,183,156,124,87,124,48,99,140,139,70,19,Uttar Pradesh-Rampur Maniharan,Rampur Maniharan 
8,SACHIN KUMAR,India Janshakti Party,26,41,29,40,30,38,29,31,30,39,24,49,30,24,45,45,39,22,20,42,52,43,35,24,44,41,16,Uttar Pradesh-Rampur Maniharan,Rampur Maniharan 
9,D. P. SINGH,Bahujan Mukti Party,14,19,84,56,38,122,103,31,21,57,28,61,36,24,74,26,17,30,29,29,54,37,88,22,35,30,8,Uttar Pradesh-Rampur Maniharan,Rampur Maniharan 
10,NOTA,None of the Above,23,32,25,27,35,32,26,20,21,21,24,39,20,21,22,39,18,21,30,19,21,25,21,13,38,29,7,Uttar Pradesh-Rampur Maniharan,Rampur Maniharan 
