O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,UMASHANKAR SINGH,Bahujan Samaj Party,2679,3117,3301,3405,2898,2592,2742,1844,2610,3283,3469,3050,3205,2707,3879,3671,2231,2679,2283,2785,3181,3369,2721,2783,2493,3357,1978,2264,3095,2323,1095,256,Uttar Pradesh-Rasara,Rasara
2,BABBAN,Bharatiya Janata Party,631,404,541,811,821,612,733,669,1117,744,585,1204,1480,691,669,747,646,522,609,813,758,776,623,480,622,1006,1149,1242,798,853,497,58,Uttar Pradesh-Rasara,Rasara
3,RAJ URF OMLATA RAJ,Indian National Congress,31,28,19,41,27,37,21,33,43,36,22,36,45,53,109,54,40,38,71,39,46,55,47,34,42,74,28,51,29,30,12,3,Uttar Pradesh-Rasara,Rasara
4,CHANDAN,Aazad Samaj Party (Kanshi Ram),42,52,54,92,76,50,47,89,36,63,112,41,58,81,53,70,87,60,82,88,95,55,74,170,110,247,100,246,46,87,23,8,Uttar Pradesh-Rasara,Rasara
5,MAHENDRA,Suheldev Bharatiya Samaj Party,4058,1951,2409,3112,2269,2249,2098,2669,2072,2104,2904,2680,2175,3029,2276,3155,3039,3243,2959,2676,2987,2412,2877,3101,3702,1894,2693,2502,2208,2452,594,132,Uttar Pradesh-Rasara,Rasara
6,ASHOK,Independent,29,18,24,28,17,19,9,11,20,20,17,13,21,19,19,23,49,35,21,18,35,27,21,23,33,16,14,22,12,26,1,1,Uttar Pradesh-Rasara,Rasara
7,RAJARAM,Independent,13,8,10,17,11,5,7,6,6,9,10,3,12,7,6,10,5,2,6,12,9,6,7,10,14,8,10,15,4,10,0,1,Uttar Pradesh-Rasara,Rasara
8,RAM ASHISH RAM,Independent,11,18,9,20,7,7,3,6,14,17,13,4,12,20,21,12,6,6,21,9,21,9,10,21,21,27,14,32,7,10,3,0,Uttar Pradesh-Rasara,Rasara
9,SANTOSH KUMAR PANDEY,Independent,19,16,20,26,17,12,12,10,13,28,19,13,21,18,17,19,19,15,18,12,24,18,24,24,28,23,17,25,21,24,2,2,Uttar Pradesh-Rasara,Rasara
10,NOTA,None of the Above,41,30,35,66,56,35,31,38,38,48,49,42,56,40,47,36,46,31,40,41,39,65,42,45,51,49,41,47,43,46,18,3,Uttar Pradesh-Rasara,Rasara
